// key	EXP_CHAR_DUNGEON_NAME_	EXP_CHAR_DUNGEON_SECOND_NAME_	EXP_CHAR_DUNGEON_LOCATION_DESC_
100201	入门	光属性强化地下城	所有我需要知道的事，都是在幼儿园学会的。要赢在起跑线上！
100202	简单	光属性强化地下城	「昨日已成历史，明日还是个谜，而当下则是一份礼物。这就是人们称今日为"Present"的原因。」\我得好好体会其中的内涵！
100203	中级	光属性强化地下城	年轻时，你就算花钱也买不到我的努力，但我已经不年轻了！
100204	高级	光属性强化地下城	如果不断努力，就算失败一两次，最后还是会成功的。\奋起挑战吧！
100205	最高级	光属性强化地下城	为何而生不重要，重要的是生存本身。\一旦你努力至此，剩下的就取决于你了！
100301	入门	火属性强化地下城	所有我需要知道的事，都是在幼儿园学会的。要赢在起跑线上！
100302	简单	火属性强化地下城	「昨日已成历史，明日还是个谜，而当下则是一份礼物。这就是人们称今日为"Present"的原因。」\我得好好体会其中的内涵！
100303	中级	火属性强化地下城	年轻时，你就算花钱也买不到我的努力，但我已经不年轻了！
100304	高级	火属性强化地下城	如果不断努力，就算失败一两次，最后还是会成功的。\奋起挑战吧！
100305	最高级	火属性强化地下城	为何而生不重要，重要的是生存本身。\一旦你努力至此，剩下的就取决于你了！
100401	入门	水属性强化地下城	所有我需要知道的事，都是在幼儿园学会的。要赢在起跑线上！
100402	简单	水属性强化地下城	「昨日已成历史，明日还是个谜，而当下则是一份礼物。这就是人们称今日为"Present"的原因。」\我得好好体会其中的内涵！
100403	中级	水属性强化地下城	年轻时，你就算花钱也买不到我的努力，但我已经不年轻了！
100404	高级	水属性强化地下城	如果不断努力，就算失败一两次，最后还是会成功的。\奋起挑战吧！
100405	最高级	水属性强化地下城	为何而生不重要，重要的是生存本身。\一旦你努力至此，剩下的就取决于你了！
100501	入门	木属性强化地下城	所有我需要知道的事，都是在幼儿园学会的。要赢在起跑线上！
100502	简单	木属性强化地下城	「昨日已成历史，明日还是个谜，而当下则是一份礼物。这就是人们称今日为"Present"的原因。」\我得好好体会其中的内涵！
100503	中级	木属性强化地下城	年轻时，你就算花钱也买不到我的努力，但我已经不年轻了！
100504	高级	木属性强化地下城	如果不断努力，就算失败一两次，最后还是会成功的。\奋起挑战吧！
100505	最高级	木属性强化地下城	为何而生不重要，重要的是生存本身。\一旦你努力至此，剩下的就取决于你了！
100601	入门	暗属性强化地下城	所有我需要知道的事，都是在幼儿园学会的。要赢在起跑线上！
100602	简单	暗属性强化地下城	「昨日已成历史，明日还是个谜，而当下则是一份礼物。这就是人们称今日为"Present"的原因。」\我得好好体会其中的内涵！
100603	中级	暗属性强化地下城	年轻时，你就算花钱也买不到我的努力，但我已经不年轻了！
100604	高级	暗属性强化地下城	如果不断努力，就算失败一两次，最后还是会成功的。\奋起挑战吧！
100605	最高级	暗属性强化地下城	为何而生不重要，重要的是生存本身。\一旦你努力至此，剩下的就取决于你了！
