// key	QUEST_TITLE_	QUEST_TEXT_
1100101	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100102	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100103	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100104	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100105	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100106	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100107	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100108	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100201	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100202	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100203	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100204	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100205	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100206	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100207	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100208	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100301	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100302	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100303	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100304	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100305	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100306	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100307	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100308	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100401	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100402	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100403	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100404	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100405	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100406	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100407	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100408	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100501	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100502	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100503	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100504	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100505	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100506	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100507	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100508	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100601	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100602	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100603	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100604	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100605	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100606	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100607	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100608	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100701	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100702	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100703	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100704	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100705	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100706	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100707	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100708	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100801	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100802	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100803	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100804	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100805	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100806	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100807	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1100808	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1101000	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1101001	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1101002	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1101003	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1101101	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1101102	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1101103	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1101104	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1101201	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1101202	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1101203	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1101204	[v1:dungeon_worldmap]	เคลียร์ "[v1:dungeon_worldmap]"
1101301	[v1:dungeon_worldmap]	เคลียร์ <[v1:dungeon_worldmap]>
