// key	BACKGROUND_IMAGE_NAME_	BACKGROUND_IMAGE_DESCRIPTION_
1	Gray Mood	A gray subspace where devils feel most at ease.
10	No Name	[No description]
2	Yellow Mood	A yellow subspace resembling the Infernal Realm's sunset.
2001	Convenience Store Road	This road will take you to work.
2002	Afternoon Cafe	An afternoon hideaway for Devils.
2003	Department Store Lobby	Lobby of neat and tidy department store.
2004	Hotel Lobby	Luxury hotel where devils are rumored to frequently stay.
2005	Apartment Hallway	A really scary old man comes after anyone who causes a commotion.
2006	Morning in the Park	A surprisingly large number of pacts have been made here at this quiet park.
2007	Box Office	Not that there's ever much time to see new movies, but...
2008	Riverbed	A riverside path with the faint stench of stagnant water.
2009	Gym	I'm aiming to go at least five times this month.
2010	Train Station	My life along the tracks is a constant rumble of passing trains.
2011	Cafe Terrace	A cafe where you have to remind the staff to stamp your rewards card.
2012	Steep Road	Try to convince your shaky legs to take you to the top.
2013	Library	Shhh! No talking in the library. And make sure you return books on time!
2014	Empty Classroom	The bitterness of many a test taker hangs thick in here.
2015	School	Future pactmakers are gathering at one spot.
2016	School, Rear Gate	It's the springtime of life, and it has nothing to do with devils.
2017	Rainy Street	An earthy smell wafts across the rain-slick street.
2018	Department Store	A famous spot for making pacts. Let's meet in front of the entrance!
2019	School Playground	A well maintained school campus. Fortunately, no one's around right now.
2020	College, Front Gate	The pampered and privileged titans of the future study here.
2021	Dessert Cafe	This cafe sells the yummiest desert around.
2022	Building Lobby	This building has office/apartment combo units and boasts tight security.
2023	Movie Theater Entrance	109CINEMAS, located smack dab in the middle of downtown.
2024	Church at Night	There's a horror story about an exorcist that works there.
2025	Unused	[No description]
2026	Quiet Street	A quiet street that no one seems to use.
2027	Riverbed at Night	Park illuminated by neon signs.
2028	Park at Night	A pathway through a park that sends a chill down your spine at night.
2029	Morning Cafe	A cafe with great lighting and skilled baristas.
2030	Bike Path	A park featuring a beautifully maintained pathway especially for bicycles.
2031	Building Corridor	A corridor decked out with impeccably maintained flower vases.
2032	Gymnasium	Devils are all about strength and nothing else.
2033	Slums	It may look creepy, but it's fine once you get used to it.
2034	Nighttime Street	All that's left here is the light from the streetlights and the light of the moon.
2035	Daytime Street	A bustling urban shopping mall with people coming and going.
2036	Alley	An alley cats can often be seen.
2037	Bus Stop	A bus stop as twilight falls.
2038	Train	A strange train that is late more than it's on time.
2039	Platform	You must wait behind the line for safety purposes.
2040	Book Cafe	Most of the books here are obscure.
2041	Quiet Alley	A quiet alley for heading on home.
2042	Old Street	A mysterious street where traditional homes are interspersed with remodels.
2043	Shopping Plaza Silhouette	The silhouettes of cutting-edge buildings are quite striking.
2044	Shopping Plaza Interior	Lost devils have strayed into here amid flickering lights.
2045	Shopping Plaza Ruins	The Milky Way is visible from here.
2046	View of the Coast	City lights melt into the rippling surface of the river.
2047	Coastal Area at Midnight	You came all this way in search of pactmakers.
2048	Coastal Area Night View	Who knew such a sight could be seen by taking a step back?
2049	Downtown	This site where the Archfiend Contest begins is full of desire.
2050	Base of the Mountain	The number of lights in the distance equals the number of desires.
2051	Sunset at Nakasu City	An apartment building is under construction.
2052	Midnight at Nakasu City	The noise and chaos of the day fade away as dusk gathers.
2053	Above Nakasu City	There's sure to be a demon in the skies above the seemingly peaceful sandbar.
2054	Harlem Street	A pleasure quarter where devils and their minions melt into the neon lights.
2055	Buildings at Night	Nighttime is when the real devils come out.
2056	Helipad	An empty heliport.
2057	Construction Site at Night	An empty construction site where work has finished.
2058	Construction Site at Midnight	The sound of hammering can be heard though night has fallen.
2059	Chapel	A sacred place where exorcists ply their trade.
2060	School Storehouse	A school storehouse filled with a particularly creepy aura.
2061	Beach	The hot sand glitters in the sunlight.
2062	Lighthouse	An ocean view with a lighthouse in the distance.
2063	Tunnel	Distant city lights are visible, but there's a chill in the air.
2064	Iron Tower	A view of an iron tower lit up by a beautiful sunset.
2065	Lake	A picturesque lake with crystal clear water.
2066	Lakeside Path	A landscape featuring a lake and a bridge for taking strolls.
2067	Woodlands	The perfect mix of earthy and strong grassy scents is invigorating.
2068	Path to Springs	A view of path and stone stairway leading to a spring.
2069	Japanese Restaurant	An upscale Japanese restaurant run by a chef who studied back home.
2070	Quiet Park	Includes a bench where one can relax under shady trees.
2071	Fair	A small fair frequented by a small number of avid fans.
2072	Fair at Midnight	Fair at night, beautifully decorated for a parade.
2073	Abandoned Fair	A long-abandoned fair with a forlorn-looking Ferris wheel.
2074	Polar Bear Lounge	Take a load off, Mr. Polar Bear.
2075	Monkey Cage	A cage full of monkeys and their petty conflicts.
2076	Aquarium	An aquarium where aquatic creatures of all sizes swim.
2077	Alley	There's a certain charm to the bumpy ground here.
2078	Night Market	A marketplace in the midst of a festival.
2079	No Name	A view of building that anyone would call a sacred place.
2080	Unused	[No description]
2081	Market Alley	[No description]
2082	Mountain Walking Path	A gently sloping pathway that is a favorite course for a leisurely stroll.
2083	Concrete Jungle	A gray urban landscape filled with concrete buildings.
2084	No Name	A crosswalk in a big city that never sleeps.
2085	Church Interior	Sacred air pierces the lungs with the simple act of breathing.
2086	Master's Room	Rent would too much without your part-time job and aspiring devil grant.
2087	Lan Fei's Tea House	The tea house shop Lan Fei runs. At least, she calls it a tea house shop, but...
2088	Rainy Train Tracks	A rain-drenched station exit.
2089	Master's Kitchen	All sorts of incidents and mishaps occur here.
2090	Recreational Center	Filled with cheers and the smell of booze during a certain time of year.
2091	Castle Gate and Square	You can feel the history behind the square and castle gate.
2092	Moonlit Temple	Light from the cloud-shrouded moon bathes the inside of a peaceful temple.
2093	Buddha Statue	The bodhisattva Maitreya gently smiles down upon all.
2094	Yoga Classroom	The inside of a yoga classroom.
2095	Master's Home	The room where you live alone in peace.
2096	Master's Bathroom	The number of toiletries has grown since the succubi arrived.
2097	Master's Part-Time Job	The convenience store where you work hard each day to pay the rent.
2098	Convenience Store	The front of the convenience store where you work.
2099	Red-Lit Studio	The red studio of Channel Evil. It's always by your side.
2100	Blue-Lit Studio	The blue studio of Channel Evil. It's always by your side.
2101	Downtown in the Morning	Downtown swarming with tourists in the early morning.
2102	Downtown at Night	The always lively downtown at night.
2103	Skyscraper Entrance	Entrance to a skyscraper.
2104	Game Arcade	Game arcade you often visited until your money grew short.
2105	Distant View of Skyscrapers	A cityscape with skyscrapers in the distance.
2106	Lake at an Old Shrine	An old shrine with lovely lake.
2107	Radio Tower	A quiet street with a radio tower.
2108	Night World Hardware Store	A Night World home improvement store selling dubious products.
2109	Plaza	A plaza featuring a clock tower.
2110	Peaceful Church	A peaceful church where several exorcists are at work.
2111	Construction Site in the Afternoon	Empty construction site you often visit when you want to be alone.
2112	Convenience Store at Midnight	Rival convenience store that is thriving thanks to its proximity to a station.
2113	Above the City	A view down upon a residential area.
2114	Church Courtyard	A church courtyard adorned with a cross.
2115	Law Firm	Mona tricked the original owner into letting her use it as a counseling center.
2116	Crossroads	A bustling urban intersection where the honking of car horns never ceases.
2117	Master's TV	A TV you salvaged from a recyclable waste dump and repaired.
2118	Crosswalk	A crosswalk with a particularly long wait for a green light.
2119	Parking Lot	A parking lot with train tracks.
2120	Radio Tower Entrance	Entrance to a radio tower.
