// key	SCENARIO_SPEAKER_
 A COUNCIL ELDER	Council Elder
A COUNCIL ELDER	Council Elder
A.I	A.I
A_COUNCIL_CHAIRMAN	Council Chairman
AARON	Aaron
ABADDON_CONTRACTOR	Makiko Manyuda
ABIGAIL_CHAIRMAN	Chairperson Abigail
ACCRASIA	Akrasia
AILILL	Ailill
AKIMAGO	Archimago
ALTERED DAVI	Altered Davi
AMBROSIA_CONTRACTOR	Sato Shiori
ANCHOR	Host
ANEMONE	Anemone
ANNIE	Annie
ANNOUNCE	School PA
ANNOUNCER	Announcer
APOLLO_CONTRACTOR	Teshigawara Masato
AQU CUBE	Evil Cube
ARAHANT	Arhat
ARAHANT_FRIEND	Arhat's Friend
ARGOS	Argos
ARIA	Aria
ARTEMISIA_CONTRACTOR	Kurumigawa Kurumi
ASHRAM_TEACHER	Ashram Teacher
ATALANTE_CONTRACTOR	Tsuchida Sachika
ATTIS	Attis
ATUM_CONTRACTOR	Kuroi Akira
AUDIENCE1	Audience 1
AUDIENCE2	Audience 2
AUDIENCES	Audiences
AURORA	Aurora
AYANE	Ayane
BAAL_CONTRACTOR	Gonda Toji
BABEL	Babel
BABY	Baby
BAKER	Café  Manager
BARI	Bari
BARI_CONTRACTOR	Suzuki Rinko
BARI_CONTRACTOR_MOM	Suzuki Rinko's Mother
BAST	Immature Bast
BATORY	Bathory
BELIEVER_0	Followers
BELIEVER_1	Follower
BELIEVER1	Follower1
BELIEVER2	Follower2
BELIEVER3	Follower3
BERDLE	Verdelet
BERITH_CONTRACTOR	Harashinai Mikio
BERMONT	Archduke Vermont
BETH	Beth
BILLY	Billy
BIRD	Bird
BOAR	Boar
BOREAS	Boreas
BOREAS_CONTRACTOR	Kitasato Fuuka
BOSS	Manager
BOY	Boy
BOY_CONTRACTOR	Young Pactmaker
BRADAMANTE_CONTRACTOR	Kenzaki Karen
BRADAMANTE_CONTRACTOR_DAD	Kenzaki Karen's Father
BROTHER_LAWRENCE	Friar Laurence
BUDDHIST	Monk
BUDLE	Willow Doryeong
BURIED DAVI	Love & Hate Davi
BUTLER	Butler
CACA	Cacia
CACUS	Cacus
CADUCEUS	Caduceus
CAFE_MANAGER	Cafe Manager
CAIN	Cain
CAIT SITH	Catsi
CAIT SITH	Catsi
CAROL'S FATHER	Carol’s Father
CAT	Cat
CATERPILLAR	Caterpillar
CELEBRANT	Celebrant
CELICA	Celica
CHANCELLOR	University President
CHANDRAGHANTA	Chandra
CHEF	Chef
CHESHIRE CAT	Cheshire Cat
CHICK	Chick
CHIEF_NIS	Chief of Public Safety
CHIEF_SECRETARY	Chief Secretary
CHIEF_SONG	Chairman Konoike
CHILD	Child
CHILD_OF_FUTURE	Child of Future
CHILD_OF_PAST	Child of Past
CHILD_OF_PRESENT	Child of Current
CHILDA	Child A
CHILDB	Child B
CHUCHU	ChuChu
CINTAMANI	Chintamani Stone
CLARA	Clara
CLASSMATE	Classmate
CLASSMATE1	Classmate 1
CLASSMATE2	Classmate 2
CLASSOFCULTURE_GROUP	Culture Class Group Chat Room
CLERK	Clerk
CLERK1	Employee 1
CLERK2	Employee 2
CLOSET	Closet
CLUB_GUARD	Bouncer
COACH	Coach
COMMANDER	Commander
COMMENT	Comment
COMMENTATOR	Narrator
CONTRACTOR	Pactmaker
CONVENIENCESTOREOWNER	Store Manager
COOKIEMONA	Cookie Mona
COOLGIRL	Serene Girl
CORONA MONA	Lightbeam Mona
CO-WORKER1	Coworker 1
CO-WORKER2	Coworker 2
CROCELL	Crocell
CU SITH	Lassi
CURE CUBE	Cure Cube
DAVI	Davi
DEANOFSTUDENTS	Dean of Students
DEBORAH	Deborah
DEMETER	Demeter
DEMETER_CONTRACTOR	Marika Takanashi
DEMON FOLLOWERA	Demon Worshipper A
DEMON FOLLOWERB	Demon Worshipper B
DEMON_FOLLOWER	Demon Worshipper
DEMON_FOLLOWER1	Demon Worshipper 1
DEMON_FOLLOWER2	Demon Worshipper 2
DEMONA	Hoodlum Demon A
DEMONB	Hoodlum Demon B
DEMONC	Hoodlum Demon C
