// key	SKILL_NAME_	SKILL_VISUAL_	SKILL_DESCRIPTION_
11010001	水之一击	sfx_atk_normal	对目标造成{value}自动攻击伤害（自动）
11010101	水之一击	sfx_atk_normal	对目标造成{value}自动攻击伤害（自动）
11010201	水之一击	sfx_atk_normal	对目标造成{value}自动攻击伤害（自动）
11010301	水之一击	sfx_atk_normal	对目标造成{value}自动攻击伤害（自动）
11010401	水之一击	sfx_atk_normal	对目标造成{value}自动攻击伤害（自动）
11010403	扣球！	sfx_atk_normal	造成{value}自动攻击伤害
11010601	水之一击	sfx_atk_normal	造成自动攻击伤害
11020001	火之一击	sfx_atk_normal	对目标造成{value}自动攻击伤害（自动）
11020101	火之一击	sfx_atk_normal	对目标造成{value}自动攻击伤害（自动）
11020201	火之一击	sfx_atk_normal	对目标造成{value}自动攻击伤害（自动）
11020301	火之一击	sfx_atk_normal	对目标造成{value}自动攻击伤害（自动）
11020401	火之一击	sfx_atk_normal	对目标造成{value}自动攻击伤害（自动）
11020403	接球！	sfx_atk_normal	对目标造成{value}自动攻击伤害
11020601	火之一击	sfx_atk_normal	造成自动攻击伤害
11030001	木之一击	sfx_atk_normal	对目标造成{value}自动攻击伤害（自动）
11030101	木之一击	sfx_atk_normal	对目标造成{value}自动攻击伤害（自动）
11030201	木之一击	sfx_atk_normal	对目标造成{value}自动攻击伤害（自动）
11030301	木之一击	sfx_atk_normal	造成{value}自动攻击伤害
11030401	木之一击	sfx_atk_normal	对目标造成{value}自动攻击伤害（自动）
11030403	进攻！	sfx_atk_normal	造成{value}自动攻击伤害
11030601	木之一击	sfx_atk_normal	造成自动攻击伤害
11040001	光之一击	sfx_atk_normal	对目标造成{value}自动攻击伤害（自动）
11040101	光之一击	sfx_atk_normal	对目标造成{value}自动攻击伤害（自动）
11040201	光之一击	sfx_atk_normal	对目标造成{value}自动攻击伤害（自动）
11040301	光之一击	sfx_atk_normal	造成{value}自动攻击伤害
11040401	光之一击	sfx_atk_normal	对目标造成{value}自动攻击伤害（自动）
11040501	光之一击	sfx_atk_normal	造成{value}自动攻击伤害
11040601	光之一击	sfx_atk_normal	造成自动攻击伤害
11050001	暗之一击	sfx_atk_normal	对目标造成{value}自动攻击伤害（自动）
11050101	暗之一击	sfx_atk_normal	对目标造成{value}自动攻击伤害（自动）
11050201	暗之一击	sfx_atk_normal	对目标造成{value}自动攻击伤害（自动）
11050301	暗之一击	sfx_atk_normal	对目标造成{value}自动攻击伤害（自动）
11050401	暗之一击	sfx_atk_normal	对目标造成{value}自动攻击伤害（自动）
11050601	暗之一击	sfx_atk_normal	造成自动攻击伤害
17000001	持续回复	buff/17000001/buff_set	在一段时间内回复一定量的HP
17000002	治癒	buff/17000002/buff_set	回复一定量HP
17000003	攻击力↑	buff/17000003/buff_set	增加攻击力
17000004	防御力↑	buff/17000004/buff_set	增加防御力
17000005	敏捷度↑	buff/17000005/buff_set	增加敏捷度
17000006	暴击↑	buff/17000006/buff_set	增加暴击
17000007	Skill充能↑	buff/17000007/buff_set	增加Skill量表充能量；可与Skill回复加速叠加
17000008	免疫	buff/17000008/buff_set	赋予所有减益效果免疫；立即移除所有减益
17000009	无敌	buff/17000009/buff_set	所有攻击与减益效果皆无效
17000010	不死	buff/17000010/buff_set	即使受到致命伤害，HP也不会低于1
17000012	吸血	buff/17000012/buff_set	攻击所造成伤害的一部分值会逐渐回复至HP
17000013	复活	buff/17000013/buff_set	立即复活已死亡的Child
17000014	Skill充能加速	buff/17000014/buff_set	加快Skill量表充能速度；可与增加Skill量表充能量的效果叠加
17000015	即时回复量↑	buff/17000015/buff_set	增加回复技能的效果
17000016	Skill防御力↑	buff/17000016/buff_set	增加所有类型的技能防御力
17000017	Skill强化II	buff/17000017/buff_set	增加技能的最终伤害；不适用于自动攻击、Drive或持续效果
17000018	HP最高↑	buff/17000018/buff_set	设置屏障，赋予额外HP
17000019	自动攻击强化II	buff/17000019/buff_set	增加自动攻击的最终伤害
17000020	Tap Skill强化II	buff/17000020/buff_set	增加Tap Skill的最终伤害
17000021	Slide Skill强化II	buff/17000021/buff_set	增加Slide Skill的最终伤害
17000022	Drive Skill强化II	buff/17000022/buff_set	增加Drive Skill的最终伤害
17000023	Drive持续时间↑	buff/17000023/buff_set	增加Drive Skill所赋予的增益效果持续时间
17000024	暴击率↑	buff/17000024/buff_set	增加暴击率
17000025	Skill强化	buff/17000025/buff_set	增加普通/Slide Skill伤害。无法套用至自动攻击或Drive上。
17000026	Drive充能↑	buff/17000026/buff_set	增加Drive量表充能量
17000027	闪避率↑	buff/17000027/buff_set	增加技能闪避率
17000028	减益效果闪避率↑	buff/17000028/buff_set	增加减益效果闪避率
17000029	反射	buff/17000029/buff_set	向敌人反射部分伤害；不会反射Drive Skill或持续伤害
17000030	弱点防御力↑	buff/17000030/buff_set	增加弱点攻击防御力
17000031	暴击攻击力↑	buff/17000031/buff_set	增加暴击的最终伤害
17000032	弱点攻击力↑	buff/17000032/buff_set	增加弱点攻击的伤害
17000033	持续回复量↑	buff/17000033/buff_set	增加持续回复技能的效果
17000034	自动攻击强化	buff/17000034/buff_set	强化自动攻击
17000035	Tap Skill强化	buff/17000035/buff_set	强化Tap Skill
17000036	Slide Skill强化	buff/17000036/buff_set	强化Slide Skill
17000037	激怒	buff/17000037/buff_set	储存持续时间内受到的伤害，下一次使用技能时以储存的伤害进行攻击
17000038	Drive Skill强化	buff/17000038/buff_set	强化Drive Skill的效果
17000039	自动攻击防御力↑	buff/17000039/buff_set	增加对自动攻击的防御力
17000040	Tap Skill防御力↑	buff/17000040/buff_set	增加对Tap Skill的防御力
17000041	Slide Skill防御力↑	buff/17000041/buff_set	增加对Slide Skill的防御力
17000042	暴击防御力↑	buff/17000042/buff_set	增加对暴击的防御力
17000043	减益效果时间缩短	buff/17000043/buff_set	减少减益效果持续时间。最终持续时间会依套用减益时的剩余时间进行计算。
17000044	挑衅	buff/17000044/buff_set	挑衅敌人并承受所有针对友方的攻击，全体攻击除外
17000045	HP转移	buff/17000045/buff_set	分配一部分HP给盟友
17000048	加成伤害	none	造成追加伤害
17000049	无视防御伤害	none	无视防御力造成伤害
17000050	HP吸收	buff/17000050/buff_set	攻击所造成伤害的一部分会转化为HP
17000051	Skill充能增幅	buff/17000051/buff_set	立即补充自身除外的目标Skill量表至特定量值。
