// key	OMNI_EVE_MONSTER_NAME_
1001	亞巴頓
101	紅水滴
1011	綠水滴
102	看守者
103	草隆
104	復仇女孩
105	巴西利斯克
106	封箱者
107	機甲指揮官
108	卡利宇迦
109	寶箱怪
1101	藍水滴
1102	看守者
1103	草隆
1104	復仇女孩
1105	巴西利斯克
1106	封箱者
1107	機甲指揮官
1108	卡利宇迦
1109	寶箱怪
1201	藍水滴
1202	看守者
1203	草隆
1204	復仇女孩
1205	巴西利斯克
1206	封箱者
1207	機甲指揮官
1208	卡利宇迦
1209	寶箱怪
1301	藍水滴
1302	看守者
1303	草隆
1304	復仇女孩
1305	巴西利斯克
1306	封箱者
1307	機甲指揮官
1308	卡利宇迦
1309	寶箱怪
1401	藍水滴
1402	看守者
1403	草隆
1404	復仇女孩
1405	巴西利斯克
1406	封箱者
1407	機甲指揮官
1408	卡利宇迦
1409	寶箱怪
1501	萬聖節
1511	草隆
1601	黃水滴
1602	看守者
1603	草隆
1604	復仇女孩
1605	巴西利斯克
1606	封箱者
1607	機甲指揮官
1608	卡利宇迦
1609	寶箱怪
1701	黃水滴
1702	看守者
1703	草隆
1704	復仇女孩
1705	巴西利斯克
1706	封箱者
1707	機甲指揮官
1708	卡利宇迦
1709	寶箱怪
1801	黃水滴
1802	看守者
1803	草隆
1804	復仇女孩
1805	巴西利斯克
1806	封箱者
1807	機甲指揮官
1808	卡利宇迦
1809	寶箱怪
1901	黃水滴
1902	看守者
1903	草隆
1904	復仇女孩
1905	巴西利斯克
1906	封箱者
1907	機甲指揮官
1908	卡利宇迦
1909	寶箱怪
2001	哥摩拉
201	紅水滴
2011	看守者
202	看守者
203	草隆
204	復仇女孩
205	巴西利斯克
206	封箱者
207	機甲指揮官
208	卡利宇迦
209	寶箱怪
2101	紫水滴
2102	看守者
2103	草隆
2104	復仇女孩
2105	巴西利斯克
2106	封箱者
2107	機甲指揮官
2108	卡利宇迦
2109	寶箱怪
2201	紫水滴
2202	看守者
2203	草隆
2204	復仇女孩
2205	巴西利斯克
2206	封箱者
2207	機甲指揮官
2208	卡利宇迦
2209	寶箱怪
2301	紫水滴
2302	看守者
2303	草隆
2304	復仇女孩
2305	巴西利斯克
2306	封箱者
2307	機甲指揮官
2308	卡利宇迦
2309	寶箱怪
2401	紫水滴
2402	看守者
2403	草隆
2404	復仇女孩
2405	巴西利斯克
2406	封箱者
2407	機甲指揮官
2408	卡利宇迦
2409	寶箱怪
2501	克羅賽爾
2511	復仇女孩
2601	夏娃
2602	夏娃
2603	夏娃
2604	夏娃
301	紅水滴
302	看守者
303	草隆
304	復仇女孩
305	巴西利斯克
306	封箱者
307	機甲指揮官
308	卡利宇迦
309	寶箱怪
401	紅水滴
402	看守者
403	草隆
404	復仇女孩
405	巴西利斯克
406	封箱者
407	機甲指揮官
408	卡利宇迦
409	寶箱怪
501	炎龍
601	綠水滴
602	看守者
603	草隆
604	復仇女孩
605	巴西利斯克
606	封箱者
607	機甲指揮官
608	卡利宇迦
609	寶箱怪
701	綠水滴
702	看守者
703	草隆
704	復仇女孩
705	巴西利斯克
706	封箱者
707	機甲指揮官
708	卡利宇迦
709	寶箱怪
801	綠水滴
802	看守者
803	草隆
804	復仇女孩
805	巴西利斯克
806	封箱者
807	機甲指揮官
808	卡利宇迦
809	寶箱怪
901	綠水滴
902	看守者
903	草隆
904	復仇女孩
905	巴西利斯克
906	封箱者
907	機甲指揮官
908	卡利宇迦
909	寶箱怪
