// key	DUNGEON_NAME_	DUNGEON_SECOND_NAME_	DUNGEON_LOCATION_DESC_
1000	1-1	Tutorial	Mona walks you through the basics ♥
100001	Stage 1	Tutorial 1	
100002	Stage 2	Tutorial 2	
100003	Stage 3	Tutorial 3	
100004	Stage 4	Tutorial 4	
1001	1-2	Demeter I	The nurse, an angel in white... But what of Demeter?
100101	Stage 1	Soul Dungeon	
100102	Stage 2	Poor Devil	
100103	Stage 3	Archfiend Contest	
100104	Stage 4	Bluffing Demeter	
1002	1-3	Downtown	A Downtown spot where human desires flourish.
100201	Stage 1	Downtown	
100202	Stage 2	Downtown	
100203	Stage 3	Downtown	
100204	Stage 4	Downtown	
1003	1-4	Demeter II	Uh-oh! How's this nurse so strong?
100301	Stage 1	The Succubus' True Colors	
100302	Stage 2	Millenial Demon	
100303	Stage 3	Human Desires	
100304	Stage 4	Longing and Regret	
1004	1-5	Downtown	A Downtown spot where passion flows free.
100401	Stage 1	Downtown	
100402	Stage 2	Downtown	
100403	Stage 3	Downtown	
100404	Stage 4	Downtown	
1005	1-6	Delicious Food	Gluttony is one of the seven deadly sins. Keep your sins in your wallet!
100501	Stage 1	Diligent Demon	
100502	Stage 2	Disqualified Devil	
100503	Stage 3	Repeated Blunder	
100504	Stage 4	True Wish	
1006	1-7	Downtown	A Downtown spot where desires abound.
100601	Stage 1	Downtown	
100602	Stage 2	Downtown	
100603	Stage 3	Downtown	
100604	Stage 4	Downtown	
1007	1-8	Mammon	What does every capable man need? A bag.\Specifically, a Clutch Bag. Don't have one? Get one!
100701	Stage 1	Golden King Unveiled	
100702	Stage 2	All Going Well	
100703	Stage 3	Absolute Ruler	
100704	Stage 4	Kingly Outing	
1010	1-1	Debut	Watch out for Gestalt collapse due to excessive routine work.
101001	Stage 1	Hard	
1011	1-2	Daphne	Life is a series of battles.\Hero! Stand up and win!
101101	Stage 1	Hard - Hero's Trial	
1012	1-3	Downtown	Hustling desires! Enjoyable desires! Desirable desires!
101201	Stage 1	Hard - Downtown	
1013	1-4	Freesia	Love is attachment.\I can hear her footsteps as she follows me even now...
101301	Stage 1	Hard - Red Love Letter	
1014	1-5	Downtown	Passion, and intolerable enthusiasm, swirls round and round.
101401	Stage 1	Hard - Downtown	
1015	1-6	Delicious Food	One who committed the sin of gluttony sleeps here.
101501	Stage 1	Hard - Diligent Devil	
1016	1-7	Downtown	Suppressed thirst and boiling fever.
101601	Stage 1	Hard - Downtown	
1017	1-8	Mayahuel	You didn't choose me.\I chose you.
101701	Stage 1	Hard - Mad Collector	
1100	2-1	City Outskirts	Let's stop by the city outskirts.
110001	Stage 1	City Outskirts	
110002	Stage 2	City Outskirts	
110003	Stage 3	City Outskirts	
110004	Stage 4	City Outskirts	
1101	2-2	Firo	Making its fabulous debut: my body!
110101	Stage 1	Ordinary Boy	
110102	Stage 2	Hot-Blood VS. Lazybones	
110103	Stage 3	Champion's Generosity	
110104	Stage 4	Fiery Firo	
1102	2-3	City Outskirts	In the city outskirts, in an inconspicuous back alley...
110201	Stage 1	City Outskirts	
110202	Stage 2	City Outskirts	
110203	Stage 3	City Outskirts	
110204	Stage 4	City Outskirts	
1103	2-4	Cu Sith	...Lives a wild bird who always goes for the tail.
110301	Stage 1	Devil Hunter	
110302	Stage 2	Proud Fangs	
110303	Stage 3	Summoner’s War	
110304	Stage 4	Neighborhood Rival	
1104	2-5	Quiet City	A quiet city. A nearby crossroads to the Infernal Realm.
110401	Stage 1	Quiet City	
110402	Stage 2	Quiet City	
110403	Stage 3	Quiet City	
110404	Stage 4	Quiet City	
1105	2-6	Quiet City	A quiet city. An extremely nearby crossroads to the Infernal Realm.
110501	Stage 1	Quiet City	
110502	Stage 2	Quiet City	
110503	Stage 3	Quiet City	
110504	Stage 4	Quiet City	
1106	2-7	Freyja I	The adorable cat ran away!\The wrath of heaven be upon you! Get ready to experience hell!
110601	Stage 1	Injured Cat	
110602	Stage 2	Weirdo	
110603	Stage 3	Uninvited Guest	
110604	Stage 4	Runaway Cat	
1107	2-8	Freyja II	Freyjaaa, it was all master's fault.\Say, who are you? Frej?
110701	Stage 1	Timid Cat	
110702	Stage 2	Wild Cat	
110703	Stage 3	Purring Cat	
110704	Stage 4	A Cat’s Feelings	
