// key	PAID_SUMMON_GROUP_NAME_
10001	DOAXVV Step Up Summon (Step 4 repeat reward: 3-5★ Carta Summon Ticket x1, Step 6 repeat reward: 4-5★ Carta Summon Ticket x1)
1001	
1101	
1102	Carefree Nezha Pickup Summon
1103	Best World Boss Child Summon
1104	Loyal Sunah Pickup Summon
1105	Best 4 Couples Pickup Summon
1106	Supporters & Debuffers Pickup Summon
1107	Wood Type Crystal Summon
1108	2022 BEST Child Pickup Summon
1109	Debuffers Pickup Summon
1110	Supporters&Defenders Pickup Summon
1112	[Raid Busters Child Summon I] (Unlimited)
1113	[Raid Busters Child Summon II] (Unlimited)
1114	Best World Boss Child Summon
1115	Supporters Pickup Summon
1116	Attacker & Supporter Pickup Summon
1117	Attacker & Defender Pickup Summon
1118	Attacker & Supporter Pickup Summon
1119	
1120	Attacker & Healer Pickup Summon
1121	
1201	
1202	Blood Gem Summon Dark Type
1203	
1204	
1205	
1206	
1207	
1208	
1209	Blood Gem Summon Fire Type
1215	
1216	
1400	Davi’s Reasonable Summon
201	
202	
3101	
3102	
401	Guaranteed Innocent Theophano Premium Pickup Summon (Ends if 1 or more 5★ drops)
402	Guaranteed Tundra Giltine Premium Pickup Summon (Ends if 1 or more 5★ drops)
403	Guaranteed Commander Artemisia Premium Pickup Summon (Ends if 1 or more 5★ drops)
404	Guaranteed Carefree Fairy Driades Premium Pickup Summon (Ends if 1 or more 5★ drops)
405	Guaranteed Perfect Mona Premium Pickup Summon (Ends if 1 or more 5★ drops)
4101	
4102	[Little Succubus's Snack Time Pickup Summon]
4103	[I'm right here. Pickup Summon]
4104	[Showtime! Pickup Summon]
4105	2022 BEST Soul Carta Pickup Summon
411	Guaranteed Northern Kubera Premium Pickup Summon (Ends if 1 or more 5★ drops)
412	Guaranteed Involved Vivian Premium Pickup Summon (Ends if 1 or more 5★ drops)
413	Guaranteed Info Broker Brownie Premium Pickup Summon (Ends if 1 or more 5★ drops)
414	Guaranteed Watcher Ariel Premium Pickup Summon (Ends if 1 or more 5★ drops)
415	Guaranteed String Jacheongbi Premium Pickup Summon (Ends if 1 or more 5★ drops)
4201	
4202	
4203	
5001	Free 3-5★ 10x Summon
5002	
5003	
5004	
5101	
5102	
5103	
5104	
5105	
66600	
91001	
91101	
91201	
94201	
99900	
99901	
