// key	OMNI_EVE_MONSTER_NAME_
1001	Abaddon
101	Goutte rouge
1011	Goutte verte
102	Veilleur
103	Veron
104	Vengeresse
105	Basilic
106	Coffreur
107	Chef Mech
108	Kali Yuga
109	Mimic
1101	Goutte bleue
1102	Veilleur
1103	Veron
1104	Vengeresse
1105	Basilic
1106	Coffreur
1107	Chef Mech
1108	Kali Yuga
1109	Mimic
1201	Goutte bleue
1202	Veilleur
1203	Veron
1204	Vengeresse
1205	Basilic
1206	Coffreur
1207	Chef Mech
1208	Kali Yuga
1209	Mimic
1301	Goutte bleue
1302	Veilleur
1303	Veron
1304	Vengeresse
1305	Basilic
1306	Coffreur
1307	Chef Mech
1308	Kali Yuga
1309	Mimic
1401	Goutte bleue
1402	Veilleur
1403	Veron
1404	Vengeresse
1405	Basilic
1406	Coffreur
1407	Chef Mech
1408	Kali Yuga
1409	Mimic
1501	Halloween
1511	Veron
1601	Goutte jaune
1602	Veilleur
1603	Veron
1604	Vengeresse
1605	Basilic
1606	Coffreur
1607	Chef Mech
1608	Kali Yuga
1609	Mimic
1701	Goutte jaune
1702	Veilleur
1703	Veron
1704	Vengeresse
1705	Basilic
1706	Coffreur
1707	Chef Mech
1708	Kali Yuga
1709	Mimic
1801	Goutte jaune
1802	Veilleur
1803	Veron
1804	Vengeresse
1805	Basilic
1806	Coffreur
1807	Chef Mech
1808	Kali Yuga
1809	Mimic
1901	Goutte jaune
1902	Veilleur
1903	Veron
1904	Vengeresse
1905	Basilic
1906	Coffreur
1907	Chef Mech
1908	Kali Yuga
1909	Mimic
2001	Gomorrhe
201	Goutte rouge
2011	Veilleur
202	Veilleur
203	Veron
204	Vengeresse
205	Basilic
206	Coffreur
207	Chef Mech
208	Kali Yuga
209	Mimic
2101	Goutte violette
2102	Veilleur
2103	Veron
2104	Vengeresse
2105	Basilic
2106	Coffreur
2107	Chef Mech
2108	Kali Yuga
2109	Mimic
2201	Goutte violette
2202	Veilleur
2203	Veron
2204	Vengeresse
2205	Basilic
2206	Coffreur
2207	Chef Mech
2208	Kali Yuga
2209	Mimic
2301	Goutte violette
2302	Veilleur
2303	Veron
2304	Vengeresse
2305	Basilic
2306	Coffreur
2307	Chef Mech
2308	Kali Yuga
2309	Mimic
2401	Goutte violette
2402	Veilleur
2403	Veron
2404	Vengeresse
2405	Basilic
2406	Coffreur
2407	Chef Mech
2408	Kali Yuga
2409	Mimic
2501	Crocelle
2511	Vengeresse
2601	Ève
2602	Ève
2603	Ève
2604	Ève
301	Goutte rouge
302	Veilleur
303	Veron
304	Vengeresse
305	Basilic
306	Coffreur
307	Chef Mech
308	Kali Yuga
309	Mimic
401	Goutte rouge
402	Veilleur
403	Veron
404	Vengeresse
405	Basilic
406	Coffreur
407	Chef Mech
408	Kali Yuga
409	Mimic
501	Pyrodragon
601	Goutte verte
602	Veilleur
603	Veron
604	Vengeresse
605	Basilic
606	Coffreur
607	Chef Mech
608	Kali Yuga
609	Mimic
701	Goutte verte
702	Veilleur
703	Veron
704	Vengeresse
705	Basilic
706	Coffreur
707	Chef Mech
708	Kali Yuga
709	Mimic
801	Goutte verte
802	Veilleur
803	Veron
804	Vengeresse
805	Basilic
806	Coffreur
807	Chef Mech
808	Kali Yuga
809	Mimic
901	Goutte verte
902	Veilleur
903	Veron
904	Vengeresse
905	Basilic
906	Coffreur
907	Chef Mech
908	Kali Yuga
909	Mimic
