// key	SCENARIO_SPEAKER_
 A COUNCIL ELDER	议会长老
A COUNCIL ELDER	议会长老
A.I	A.I
A_COUNCIL_CHAIRMAN	议会主席
AARON	艾伦
ABADDON_CONTRACTOR	真生田真希子
ABIGAIL_CHAIRMAN	阿比盖尔理事长
ACCRASIA	阿克拉西亚
AILILL	艾丽
AKIMAGO	阿基马戈
ALTERED DAVI	蜕变妲比
AMBROSIA_CONTRACTOR	佐藤诗织
ANCHOR	主持人
ANEMONE	秋牡丹
ANNIE	安妮
ANNOUNCE	校内广播
ANNOUNCER	播报员
APOLLO_CONTRACTOR	敕使河原雅人
AQU CUBE	恶方块
ARAHANT	阿罗汉
ARAHANT_FRIEND	阿罗汉的好友
ARGOS	阿尔戈斯
ARIA	亚梨奈
ARTEMISIA_CONTRACTOR	胡桃川久留美
ASHRAM_TEACHER	修道院教师
ATALANTE_CONTRACTOR	槌田纱千香
ATTIS	阿尔蒂斯
ATUM_CONTRACTOR	黑井瑛
AUDIENCE1	观众1
AUDIENCE2	观众2
AUDIENCES	观众
AURORA	欧洛拉
AYANE	绫音
BAAL_CONTRACTOR	权田冬治
BABEL	巴贝尔
BABY	小宝宝
BAKER	咖啡厅店长
BARI	钵里
BARI_CONTRACTOR	铃木伦子
BARI_CONTRACTOR_MOM	铃木伦子的母亲
BAST	不成熟的芭丝特
BATORY	巴托里
BELIEVER_0	信众
BELIEVER_1	信徒
BELIEVER1	信徒1
BELIEVER2	信徒2
BELIEVER3	信徒3
BERDLE	维尔德
BERITH_CONTRACTOR	原子内美喜男
BERMONT	佛蒙特大公爵
BETH	贝丝
BILLY	比利
BIRD	小鸟
BOAR	公猪
BOREAS	波利亚斯
BOREAS_CONTRACTOR	北里风花
BOSS	店长
BOY	男孩
BOY_CONTRACTOR	年轻契约者
BRADAMANTE_CONTRACTOR	剑崎花恋
BRADAMANTE_CONTRACTOR_DAD	剑崎花恋的父亲
BROTHER_LAWRENCE	劳伦斯神父
BUDDHIST	僧侣
BUDLE	柳道士
BURIED DAVI	爱恨交织妲比
BUTLER	执事
CACA	卡喀亚
CACUS	卡库斯
CADUCEUS	使者之杖
CAFE_MANAGER	咖啡店长
CAIN	该隐
CAIT SITH	凯西
CAIT SITH	凯西
CAROL'S FATHER	卡萝的父亲
CAT	猫
CATERPILLAR	毛毛虫
CELEBRANT	主礼者
CELICA	雪莉佳
CHANCELLOR	大学校长
CHANDRAGHANTA	钱德拉
CHEF	主厨
CHESHIRE CAT	柴郡猫
CHICK	小鸡
CHIEF_NIS	公安厅长官
CHIEF_SECRETARY	首席秘书
CHIEF_SONG	鸿池董事长
CHILD	Child
CHILD_OF_FUTURE	未来的Child
CHILD_OF_PAST	过去的Child
CHILD_OF_PRESENT	现在的Child
CHILDA	Child A
CHILDB	Child B
CHUCHU	啾揪
CINTAMANI	如意宝珠
CLARA	克拉拉
CLASSMATE	同学
CLASSMATE1	同学 1
CLASSMATE2	同学 2
CLASSOFCULTURE_GROUP	文化课群组聊天室
CLERK	店员
CLERK1	雇员1
CLERK2	雇员2
CLOSET	衣柜
CLUB_GUARD	保镖
COACH	教练
COMMANDER	指挥官
COMMENT	评论
COMMENTATOR	旁白
CONTRACTOR	契约者
CONVENIENCESTOREOWNER	商店经理
COOKIEMONA	变成饼干的莫娜
COOLGIRL	冷静的少女
CORONA MONA	光芒莫娜
CO-WORKER1	同事1
CO-WORKER2	同事2
CROCELL	克罗赛尔
CU SITH	拉西
CURE CUBE	愈方块
DAVI	妲比
DEANOFSTUDENTS	年级主任
DEBORAH	黛博拉
DEMETER	狄蜜特
DEMETER_CONTRACTOR	高梨真理华
DEMON FOLLOWERA	恶魔信徒A
DEMON FOLLOWERB	恶魔信徒B
DEMON_FOLLOWER	恶魔信徒
DEMON_FOLLOWER1	恶魔信徒1
DEMON_FOLLOWER2	恶魔信徒2
DEMONA	流氓恶魔A
DEMONB	流氓恶魔B
DEMONC	流氓恶魔C
DETECTIVE_GIRL_CONTRACTOR	撒拉J
DETECTIVE1	侦探1
DETECTIVE2	侦探2
DEUCALION	丢卡利翁
DEUCALION_SOUL	杜卡利翁的灵魂
DEVIL	恶魔
DEVIL1	恶魔 A
DEVIL2	恶魔 B
DEVIL3	恶魔 C
DEVIL4	恶魔 D
DOCTOR	医生
DOCTOR_HELLSING	海辛博士
DOG	狗
DOGYEHWA	都桂花
DOKHAN	孤独的
DORMOUSE	睡鼠
DRIVER	司机
DRUNKEN PERSON1	喝醉的客人1
DRUNKEN PERSON2	喝醉的客人2
DRYAD_CONTRACTOR	茅森枫
