// key	MAIL_SENDER_	MAIL_TITLE_	MAIL_TEXT_
1	營運團隊	購買特典	贈送商店購買特典。
1000	A.I	惡鬥擂台獎勵	你從惡鬥擂台廣播員A.I那裡獲得了一份聯賽階級獎勵。\\「你獲得了[reason]點惡鬥點數！繼續保持下去吧！」
10000	莫娜	單位獎勵	你完成了一個單位而獲得了一份獎勵。
1001	A.I	惡鬥擂台獎勵	你從惡鬥擂台廣播員A.I那裡獲得了一份排名獎勵。\\「恭喜你達到了第[reason]名！\能見到你成長茁壯，讓我感到很高興！繼續保持下去吧！」
1002	A.I	惡鬥擂台獎勵	你因為贏得對手挑戰而獲得了一份獎勵！
1003	GM	GM獵人活動獎勵	你因為打敗了GM而獲得一個加成獎勵。
1004	A.I	惡鬥擂台里程獎勵	你獲得了一份惡鬥擂台里程獎勵。
1005	管理隊伍	無限決鬥獎勵	你的無盡對決排名獎勵。
1006	管理隊伍	無限決鬥獎勵	你的無盡對決排名獎勵。
1007	管理隊伍	先鋒對決獎勵	你的無盡對決排名獎勵。
1008	管理隊伍	先鋒對決獎勵	你的無盡對決排名獎勵。
1009	管理隊伍	進階對決獎勵	你的無盡對決排名獎勵。
1010	管理隊伍	進階對決獎勵	你的無盡對決排名獎勵。
11	營運團隊	首次購買	購買活動:首次購買加成獎勵。
11000	莫娜	召喚LIVE捐獻	觀看你的召喚LIVE的好友對你捐獻了！
11001	莫娜	召喚LIVE獎勵	你收到了一份召喚LIVE參與獎勵。
11002	莫娜	召喚LIVE獎勵	你在召喚LIVE期間贏得了一張召喚券！
11003	莫娜	召喚LIVE獎勵	你獲得了一個3★Double獎勵。
11004	莫娜	召喚LIVE獎勵	你獲得了一個3★Triple獎勵。
11005	莫娜	召喚LIVE獎勵	你獲得了一個3★Quadra獎勵。
11006	莫娜	召喚LIVE獎勵	你獲得了一個3★Penta獎勵。
11007	莫娜	召喚LIVE獎勵	你獲得了一個3★Hexa獎勵。
11008	莫娜	召喚LIVE獎勵	你獲得了一個4★Double獎勵。
11009	莫娜	召喚LIVE獎勵	你獲得了一個4★Triple獎勵。
11010	莫娜	召喚LIVE獎勵	你獲得了一個4★Quadra獎勵。
11011	莫娜	召喚LIVE獎勵	你獲得了一個4★Penta獎勵。
11012	莫娜	召喚LIVE獎勵	你獲得了一個4★Hexa獎勵。
11013	莫娜	召喚LIVE獎勵	你獲得了一個5★Double獎勵。
