// key	HECATE_STORY_TITLE_	HECATE_STORY_DESC_
100001001	魔王争奪戦の序幕	
100001002	イントロ<チュートリアル>	
100001003	チュートリアル2	
100001004	チュートリアル3(1/2)	
100001005	チュートリアル3(2/2)	
100001006	チュートリアル4	
100001007	イントロ<デメテル>	
100001008	霊魂のダンジョン(1/2)	
100001009	霊魂のダンジョン(2/2)	
100001010	貧乏な悪魔(1/2)	
100001011	貧乏な悪魔(2/2)	
100001012	魔王争奪戦(1/2)	
100001013	魔王争奪戦(2/2)	
100001014	虚勢のデメテル(1/2)	
100001015	虚勢のデメテル(2/2)	
100001016	インターミッション<デメテル>	
100001017	サキュバスの真実	
100001018	さとり世代悪魔	
100001019	人間の欲望	
100001020	願いと後悔(1/2)	
100001021	願いと後悔(2/2)	
100001022	イントロ<おいしい料理>	
100001023	勤勉な悪魔(1/2)	
100001024	勤勉な悪魔(2/2)	
100001025	悪魔失格	
100001026	失言連発	
100001027	本当の願い(1/2)	
100001028	本当の願い(2/2)	
100001029	イントロ<マンモン>	
100001030	黄金王の登場(1/2)	
100001031	黄金王の登場(2/2)	
100001032	王のお出かけ(1/2)	
100001033	王のお出かけ(2/2)	
100002001	オープニング	
100002002	イントロ<ファイロ>	
100002003	平凡な少年(1/2)	
100002004	平凡な少年(2/2)	
100002005	熱血VS怠け者(1/2)	
100002006	熱血VS怠け者(2/2)	
100002007	チャンピオンの優しさ	
100002008	烈火のファイロ(1/2)	
100002009	烈火のファイロ(2/2)	
100002010	イントロ<クーシー>	
100002011	悪魔ハンター	
100002012	自慢の牙	
100002013	ケモナーズ・ウォー	
100002014	うちの町内ライバル(1/2)	
100002015	うちの町内ライバル(2/2)	
100002016	イントロ<フレイヤ>	
100002017	怪我した猫	
100002018	変な奴	
100002019	招かれざる客	
100002020	逃げる猫(1/2)	
100002021	逃げる猫(2/2)	
100002022	インターミッション<フレイヤ>	
100002023	内気な猫	
100002024	おてんば猫	
100002025	ギャルルン	
100002026	猫の心(1/2)	
100002027	猫の心(2/2)	
100003001	オープニング	
100003002	イントロ<ヘカテー>	
100003003	低スペック悪魔(1/2)	
100003004	低スペック悪魔(2/2)	
100003005	草食系悪魔(1/2)	
100003006	草食系悪魔(2/2)	
100003007	サポーターのお好み(1/2)	
100003008	サポーターのお好み(2/2)	
100003009	魔女心(1/2)	
100003010	魔女心(2/2)	
100003011	イントロ<コンビニ>	
100003012	コンビニの悪魔	
100003013	おにぎり	
100003014	ご主人様の意味	
100003015	コンビニの一日(1/2)	
100003016	コンビニの一日(2/2)	
100003017	イントロ<ジャンヌ>	
100003018	フレイの逆襲(1/2)	
100003019	フレイの逆襲(2/2)	
100003020	同族嫌悪	
100003021	女神降臨(1/2)	
100003022	女神降臨(2/2)	
100003023	書物の攻撃(1/2)	
100003024	書物の攻撃(2/2)	
100003025	インターミッション<ジャンヌ>	
100003026	正面突破	
100003027	契約のヒント	
100003028	巧みな教義	
100003029	卑怯な悪魔(1/2)	
100003030	卑怯な悪魔(2/2)	
100004001	オープニング	
100004002	イントロ<アポロン>	
100004003	誕生	
100004004	崇められる存在Ⅰ	
100004005	信頼関係	
100004006	イントロ<産婦人科>	
100004007	幸せ者	
100004008	悪魔の言い訳	
100004009	しつこい！	
100004010	未完の器(1/2)	
100004011	未完の器(2/2)	
100004012	イントロ<ネヴァンⅠ>	
100004013	本音(1/2)	
100004014	本音(2/2)	
100004015	確信的失言	
100004016	熟睡の裏技	
100004017	悪魔祓い(1/2)	
100004018	悪魔祓い(2/2)	
100004019	インターミッション<ネヴァン>	
100004020	交渉決裂(1/2)	
100004021	交渉決裂(2/2)	
100004022	女難魔界(1/2)	
100004023	女難魔界(2/2)	
100004024	怒りの注文(1/2)	
100004025	怒りの注文(2/2)	
100004026	馬の耳に念仏(1/2)	
100004027	馬の耳に念仏(2/2)	
100004028	インターミッション<ネヴァン>	
100004029	全力(1/2)	
100004030	全力(2/2)	
100004031	虚勢あるいは戦略(1/2)	
100004032	虚勢あるいは戦略(2/2)	
100004033	四面楚歌	
100004034	本当の始まり(1/2)	
100004035	本当の始まり(2/2)	
100005001	オープニング	
100005002	イントロ<ダイアナ>	
100005003	初恋少女(1/2)	
100005004	初恋少女(2/2)	
100005005	合理的な方法(1/2)	
100005006	合理的な方法(2/2)	
100005007	片道通行(1/2)	
100005008	片道通行(2/2)	
100005009	努力が大切(1/2)	
100005010	努力が大切(2/2)	
100005011	イントロ<小学校>	
100005012	将来期待の星(1/2)	
100005013	将来期待の星(2/2)	
100005014	小さな花嫁(1/2)	
100005015	小さな花嫁(2/2)	
100005016	心配事(1/2)	
100005017	心配事(2/2)	
100005018	悪魔の語彙力(1/2)	
100005019	悪魔の語彙力(2/2)	
100005020	イントロ<エウロペⅠ>	
100005021	不登校	
100005022	不良学生	
100005023	放棄されたチャイルド	
100005024	少女方程式(1/2)	
100005025	少女方程式(2/2)	
100005026	イントロ<ネイト>	
100005027	授業時間	
100005028	尾行	
100005029	反抗期の若者	
100005030	親子のキズナ(1/2)	
100005031	親子のキズナ(2/2)	
100006001	オープニング	
100006002	イントロ<レジェンド>	
100006003	捨てられた少女(1/2)	
100006004	捨てられた少女(2/2)	
100006005	謎のスーパールーキー	
100006006	悪童と暴君	
100006007	ダビちゃん参上！(1/2)	
100006008	ダビちゃん参上！(2/2)	
100006009	インターミッション<レジェンド>	
100006010	ダビの誘惑術	
100006011	忍者は我慢である	
100006012	旧時代的風習	
100006013	伝説のレジェンド(1/2)	
100006014	伝説のレジェンド(2/2)	
100006015	イントロ<法律事務所>	
100006016	悪魔は無法	
100006017	感情の守護者	
100006018	悪魔の悩み	
100006019	質問禁止(1/2)	
100006020	質問禁止(2/2)	
100006021	イントロ<大聖堂>	
100006022	言葉遊び	
100006023	危険察知	
100006024	安全第一	
100006025	小さな心配(1/2)	
100006026	小さな心配(2/2)	
100006027	イントロ<エウロペⅡ>	
100006028	不安	
100006029	プロ悪魔の道(1/2)	
100006030	プロ悪魔の道(2/2)	
100006031	付き添い	
100006032	花とミツバチ	
100007001	オープニング	
100007002	イントロ<チェインキラー>	
100007003	さすらう悪魔(1/2)	
100007004	さすらう悪魔(2/2)	
100007005	追撃者(1/2)	
100007006	追撃者(2/2)	
100007007	匠の心(1/2)	
100007008	匠の心(2/2)	
100007009	まともな奴(1/2)	
100007010	まともな奴(2/2)	
100007011	イントロ<繁華街アパート>	
100007012	情に厚い悪魔	
100007013	悪魔失格	
100007014	生活設計	
100007015	賢い魔王(1/2)	
100007016	賢い魔王(2/2)	
100007017	イントロ<カルカス>	
100007018	魔王666号(1/2)	
100007019	魔王666号(2/2)	
100007020	家出宣言(1/2)	
100007021	家出宣言(2/2)	
100007022	危機一髪	
100007023	予言者	
100007024	インターミッション<カルカス>	
100007025	寝る子は育つ	
100007026	危ない奴	
100007027	風前の灯	
100007028	悪魔の災い(1/2)	
100007029	悪魔の災い(2/2)	
100008001	オープニング	
100008002	イントロ<交通渋滞区間>	
100008003	自己防衛	
100008004	消えた候補生	
100008005	デビルアラーム	
100008006	変数	
100008007	イントロ<学習塾>	
100008008	フレイを探して	
100008009	対戦相手	
100008010	交渉	
100008011	モナの提案(1/2)	
100008012	モナの提案(2/2)	
100008013	イントロ<フレイ>	
100008014	臨時の同伴者	
100008015	悪魔らしい悪魔	
100008016	安全不感症	
100008017	悪魔式切り札	
100008018	イントロ<ルーファス>	
100008019	脱走悪魔	
100008020	重要な任務(1/2)	
100008021	重要な任務(2/2)	
100008022	幼馴染	
100008023	回想	
100008024	インターミッション<ルーファス>	
100008025	人形対戦(1/2)	
100008026	人形対戦(2/2)	
100008027	作戦	
100008028	予想通り(1/2)	
100008029	予想通り(2/2)	
100008030	嫡子ルーファス(1/2)	
100008031	嫡子ルーファス(2/2)	
100009001	オープニング	
100009002	イントロ<聖ミカエル>	
100009003	女学院(1/2)	
100009004	女学院(2/2)	
100009005	インターミッション<ゴモラ>	
100009006	壊れた魂(1/2)	
100009007	壊れた魂(2/2)	
100009008	インターミッション<ヒドラ>	
100009009	混沌の怪物(1/2)	
100009010	混沌の怪物(2/2)	
100009011	インターミッション<バートリーⅠ>	
100009012	永遠の同伴者(1/2)	
100009013	永遠の同伴者(2/2)	
100010001	オープニング	
100010002	イントロ<女学院の影>	
100010003	消えた同伴者(1/2)	
100010004	消えた同伴者(2/2)	
100010005	混濁した夢(1/2)	
100010006	混濁した夢(2/2)	
100010007	夢見るリビングデッド(1/2)	
100010008	夢見るリビングデッド(2/2)	
100010009	設計者(1/2)	
100010010	設計者(2/2)	
100011001	オープニング	
100011002	イントロ<バベル>	
100011003	魂の終着点(1/2)	
100011004	魂の終着点(2/2)	
100011005	インターミッション<バートリーⅡ>	
100011006	優しき名家の悪魔(1/2)	
100011007	優しき名家の悪魔(2/2)	
100011008	インターミッション<空っぽの揺りかご>	
100011009	荒れ果てた教室(1/2)	
100011010	荒れ果てた教室(2/2)	
100011011	インターミッション<クリーチャー>	
100011012	暗黒からの叫び(1/2)	
100011013	暗黒からの叫び(2/2)	
100012001	オープニング	
100012002	イントロ<復讐のクババ>	
100012003	黒き揺りかご(1/2)	
100012004	黒き揺りかご(2/2)	
100012005	イントロ<策謀する老将>	
100012006	あの悪魔の噂(1/2)	
100012007	あの悪魔の噂(2/2)	
100012008	イントロ<悪魔の本懐>	
100012009	混沌とした夢(1/2)	
100012010	混沌とした夢(2/2)	
100012011	インターミッション<LAST HOLY DAY>	
100012012	終わりなき魂の誓い(1/2)	
100012013	終わりなき魂の誓い(2/2)	
100013001	オープニング	
100013002	イントロ<闇の中の孤独>	
100013003	忍び寄る影(1/2)	
100013004	忍び寄る影(2/2)	
100013005	もう1人のダビ(1/2)	
100013006	もう1人のダビ(2/2)	
100013007	眠る揺りかご(1/2)	
100013008	眠る揺りかご(2/2)	
100013009	再来のコクーン	
100013010	目覚めたダビ(1/6)	
100013011	目覚めたダビ(2/6)	
100013012	目覚めたダビ(3/6)	
100013013	目覚めたダビ(4/6)	
100013014	目覚めたダビ(5/6)	
100013015	目覚めたダビ(6/6)	
100014001	オープニング	
100014002	イントロ<誇り高き射手 >	
100014003	道場破り(1/2)	
100014004	道場破り(2/2)	
100014005	魔弓の射手(1/2)	
100014006	魔弓の射手(2/2)	
100014007	行方不明のダビ(1/2)	
100014008	行方不明のダビ(2/2)	
100014009	誇りを懸けて(1/2)	
100014010	誇りを懸けて(2/2)	
100019001	イントロ	
100019002	香気と悪臭(1/2)	
100019003	香気と悪臭(2/2)	
100019004	2人の秘密(1/2)	
100019005	2人の秘密(2/2)	
100019006	心の重さ(1/2)	
100019007	心の重さ(2/2)	
100019008	不器用な恋(1/2)	
100019009	不器用な恋(2/2)	
100019010	同時多発	
100019011	2回戦	
100019012	甘い妙薬(1/2)	
100019013	甘い妙薬(2/2)	
100019014	真夏の夜の夢(1/2)	
100019015	真夏の夜の夢(2/2)	
100023001	イントロ	
100023002	Original song	
100023003	鳥井美由	
100023004	Surprise event	
100023005	よろしくね！	
100023006	先輩を信じて！(1/2)	
100023007	先輩を信じて！(2/2)	
100023008	大きな声で！(1/2)	
100023009	大きな声で！(2/2)	
100023010	逆ギレ！	
100023011	Lovely Devil(1/2)	
100023012	Lovely Devil(2/2)	
100090001	いらっしゃいませ！	
100091001	イントロ	
100091002	クランプスI(1/2)	
100091003	クランプスI(2/2)	
100091004	ルドルフ(1/2)	
100091005	ルドルフ(2/2)	
100091006	サンタクロース(1/2)	
100091007	サンタクロース(2/2)	
