// key	BACKGROUND_IMAGE_NAME_	BACKGROUND_IMAGE_DESCRIPTION_
1	灰色心情	讓惡魔感到最舒適的地方就是一個灰色的子空間。
10	沒有名稱	[無描述]
2	黃色心情	黃色的子空間就好像魔界的晚霞。
2001	前往便利商店之路	上班的道路。
2002	午後咖啡廳	惡魔的午後藏身處。
2003	百貨公司大廳	整齊乾淨的百貨公司大廳。
2004	飯店大廳	據說惡魔常常在此下榻的高級飯店。
2005	公寓走廊	只要有人引起騷動，就會有一個非常可怕的老人追出來。
2006	公園的早晨	令人想不到的是竟然有這麼多的契約是在這個寧靜的公園裡簽下的。
2007	售票處	並不是沒時間去看新電影，只是…
2008	隅田川河床	一條微微散發著積水味道的小徑。
2009	健身房	我的目標是這個月至少要去五次。
2010	午後的火車站	我的人生就像火車沿著鐵軌轟隆轟隆地搖晃著。
2011	露天咖啡館	一個需要你提醒員工蓋集點卡的咖啡廳。
2012	陡峭的路	說服你顫抖的雙腿，讓它陪你登上最高點。
2013	圖書館	噓！圖書館裡禁止聊天。並請務必遵守期限準時還書！
2014	空蕩蕩的教室	看來這裡積累了不少考生的怨恨呢。
2015	學校	未來的契約者都已經聚集在同一個地方了。
2016	學校的後門	這是生命的春季，跟惡魔一點關係都沒有。
2017	下雨的街道	被雨淋濕的道路，可以聞到土地的芳香。
2018	百貨公司	一個熱門的簽約地點。在百貨公司前的入口會面是理所當然的吧？
2019	學校操場	被整理得十分乾淨的校園。運氣不錯，現在沒有任何人在。
2020	大學的前門	知識的寵兒們為了將來而讀書的地方。
2021	點心咖啡館	附近這一帶甜點最好吃的咖啡廳。
2022	大樓的大廳	一間以嚴密的保全系統為榮的複合辦公室。
2023	電影院入口	在繁華街的正中央的109影城。
2024	夜晚的教堂	這個地方有個關於驅魔師的恐怖故事。
2025	未使用	[無描述]
2026	沉默的街道	人煙稀少的安靜街道。
2027	夜晚的隅田川河床	被霓虹燈照亮的公園。
2028	夜晚的公園	一個穿越公園的小徑，在夜晚中可以感受到它涼爽的風順著你的脊椎而下。
2029	早安咖啡廳	這間咖啡廳裡有美麗的燈光和技術高超的咖啡師。
2030	隅田川的單車道	有精美的自行車道的公園。
2031	建築物走廊	被好好打理過，放置著花瓶的走廊。
2032	體育館	惡魔在意的就是力量，除此之外沒有其它的了…
2033	貧民窟	看起來可能很怪異，但只要習慣後就沒問題了。
2034	夜晚的街道	只剩下月亮和路燈光芒的街道。
2035	早上的街道	人潮來來往往的商店街。
2036	小巷	經常能看到貓咪的小巷。
2037	巴士站	太陽西下的公車站。
2038	地鐵	一輛準時抵達比延遲更稀奇的電車。
2039	月台	為了您的安全，請務必在線後等待。
2040	書香咖啡館	這裡大部分的書都鮮為人知。
2041	寧靜的小巷	回家路上會經過的安靜巷子。
2042	老舊的街道	一條神秘的街道，其上的傳統房屋點綴著全新的樣貌。
2043	大型購物中心遠景	前衛的建築物的輪廓讓人印象深刻。
2044	大型購物中心內部	搖曳著光芒的夜晚街道，不少惡魔徬徨迷失於此。
2045	大型購物中心遺跡	從這裡看得到銀河。
2046	沿岸區	城市的燈光融入了河流的漣漪表面。
2047	午夜的沿岸區	你大老遠來到這裡，就是為了尋找契約者。
2048	沿岸區的夜景	誰會知道只要往後退一步就能看到如此美景呢？
2049	繁華街	這裡是魔王爭奪戰的起始之地，整個街道充滿著欲望。
2050	山腳下	遠遠的光芒數量等同於願望的數量。
2051	中洲市的晚霞	建設中的公寓。
2052	午夜的中洲市	黃昏來臨時，白天的喧囂和雜亂會逐漸淡去。
2053	中洲市的上空	在看似平靜的天空中，肯定有惡魔潛藏其中吧。
2054	天堂街	融入霓虹燈的惡魔和其僕從們享樂的都市。
2055	夜晚的大樓	夜晚，真正的魔鬼就會出來了。
2056	直升機起降場	空蕩蕩的直升機場。
2057	夜晚的施工區	雖然完工卻空無一人的廢墟。
2058	午夜的施工區	就算在夜晚中，仍然能聽到鐵鎚的敲擊聲。
2059	教堂	驅魔師進行工作的神聖之地。
2060	學校倉庫	籠罩著毛骨悚然氣息的學校倉庫。
2061	海灘	炎熱的沙子在陽光下閃閃發光。
2062	燈塔	遠眺可以看到燈塔的海景。
2063	隧道	人煙稀少的通道，遠處可以看到街燈，但不知為何空氣中瀰漫著一股寒意…
2064	鐵塔	電塔的景色被美麗的日落點著了。
2065	湖	下方就能看見晶瑩剔透的湖，如畫一般的景色。
2066	沿湖環道	一條能看見橋和湖畔風景的步道。
2067	林地	青草的味道混和了土壤的香味，令人舒爽。
2068	通往噴泉的小徑	有著石階和泉水的景色。
2069	日式餐廳	一家高檔日本餐廳，由一位在地的廚師經營。
2070	寧靜的公園	有張在樹陰影底下的長椅，可以坐著休息。
2071	遊樂園	一個小型遊樂園，經常有為數不多的狂熱粉絲光顧。
2072	午夜的遊樂園	為了遊行而裝飾，華麗遊樂園的夜晚。
2073	遺棄的遊樂園	廢棄已久的遊樂園，有一座看似孤獨的摩天輪。
2074	北極熊休息室	北極熊先生，您辛苦了。
2075	猴子籠	忙著吵架的猿猴們的展示籠。
2076	水族館	各種規模大小的水生物都在水族館裡。
2077	小巷	這裡崎嶇不平的地面有一股魅力。
2078	夜市	正在慶祝節慶中的市場。
2079	沒有名稱	這片建築物的景色，大家都會說是一個神聖之地。
2080	未使用	[無描述]
2081	市集小巷	[無描述]
2082	山區健走步道	一條緩緩傾斜的小路，是悠閒漫步的最佳選擇。
2083	都市叢林	灰色的水泥大樓鋪陳出了灰色的都市風景。
2084	沒有名稱	在大都市中都一直很熱鬧的路口。
2085	教堂內部	只是呼吸著就感覺到肺裡灌入了這神聖的氣息…
2086	主人公的房間	如果沒有你的兼職打工及惡魔補助金，就付不起這裡的房租了。
2087	蘭菲茶館	蘭菲經營這間…茶館？至少她是這麼叫它的，但是…
2088	下雨的火車軌道	被雨水浸濕的車站出口。
2089	主人公的廚房	這裡發生各種各樣的事故和不幸的事件。
2090	綜合體育館	在特定的節日裡，綜合體育館充斥著歡樂聲與酒氣。
2091	城門廣場	你可以在城門的廣場感受到歷史的薰陶。
2092	月光下的寺廟	藏在雲中的月光照入了這寧靜的寺廟裡。
2093	佛像	菩薩彌勒佛輕輕地向所有人微笑。
2094	瑜珈教室	瑜珈教室的內部。
2095	主人公的家	你獨自居住的平靜房間。
2096	主人公的化妝室	魅魔來之後，浴室用品的數量增加了許多。
2097	主人公的兼職工作	你每天在這便利商店認真工作，以繳付房租。
2098	便利商店	你每天在這便利商店的前台上班。
2099	紅燈工作室	Evil頻道的紅色工作室。總是在你身旁。
2100	藍燈工作室	Evil頻道的藍色工作室。總是在你身旁。
2101	早晨的繁華街	觀光客一早便在市中心聚集。
2102	夜晚的繁華街	即使夜晚依舊喧鬧的市中心。
2103	摩天大樓入口	可以進入摩天大樓的入口。
2104	遊樂中心	為了紓解壓力，常常會來的遊戲中心。為了錢包著想，來的次數可不能太頻繁。
2105	摩天大樓的遠景	從高樓遠眺的景色。
2106	老舊神壇邊的湖	一個老舊神壇和美麗的湖泊。
2107	無線電塔	有無線電塔的寧靜街道。
2108	夜市界硬體商店	一家暗黑世界家居用品店，販售著可疑的產品。
2109	廣場	有鐘塔的廣場。
2110	平靜的教堂	幾個驅魔師在一個和平的教堂裡工作。
2111	午後的施工區	空無一人的建築工地，最適合想一個人獨處的時候了。
2112	午夜的便利商店	身為競爭對手的便利商店，因靠近車站而蓬勃發展。
2113	城市的上空	俯瞰住宅區的景色。
2114	教堂庭院	教堂庭院用十字架裝飾著。
2115	律師事務所	莫娜有技巧地讓原本的屋主願意將此地讓她作為諮詢中心。
2116	十字路口	繁華的城市交叉路口，汽車喇叭的鳴笛聲不絕於耳。
2117	主人公的電視	一台你從回收廢物堆中搶救並修復的電視。
2118	行人穿越道	在行人橫越道等待一個特長時間的綠燈。
2119	停車場	有火車鐵軌的停車場。
2120	無線電塔入口	通往無線電塔的入口。
2121	實驗室	一個總是在做著不同研究，奇怪的研究所。
2122	遊樂場	妲比和她住在隔壁的朋友們所喜愛的遊樂場。
2123	訓練室	一間保持乾淨的訓練室。
2124	演講廳	學習是永遠不會停止的旅程。
2125	辦公室	忙東忙西的公司職員戰場。
2126	書店	書店是可以讓你增廣見聞的地方，但顯然跟你沒有什麼關係。
2127	家庭餐廳	這是當地人經營的當本土風味餐廳。
2129	廢棄的工廠	一家淪為廢墟的工廠。
2130	廢棄的大樓	一座廢棄的建築，再也沒人會去了。
2131	醫院	狄蜜特的契約者在這間大醫院上班。
2133	夜晚的公園噴泉	公園裡有一個用LED燈裝飾的噴泉。
2134	隅田川的人行道	一條經過仔細維護的步道，右側可以看到隅田川。
2135	腳踏車停車場	人們將他們的腳踏車停放在公園的外圍。
2136	公園噴泉	有噴泉的公園。許多家庭都喜歡一同來這裡。
2137	足球場	用真正的草皮做的足球場。
2139	棒球場	充滿著粉絲熱情的棒球場。
2141	速食餐廳	大型的速食餐廳，是出了名的簽約地點。
2142	速食餐廳櫃台	飢餓的客人在這裡等他們點的漢堡。
2144	學校屋頂	學校屋頂只有在午餐時間可以使用。
2145	購物中心	大型百貨公司裡的購物中心。
2146	美術館	一個現代藝術博物館，每一季都會更換展覽的主題。
2147	山丘	可以俯瞰城市風景的小山丘。
2148	鬼屋	傳說這地方有鬧鬼。但似乎有人在居住。
2151	天橋	這陸橋可以讓你測試自己的膝蓋有多健康。
2152	深夜的加油站	自助加油站整晚都開著。
2153	落櫻繽紛的道路	一條兩側都是櫻花樹的道路。
2154	落櫻繽紛的橋	有著櫻花綻放的春天美景。
2155	溫泉商店	「對惡魔很溫和的有機溫泉」商店…吧。
2157	老舊神壇	一座老神壇，屋頂的磚塊好像要延綿到天邊一般。
2158	地下迷宮	被惡魔掌控的廢棄地下鐵路。
2159	地下迷宮之地	可以在這裡找到地下迷宮的補給品。
2160	校園樹林	一個可休息的陰涼處。
2161	警察局	如果你目睹任何犯罪，請撥打110。
2164	莫娜的房間	莫娜沒有詢問便把已經變狹小的住處改造成花俏的房間…
2175	生命之橋	別被生命之橋這名字騙了。這裡其實是惡魔激戰的現場。
2176	回憶酒吧	喝酒是為了遺忘，但是這個地方卻完全相反。
2177	午夜的行人隧道	夜晚的步行隧道，這裡也有許多惡魔來來去去。
2178	夜晚的公園	夜晚的公園，月光才剛開始閃耀。
2179	綜合體育館	綜合運動場，運動員們的聖地。
2180	金幣地下城	這個地方瑪門大人常常經過。
2181	KTV室	一個在遊樂中心的KTV室。
2182	空中的方尖碑	在城市中出現的怪異建築物。
2183	方尖碑的降臨	古老惡魔一直在等待的神祕巨型塔。
2184	方尖碑的墜落	方尖碑已是一個殘骸，但是惡魔的信徒計畫要恢復它。
2185	克麗歐佩特拉的金字塔	在金字塔裡複雜的方尖碑用魔法重建了。
2186	米開朗基羅的壁畫	透過魔法方式已將西斯廷教堂的內部重現了。
2187	米開朗基羅的走廊	需要檢查。
2188	魔界	魔界的首都，像混沌的河川一樣混亂。
2189	萬聖節公園	在萬聖節主題遊樂園附近的風景。
2196	綠色地下城	心之夾縫中，有著綠色的光暈。
2197	紅色地下城	心之夾縫中，有著紅色的光暈。
2198	黑暗地下城	心之夾縫中，有著灰色的光暈。
2199	光之地下城	心之夾縫中，有著紫色的光暈。
2200	藍色地下城	心之夾縫中，有著藍色的光暈。
2201	Re:birth LAB	「惡魔原型的心火能量研究所:夜之世界魔王爭奪戰分部」的面貌。
2203	聖誕街	魯道夫兼職的麵包店。
2204	聖誕百貨公司	沾染聖誕節氣息的百貨公司。
2205	聖誕公園	有聖誕遊行的遊樂園。
2222	律師事務所	試著敞開心胸，把你的擔憂說出來吧。
2224	夜晚的聖邁克爾	正值平安夜...某處卻有邪惡的計劃伺機而動。
2240	歌姬Live舞台♪	充滿粉絲的加油聲，歌姬的熱情現場表演！
2241	白天的新繁華街	白天的新繁華街，這裡建設中的建築比行人還多。
2242	夜晚的新繁華街	夜晚的新繁華街，暗到你無法區分人類和惡魔。
2264	第一個日出	一年過去，又是一年的開始。伴著你迎接第一個日出...
2267	驅魔師協會	願所有驅魔師得以安息。
2268	毀壞的驅魔師協會	隱藏在廢墟深處的謎團。
2269	驅魔師協會外圍	讓驅魔師陷入瘋狂的惡魔之力在空中飄散。
2289	夜晚的原野	夜幕帶著微風在曠野來臨。
2296	聖誕的煙火	為慶祝聖誕節而施放的美麗煙火。
2297	洛基的空間	由洛基創造的空間，無法確定是否真實存在。
2300	咖啡廳屋頂	可以看到夕陽的屋頂。
2301	從外太空看見的地球	從外太空所看見的地球。從腳下可以看見月亮。
2302	新年煙火秀	用來慶祝全新開始的煙火。
2303	人偶工廠	實驗很成功。\去帶妳同伴過來。
2304	天空之湖	映照青空的湖，\令人平靜的景色。
2305	夜空之湖	映照繁星點點夜空的湖。
2306	奧喀斯的實驗室	一座研究實驗室，由剖析靈魂的科學家奧喀斯所有。
2307	大都會博物館走廊	配有許多隱密的保全裝置\藉此防範盜賊竊取。
2308	毀壞的重生迷宮	妳選錯回答了。\談判不是選項之一。
2309	大都會博物館	座落於紐約市的博物館。\有琳瑯滿目的藝術品、文化資產，以及歷史文物存放並展示於此。
2310	怪盜基地	PHAN+IC的基地。\藏於無人能尋之地。
2311	阿羅漢的宇界	只能由屈指可數的驅魔師所建立的虛擬空間。
2312	塵土中的聖邁克爾女子學校校園	能在這所宗教學校感受到惡魔的魔力。
2313	地下墓穴	失去自己原先用途的校內隱藏空間。
2314	特蕾莎的宇宙	在這裡你都能獲得一切。就算不持久的事物也是。
2315	純潔之魂	存放於大都會博物館的無價之寶。
2316	消失的寶物	「純潔之魂」或怪盜位於何處？
2317	紐約市	即使是紐約市，也無法倖免於暗影降臨
2318	夜晚的紐約市	夜晚的紐約市顯得更加迷人。
2325	阿羅漢的房子	女神所指之處，有個女孩正在沉睡。
2326	試煉之間	為坐上女神之位所需承擔的黑暗與恐懼時光。
2327	尼泊爾的街道	我跟隨自己已到遠處好友的聲音來到這裡。
2328	尼泊爾的慶典	日落月升之時，嶄新景色將會揭露。
2329	庫瑪麗神廟	國境內最神聖且最孤獨的地方。
2330	廢棄神廟	被遺棄的女神聖墓。如今只有無名的星辰會崇拜她了。
2331	冰凍的女士們	我的朋友離開我去了一個如此靠近但又遙遠的地方。
2332	休息室	Planet Party在這裡為表演做好準備。\可以聽到外面的粉絲對偶像們的尖叫聲。
2335	亞摩斯島莊園密室	亞摩斯島上朱諾的私人空間
2336	朱諾與帝瓦茲的莊園	朱諾與帝瓦茲莊園理的臥室。\他們的莊園大得很誇張。
2337	亞摩斯島莊園花園	奧德修斯每天都會照料這座美麗的花園。
2338	花園之夜	亞摩斯島上的夜晚很漫長。
2339	海灘會所	提供無限美味雞尾酒的美麗海灘會所。
2340	度假勝地之夜	迷人度假勝地中能欣賞夕陽的地點。
2341	亞摩斯島上的夜晚	亞摩斯島的仲夏夜夢幻街景。
2342	帝瓦茲客房裡的臥室	帝瓦茲和朱諾洗衣服的秘密空間。
2343	客房之夜	豪華的空間，但帝瓦茲討厭一個人待在這間客房裡。
2344	帝瓦茲的客房	展示帝瓦茲品味的豪華客房。
2345	姬瓦的病房	一間處處展示了自己善良主人本意的舒適病房。
2346	如意寶珠的世界	如意寶珠創造的奇異黑白世界。
2347	D1賽道	有著幾乎無盡直線的賽道，讓車手能盡情享受高速。
2348	D1看台	可容納上千惡魔的看台。
2349	洛基的如意寶珠	洛基的特製如意寶珠。
2350	猶大的藏身處	猶大黑暗、潮濕的藏身處
2351	猶大的宇宙	在這裡，強者生存就是一切。
2354	巴貝爾的實驗室	先前用來種植受詛咒植物「惡魔之血」的秘密實驗室。
2355	洛基的會客室	現世之王洛基的接見室。
2356	燃燒的如意寶珠空間	滲入密特拉心智的瘋狂，正熊熊燃燒。
2357	瘋狂宇宙	某個失去理智之人的內在。這裡比地獄還炎熱，而且充滿了極度的痛苦。
2358	黑暗走廊	來自無人走廊的怪聲。這是風聲，還是某人的笑聲呢？
2374	林中洞穴	深藏森林之中的洞穴。也許不如外表所見的空無一人。
2375	將熄之焰	火焰即將熄滅，但難以忍受的高溫與極度的痛苦也會一同消失嗎？
2376	米麗安的宇界	為那些注定滅亡之人準備的懲罰監獄。
2377	巴托里的宇宙	自願選擇的地獄，有著來自天堂的光芒…
2378	霓虹燈背景	霓虹燈開始閃亮的夜晚時分。
2379	夜晚的惡魔之家	難以置信沉默的那個惡魔的家。
2381	米麗安的家	隱藏在回憶之後的暖心回憶。不再被守護的逝去回憶。
2382	驅魔師協會歐洲分部	依歷史悠久的永恆信仰為基礎所建造的祭壇。但即使是光之祭壇，也會造成陰影。
