// key	SELECT_BOX_NAME_	SELECT_BOX_DESC_
73100001	5★ Summon Ticket Select Box	Select one component to receive it.
73100002	2019 Prism Carta Select Box	Select one component to receive it.
73100003	2019 A Equipment Select Box	From launch until Dec 31, 2019.\Excludes collaboration items.
73100004	Refining Orb +15 Select Box	Select one component to receive it.
73100005	2019 Child Select Box	From launching to Dec. 31 '19. \Collab.- and House of Reincarnation-limited Childs not included.
73100006	2020 Child Select Box	From launching to Dec. 31 '20. \Collab.- and House of Reincarnation-limited Childs not included.
73100007	2019 Child Costume Select Box	From launching to Dec. 31st '19. \Collab.-limited and Pactmaker costumes not included.
73100008	Alchemy Gear Select Box	Select one component to receive it.
73100009	Refining Orb +15 Select Box	Select one component to receive it.
73100010	2019 Child Spa Skin Select Box	From launch until Dec 31, 2019.\Excludes collab. spa skins.
73100011	Ravine or Beach Select Box	Select one component to receive it.
73100012	Best World Boss Child Spa Skin Select Box	Select one component to receive it.
73100013	Double-Edged Sword Child Spa Skin Box	Select one component to receive it.
73100014	Rumble Best Child Spa Skin Select Box	Select one component to receive it.
73100015	Rebirth Labyrinth Spa Skin Select Box	Select one component to receive it.
73100016	2019 (P) Carta Select Box	From start of service until December 31, 2019\Crossover Carta unavailable
73100017	Best World Boss Child Spa Skin Select Box	Select one component to receive it.
73100018	Rumble Best Child Spa Skin Select Box	Select one component to receive it.
73100019	Refining Orb +3 Select Box	Select one component to receive it.
73100020	Refining Orb +7 Select Box	Select one component to receive it.
73100021	Best Raid Spa Skin Select Box	Select one component to receive it.
73100022	3★ Pactmaker Skin Select Box	Select one component to receive it.
73100023	4★ Pactmaker Skin Select Box	Select one component to receive it.
73100024	5★ Pactmaker Skin Select Box	Select one component to receive it.
73100025	Best World Boss Child Spa Skin Select Box	Select one component to receive it.
73100026	Spa Accessory Select Box	Select one component to receive it.
73100027	Best Raid Spa Skin Select Box	Select one component to receive it.
73100028	10x Summon Ticket Select Box	Select one component to receive it.
73100029	5★ Spa Present Select Box	Select one component to receive it.
73100030	Best Rebirth Spa Skin Select Box	Select one component to receive it.
73100031	Best World Boss Child Spa Skin Select Box	Select one component to receive it.
73100032	Best Raid Spa Skin Select Box	Select one component to receive it.
73100033	Best Rumble Spa Skin Select Box	Select one component to receive it.
73100034	Best A Rank Equipment Select Box	Select one component to receive it.
73100035	Twin Spa Skin Select Box I	Select one component to receive it.
73100036	Twin Spa Skin Select Box II	Select one component to receive it.
