// key	CHARACTER_NAME_	CHARACTER_SKIN_DESCRIPTION_
c000_01	_มาสเตอร์	รสนิยมทางแฟชั่นของปีศาจผู้ยากจนเนี่ยเห่ยเสมอเลย
c000_10	ผู้ลึกลับ _มาสเตอร์	ชุดของเด็กสาวที่คุ้นหน้าคุ้นตาอย่างน่าประหลาดใจ
c000_11	โรงเรียนสตรี _มาสเตอร์	เครื่องแบบมีแจ็คเก็ตของเหล่านักเรียนโรงเรียนสตรีอันมีเกียรติ
c000_12	ชุดว่ายน้ำ _มาสเตอร์	
c000_13	_มาสเตอร์	
c000_14	ชุดเดรส _มาสเตอร์	
c000_15	_มาสเตอร์	
c000_16	_มาสเตอร์	
c001_01	_โมนา	เครื่องแบบชั้นยอดสำหรับปีศาจคุมทาสจอมขี้เกียจ
c001_02	แบทเทิลสูท _โมนา	ซัคคิวบัส โมนา พร้อมลุย ♥
c001_12	ชุดเที่ยวทะเล _โมนา	ผู้หญิงสุดฮ็อตในชุดว่ายน้ำรัดรูปโชว์หุ่น\ทำให้คุณรู้สึกเร่าร้อนดั่งไฟเยอร์!
c001_14	คุณครูขา _โมนา	ชุดที่ใส่โดยโมนา ซัคคิวบัสผู้เคร่งครัด
c001_16	ชุดว่ายน้ำ _โมนา	บิกีนี่สุดเซ็กซี่ที่สวมใส่โดยผู้หญิงผู้เป็นที่โจษจัน ฤดูร้อนของเจ้าจะเร่าร้อนขึ้นไปอีก!
c001_17	มินิ _โมนา	ร่างในวัยเด็กของโมนาที่สร้างขึ้นจากข้อมูลทางชีววิทยาของเธอ!
c002_00	_ลิซ่า	ชุดนอนลับๆ ของซัคคิวบัส ลิซ่า
c002_01	_ลิซ่า	ชุดสุดหรูที่สวมใส่โดยซัคคิวบัสผู้มีความสามารถระดับสุดยอด
c002_02	แบทเทิลสูท _ลิซ่า	ค่าพลังของซัคคิวบัสผู้มีความสามารถระดับสุดยอดเพิ่มขึ้นแล้ว!
c002_10	ชุดเที่ยวทะเล _ลิซ่า	บิกินีสุดเซ็กซี่ที่สวมใส่โดยหญิงเจ้าเสน่ห์ที่เป็นไอดอลของใครหลายคน\ขอบอกไว้เลยว่าในฤดูร้อนนี้... น่าตื่นเต้นอย่าบอกใคร!
c002_11	ชุดนักเรียน _ลิซ่า	เครื่องแบบนักเรียนอันทรงเกียรติของซัคคิวบัส ลิซ่า
c002_12	ค่ายฤดูร้อน _ลิซ่า	ชุดว่ายน้ำที่ออกแบบมาอย่างสวยงามของลิซ่า พร้อมรับลมร้อน!
c003_01	_ดาบิ	ดาบิใส่อะไรก็ดูสวยไปหมด!
c003_02	แบทเทิลสูท _ดาบิ	ความน่ารักของดาบิสายแบ๊วพุ่งทะลุหลังคา!
c003_10	ชุดเที่ยวทะเล _ดาบิ	ดาบิ เด็กผู้หญิงที่โดดเด่นในชุดบิกินี\ไปเล่นสนุกกับปีศาจกันเถอะค่า!
c003_11	ชุดนักเรียน _ดาบิ	เครื่องแบบนักเรียนของดาบิ เด็กวัยรุ่นในวัยที่ฮอร์โมนพลุ่งพล่าน
c003_13	ซัมเมอร์ดรีม _ดาบิ	ชุดอาบน้ำเต็มตัวของดาบิที่เน้นฟังก์ชันการทำงาน
c003_14	ราชาปีศาจรุ่นที่ 3 _ดาบิ	รูปลักษณ์ของราชาปีศาจตามจินนาการที่ดาบิหวังและใฝ่ฝัน!
c003_15	ซาตาน _ดาบิ	จินตนาการดาบิจอมโหด ฝันในฝัน
c003_16	คริมสัน _ดาบิ	จินตนาการของดาบิ ดอกไม้สีเลือดหมูที่บานสะพรั่งจากความฝัน
c003_17	มินิ _ดาบิ	ดาบิที่สร้างจากชิ้นส่วนของราชาปีศาจ ดาบิ\มีแต่ข้าที่คิดไปเอง หรือว่ามันดูคล้ายกันจริงๆ นะ?
c003_18	ชุดเชียร์ลีดเดอร์ _ดาบิ	อย่าเข้าใจข้าผิดสิ! ข้าไม่ได้มาเชียร์มาสเตอร์หรอกนะ!\ชุดเชียร์ลีดเดอร์ของดาบิมีไว้สำหรับท่านพี่โมนาเท่านั้น
c003_89	ราชาปีศาจรุ่นที่ 3 _ดาบิ	รูปลักษณ์ของราชาปีศาจตามจินนาการที่ดาบิหวังและใฝ่ฝัน!
c004_00	_เจนนิเฟอร์	กระโปรงกีฬาเข้ากับเธออย่างลงตัว
c004_01	ผู้เป็นมิตร _โชโย	ชุดต่อสู้ที่ยืดหยุ่นเป็นพิเศษสำหรับไชลด์จอมอาละวาด
c004_02	ผู้อบอุ่น _โชโย	ชุดต่อสู้พิเศษที่เพิ่มพลังให้อาวุธของเธอ
c005_00	ซาวากิ _นัทสึเมะ	ปืนฉีดน้ำที่ไม่มีฟังก์ชันการเล็งเป้า ระวังตัวไว้ล่ะ!
c005_01	ซูมมิ่ง _มาร์ส	ผู้สวมใส่อาจอาละวาดได้ ขึ้นอยู่กับอารมณ์ตอนใส่ ระวังตัวไว้ล่ะ!
c005_02	อาละวาด _มาร์ส	ล็อคแล้วโหลด! ได้เวลาแก้แค้นแล้วสิ!
c007_00	คากะ _เคียวสุเกะ	ชุดลำลองที่เป็นเอกลักษณ์ของฟีนิกซ์ที่ทำมาจากไฟ
c007_01	ร้อนระอุ _ฟีนิกซ์	คอสตูมที่เป็นเอกลักษณ์ของฟีนิกซ์! ไม่มีใครเหมือนแน่นอน!
c007_02	เพลิงคลั่ง _ฟีนิกซ์	คอสตูมที่เป็นเอกลักษณ์ของฟีนิกซ์ที่ทำมาจากไฟ!
c008_00	วากาสึกิ _เคียวโกะ	ด้ามจับเครื่องประดับของเธอช่างสุดยอด!
c008_01	นักรบ _ฟริกกา	จิตวิญญาณของฟริกกาเปล่งแสงสีขาว
c008_02	ผู้เข้มแข็ง _ฟริกกา	จิตวิญญาณการต่อสู้ของฟริกกาส่องแสงสีขาว
c009_00	อูโตะ _จิน	เจ้าต่อสู้ได้ตราบเท่าที่ใจเจ้าปรารถนา แม้จะใช้ปืนที่เลียนแบบมาก็ตาม!
c009_01	ทหารรับจ้าง _เฮกเตอร์	ลูกค้าต้องรับผิดชอบความเสียหายหรือการบาดเจ็บจากการใช้งาน
c009_02	ฟิกเซอร์ _เฮกเตอร์	คอสตูมที่มีความทนทานขั้นสูงสุดสำหรับทหารรับจ้างที่เสี่ยงชีวิตในการต่อสู้
c010_00	ทาคานาชิ _มาริกะ	ชุดสำหรับนางพยาบาลผู้ใช้ชีวิตเต็มที่
c010_01	จอมหลอกลวง _ดีมีเทอร์	ทีนี้ข้าก็กลายเป็นนางพยาบาลแล้ว บางทีข้าน่าจะลองฉีดยาให้นะ
c010_02	ผู้ทะนงตัว _ดีมีเทอร์	ชุดต่อสู้ของดีมีเทอร์ที่พบในโรงพยาบาลลับ
c011_00	ฮาอิโตะ _ฟูซาโกะ	ชุดต่อสู้ของนักศึกษาแพทย์ผู้จริงใจ การสวมใส่ชุดเหล่านี้ทำให้เกิดความผิดพลาดมากมาย
c011_01	อาสาสมัคร _เดโน	ชุดต่อสู้ของเด็กสาวสู้งาน คนสู้งานก็ทำเรื่องผิดพลาดได้
c011_02	ผู้ทุ่มเท _เดโน	ชุดต่อสู้ของเด็กสาวผู้กระตือรือร้น คนงานผู้กระตือรือร้นก็ทำเรื่องผิดพลาดได้
c012_00	ริวโซ _มูโตะ	เสื้อโค้ทสำหรับนักสืบที่ทรงภูมิ
c012_01	ผู้เลือดร้อน _อากาเมมน่อน	คอสตูมสำหรับอากาเมมน่อน\พร้อมสู้เสมอไม่ว่าที่ไหนหรือเมื่อไร
c012_02	ร่างสุดท้าย _อากาเมมน่อน	จะลุยตอนไหนก็เข้ามาเลย\คอสตูมที่แท้จริงของอากาเมมน่อน
c013_00	ซากุระกาว่า _คาซูมิ	เด็กสาวอัจฉริยะผู้ไม่สนใจเซนส์ด้านแฟชั่นช่างน่าหลงใหลยิ่งนัก
c013_01	รัตติกาลมืดมิด _อาร์ทีมิส	ชุดราตรีดำเงาสำหรับยามเย็นอันเงียบสงบ
c013_02	แสงจันทรา _อาร์ทีมิส	ชุดราตรีแสงจันทร์สำหรับยามเย็นอันแสนสบาย
c014_00	คัตสึมิ _โทโด	คอสตูมทหารได้มาจากผู้ทำพันธสัญญาของอัสเทรีย
c014_01	ดาวระยิบระยับ _อัสเทรีย	เครื่องรางรูปกากบาทคือสัญลักษณ์ของอัสเทรีย
c014_02	กาแล็กซี _อัสเทรีย	คอสตูมสีดำไข่มุกที่แสดงถึงอุปนิสัยอันเคร่งครัดของอัสเทรีย
c015_01	ผู้ผันเปลี่ยนตามฤดูกาล _เฮเลนา	ชุดมาตรฐานของเธอทำออกมาด้วยความใส่ใจในทุกรายละเอียด
c017_00	เจ้าหมาบ้า _โคมูกิ	อาบน้ำให้เธอสัปดาห์ละครั้ง หากเจ้าไม่ชอบกลิ่นสุนัข
c017_01	สุนัขเฝ้ายาม _คูสิธ	"เชื่อในตัวข้าสิ! จงสัมผัสถึงจิตวิญญาณนักสู้ของสุนัขเฝ้ายาม!"
c017_02	ผู้ป้องกัน _คูสิธ	"ข้าไม่มีวันปล่อย เมื่อข้าได้ฝังเขี้ยว! จงสัมผัสถึงจิตวิญญาณนักสู้ของสุนัขเฝ้ายาม!"
c018_00	ยากามิ _ยาโยอิ	คอสตูมของนักทำตุ๊กตาผู้หดหู่
