// key	SKILL_TARGET_
0	
1	Cibles
10	Alliés à droite
100	Allié de type Lumière (Souterrain)
1001	Allié (purifié)
1002	Ennemi (purifié)
101	Allié de type Ombre (Souterrain)
1011	Allié (JcJ, jauge de compétence la plus élevée)
1012	Ennemi (JcJ, jauge de compétence élevée)
102	Allié (victime de Brûlure)
1021	Allié de type Eau (JcJ, attaquant)
1022	Ennemi de type Eau (JcJ, attaquant)
103	Allié (victime de Brûlure/Échaudure)
1031	Allié de type Feu (JcJ, attaquant)
1032	Ennemi de type Feu (JcJ, attaquant)
104	Allié (Bombe à eau)
1041	Allié de type Bois (JcJ, attaquant)
1042	Ennemi de type Bois (JcJ, attaquant)
105	Allié (Soin mortel)
1051	Attaquant allié de type Lumière (JcJ)
1052	Ennemi de type Lumière (JcJ, attaquant)
106	Allié (sauf utilisateur)
1061	Allié de type Ombre (JcJ, attaquant)
1062	Ennemi de type Ombre (JcJ, attaquant)
107	Utilisateur (JcJ)
1074	Cible attaquée
108	Allié (marque)
1085	Cibles
109	Allié de type Eau (Boss géant à 20, ATQ élevée)
1091	Allié (non affaibli)
1092	Ennemi (non affaibli)
110	Allié de type Feu (Boss géant à 20, ATQ élevée)
1101	Allié (avec renforcement durable sur le champ de bataille)
1102	Ennemi (avec renforcement durable sur le champ de bataille)
1103	Tous les ennemis/alliés (avec renforcement durable sur le champ de bataille)
111	Allié de type Bois (Boss géant à 20, ATQ élevée)
1111	Allié de type Eau (dont utilisateur, si du même type)
112	Allié de type Lumière (Boss géant à 20, ATQ élevée)
1121	Allié de type Eau (dont utilisateur, si du même type)
113	Allié de type Ombre (Boss géant à 20, ATQ élevée)
114	Allié (nombreux renforcements)
115	Allié (Boss géant à 20, affaibli)
116	Allié (Boss géant à 5, ATQ élevée)
1161	Allié (JcJ, Soin mortel)
1162	Ennemi (JcJ, Soin mortel)
117	Allié (Boss géant à 5)
118	Allié (Bombe de neige)
119	Allié de type Eau (Boss géant à 5, ATQ élevée)
12	Attaquant allié
120	Allié de type Feu (Boss géant à 5, ATQ élevée)
121	Allié de type Bois (Boss géant à 5, ATQ élevée)
122	Allié de type Lumière (Boss géant à 5, ATQ élevée)
123	Allié de type Ombre (Boss géant à 5, ATQ élevée)
124	Attaquant allié (JcJ)
125	Défenseur allié (JcJ)
126	Allié (JcJ, soigneur)
127	Affaiblisseur allié (JcJ)
128	Soutien allié (JcJ)
129	Allié de type Eau (sauf utilisateur)
13	Défenseur allié
130	Allié de type Feu (sauf utilisateur)
131	Allié de type Bois (sauf utilisateur)
132	Allié de type Lumière (sauf utilisateur)
133	Allié de type Ombre (sauf utilisateur)
134	Allié (JcJ, ATQ élevée)
135	avec effet retiré
136	Allié (sauf utilisateur, 50 %% de PV ou moins)
137	Allié (PV bas, y compris utilisateur)
138	Allié (PV bas, y compris utilisateur)
139	Utilisateur (JcE)
14	Soigneur allié
140	Allié (JcE)
141	Allié de type Eau (JcE)
142	Allié de type Feu (JcE)
143	Allié de type Bois (JcE)
144	Allié de type Lumière (JcE)
145	Allié de type Ombre (JcE)
146	Allié (victime de Venin)
147	Attaquant allié (JcE)
148	Allié (JcE, défenseur)
149	Allié (JcE, soigneur)
15	Affaiblisseur allié
150	Affaiblisseur allié (JcE)
151	Allié (JcE, soutien)
152	Allié (JcE, affaibli)
153	Allié (JcE, renforcé)
154	Allié (DÉF compétence affaiblie)
155	Allié (DÉF compétence renforcée)
156	Allié (avec affaiblissement basé sur la durée)
157	Allié (Souterrain, ATQ élevée)
158	Allié (avec anti-soin)
159	Allié (soin/vampirisme)
16	Soutien allié
160	Allié (nombreux affaiblissements)
161	Allié (peu de renforcements)
162	Allié (peu d'affaiblissements)
163	Utilisateur (Boss géant à 20)
164	Allié (JcJ, PV bas)
165	Allié (JcJ, PV bas)
166	Utilisateur (défi de course)
167	Allié (défi de course)
168	Allié (défi de course, ATQ élevée)
169	Allié (défi de course, PV bas)
170	Allié (défi de course, PV bas)
171	Allié de type Eau (défi de course)
172	Allié de type Feu (défi de course)
173	Allié de type Bois (défi de course)
174	Allié de type Lumière (défi de course)
175	Allié de type Ombre (défi de course)
176	Allié (sans effet)
177	Allié (Boss géant à 20, compétence en charge)
178	Allié (Boss géant à 5, compétence en charge)
179	Allié (Boss géant à 5, PV bas)
180	Allié (Boss géant à 5, PV bas)
181	Attaquant allié (Boss géant à 20)
182	Allié (Boss géant à 20, défenseur)
183	Allié (Boss géant à 20, soigneur)
184	Allié (Boss géant à 20, affaiblisseur)
185	Soutien allié (Boss géant à 20)
186	Allié (Boss géant à 20, PV bas)
187	Allié (Boss géant à 20, PV bas)
188	Allié (JcJ, renforcé)
189	Allié (JcJ, nombreux renforcements)
190	Allié de type Eau (PV bas)
191	Allié de type Feu (PV bas)
192	Allié de type Bois (PV bas)
193	Allié de type Lumière (PV bas)
194	Allié de type Ombre (PV bas)
195	Allié de type Eau (PV bas)
196	Allié de type Feu (PV bas)
197	Allié de type Bois (PV bas)
198	Allié de type Lumière (PV bas)
199	Allié de type Ombre (PV bas)
2	Ennemis
200	Allié de type Eau (affaibli)
201	Allié de type Feu (affaibli)
202	Allié de type Bois (affaibli)
203	Allié de type Lumière (affaibli)
204	Allié de type Ombre (affaibli)
205	Allié (victime de Séduction)
206	Allié (Boss géant à 5, avec affaiblissement basé sur la durée)
207	Allié (sauf attaquant)
208	Allié (sauf défenseur)
209	Allié (sauf soigneur)
210	Allié (sauf affaiblisseur)
211	Allié (sauf soutien)
212	Allié de type Eau (JcE, attaquants)
213	Allié de type Feu (JcE, attaquants)
214	Attaquant allié de type Bois (JcE)
215	Allié de type Lumière (JcE, attaquants)
216	Allié de type Ombre (JcE, attaquants)
217	Allié de type Eau (Boss géant à 20, attaquants)
218	Attaquant allié de type Feu (Boss géant à 20)
219	Attaquant allié de type Bois (Boss géant à 20)
22	Allié de type Eau
220	Attaquant allié de type Lumière (Boss géant à 20)
221	Attaquant allié de type Ombre (Boss géant à 20)
222	Allié (invincible)
223	Attaquant allié de type Eau (Boss géant à 5)
224	Attaquant allié de type Feu (Boss géant à 5)
225	Attaquant allié de type Bois (Boss géant à 5)
226	Attaquant allié de type Lumière (Boss géant à 5)
227	Attaquant allié de type Ombre (Boss géant à 5)
228	Allié (JcE, PV bas)
229	Allié (électrocuté)
23	Allié de type Feu
230	Allié (JcJ, dégâts continus)
231	Allié (victime de Cécité)
232	Allié (ATQ basse)
233	Allié (JcJ, ATQ basse)
234	Allié de type Eau (Boss géant, meilleure ATQ)
235	Allié de type Feu (Boss géant, meilleure ATQ)
236	Allié de type Bois (Boss géant, meilleure ATQ)
237	Allié de type Lumière (Boss géant, ATQ élevée)
238	Allié de type Ombre (Boss géant, ATQ élevée)
239	Allié de type Eau (JcJ, affaiblisseur)
24	Allié de type Bois
240	Allié de type Feu (JcJ, affaiblisseur)
241	Allié de type Bois (JcJ, affaiblisseur)
242	Allié de type Lumière (JcJ, affaiblisseur)
243	Affaiblisseur allié de type Ombre (JcJ)
244	Allié de type Eau (JcJ, meilleure ATQ)
245	Allié de type Feu (JcJ, ATQ élevée)
246	Allié de type Bois (JcJ, ATQ élevée)
247	Allié de type Lumière (JcJ, ATQ élevée)
248	Allié de type Ombre (JcJ, ATQ élevée)
249	Allié (Invincibilité retirée)
25	Allié de type Lumière
250	Allié (JcJ, avec Barrière)
251	Allié (JcJ, renforcement de protection)
252	Allié (Boss géant à 5, ATQ basse)
253	Allié (JcJ, compétence en charge)
254	Allié de type Eau (JcJ, PV bas)
255	Allié de type Feu (JcJ, PV bas)
256	Allié de type Bois (JcJ, PV bas)
257	Allié de type Lumière (JcJ, PV bas)
258	Allié de type Ombre (JcJ, PV bas)
259	Allié (JcJ, meilleure DÉF)
26	Allié de type Ombre
260	Allié (sauf type Eau)
261	Allié (sauf type Feu)
262	Allié (sauf type Bois)
263	Allié (sauf type Lumière)
264	Allié (sauf type Ombre)
265	Allié de type Eau (Boss géant, attaquant)
266	Attaquant allié de type Feu (Boss géant)
267	Attaquant allié de type Bois (Boss géant)
268	Attaquant allié de type Lumière (Boss géant)
269	Allié de type Ombre (Boss géant, attaquant)
27	Alliés (PV élevés)
270	Allié (en récupération)
271	Allié (Boss géant à 5, en récupération)
272	Allié (Boss géant à 20, en récupération)
273	Allié (JcJ, en récupération)
274	Allié (Boss géant, en récupération)
275	Allié de type Eau (mort)
276	Allié de type Feu (mort)
277	Allié de type Bois (mort)
278	Allié de type Lumière (mort)
279	Allié de type Ombre (mort)
28	Allié (DÉF élevée)
280	Allié (JcJ, PV élevés)
281	Allié (JcJ, PV les plus élevés)
282	Allié aléatoire (Ragna-frappe)
283	Allié de type Eau (Ragna-frappe)
284	Allié de type Feu (Ragna-frappe)
285	Allié de type Bois (Ragna-frappe)
286	Allié de type Lumière (Ragna-frappe)
287	Allié de type Ombre (Ragna-frappe)
288	Allié (JcJ, affaibli)
289	Allié (PV plus bas que l'utilisateur)
29	Allié (DÉF basse)
290	Allié (PV plus bas que l'utilisateur)
291	Allié (JcJ, PV plus bas que l'utilisateur)
292	Allié (JcJ, PV plus bas que l'utilisateur)
293	Allié (50 %% de PV ou moins)
294	Allié (JcJ, 50 %% de PV ou moins)
295	Allié (Résonnance aux dégâts)
296	Allié (en récupération)
297	Allié (JcJ, en récupération)
298	Allié de type Ombre (en récupération, sauf utilisateur)
3	Soi
30	Allié (aléatoire)
31	Allié (sauf utilisateur)
311	Ennemis du même type que la compétence
317	Attaquant ennemi
318	Défenseur ennemi
319	Soigneur ennemi
32	Allié (affaibli)
320	Affaiblisseur ennemi
321	Soutien ennemi
327	Ennemi de type Eau
328	Ennemi de type Feu
329	Ennemi de type Bois
33	Allié (endormi)
330	Ennemi de type Lumière
331	Ennemi de type Ombre
332	Ennemi (ATQ élevée)
333	Ennemi (PV élevés)
334	Ennemi (PV bas)
335	Ennemi (DÉF élevée)
336	Ennemi (DÉF basse)
337	Ennemi (aléatoire)
338	Ennemi (affaibli)
339	Ennemi (victime de Sommeil)
34	Allié (réduit au silence)
340	Ennemi (réduit au silence)
341	Ennemi (étourdi)
342	Ennemi (confus)
343	Ennemi (renforcé)
344	Ennemi (soin)
35	Allié (étourdi/châtié/pétrifié)
350	Ennemi (Boss géant à 5)
351	Ennemi de type Eau (Boss géant à 5)
352	Ennemi de type Feu (Boss géant à 5)
