// key	CHARACTER_DESCRIPTION_
10100002	輔佐惡魔的美女秘書，也是人界的魅魔首領。專門調教無能的惡魔。
10100003	具有SS級潛力的魅魔。當她認為工作完成時，便會突然消失…
10100004	妲比在此！為了莫娜姊即使是魔界的盡頭也會跟隨到底！
10100005	正義與復仇的女戰士。為了保護弱小迎戰邪惡。
10100007	一名拿起劍護衛自己的女戰士。「我會打敗我的敵人。」
10100008	一個貪婪的僱傭兵，無止盡地打架賺錢。
10100009	由百無聊賴且無所事事的護士所創造，屬於你的女王大人。
10100010	好的，下一個。現在，躺下來放輕鬆。雖然完全沒經驗，但我有十足的信心！
10100011	由聰明的女孩創造的安靜Child。稍微冷靜點，只要一下下就好了。
10100012	成為正義之星並以你的光芒照亮世界吧！
10100015	一隻守護主著人靈魂的狗，服從和主人有相同氣味的Child。
10100016	你聽得見嗎？我朋友的聲音…
10100017	她的力量來源就是她的憤怒！她用無法抑制的憤怒掌控著她的敵人。
10100018	生命是一連串的選擇，但是到最後，每個人的命運都將以骰子來決定。
10100019	自稱是慵懶的天才美少年…的遊戲宅宅。
10100021	坦率、自由奔放的破壞少女。因為不喜歡與人牽扯關係而被束縛，所以不太愛開口。
10100022	「呃…這個打扮可不是什麼蝙X俠之類的喔！是惡魔！」
10100023	我很漂亮，你不覺得嗎？告訴我你是我的－－就是我的囚犯。
10100024	如果害怕黑暗的話，那我就自己照亮自己吧！\這個Child化身為月亮以擊敗黑夜。
10100025	我以奶奶的名譽發誓！\在混沌的魔王爭奪戰中，少女偵探現身了！
10100026	我會一直守護著你的！喵～
10100027	成為一個出色的侍女，就是我存在的理由。煮飯和打掃！我全都會…完美地完成！
10100028	你不能相信任何人，除了你自己。
10100029	不小心被下級惡魔召喚出來的Child，還以為是他是異世界來的大魔法使呢！
10100030	奔走於魔界與人界中的談判專家。\信任就是一切。
10100031	不擅社交的少女擁有著巨大的蠻力。她的夢想是成為世界第一的收藏家。
10100032	請獨愛我一人！\將一切奉獻給愛的純真Child。
10100033	我自己一個人也很好。我不需要什麼男人來愛我。
10100034	「這歪曲的世界，必須用嚴厲的法律來修正！」
10100035	「你已經不再是小孩子了。在需要的時候可以來依靠我。」
10100036	「就像這句:流浪者如浮雲，奈何不了狂風。」
10100037	目標是成為第一名的偶像！為了帶給大家夢想和感動，課程是不會終止的！
10100039	我想成為烈焰！任誰都無法撲滅的熾熱、劇烈、燃燒著的火焰！
10100040	一位不受控制，非常悲觀的女孩。
10100041	不幸的聖職者，徬徨尋求著神。
10100043	魔界中的精英，弗雷降臨！魔王的寶座是老子的！
10100044	膚淺的牧師將他工作的時間全都花在不重要的談話中。
10100045	「我知道你在想什麼。你對我無法隱藏任何事。」
10100046	黑夜中的傳說！如同影子一般暗中守護主君！在下真正的洗禮名是忍者！但沒人知道的說。
10100048	惡魔退散！我會把你們全部消滅！我會將神的敵人化為虛無！
10100049	暗黑世界的女主人及融入到影子中的神祕女子。
10100050	「你所期待的是鮮血和屠殺，你對毀滅有無止盡的欲望。」
10100052	「男人盡是想些邪惡的事，你覺得你與眾不同嗎？我們要不要試試看？」
10100053	「我寫了一首歌！聽聽看！\在被海洋圍繞的某天裡，我遇到了海妖♪」
10100054	一朵欲望之花，在魔界綻放。
10100055	「如果這封信…真的確實…寄送到你手上…」
10100056	記住我的名字……\這是你的支配者之名。
10100057	「你覺得我超香的玫瑰味怎麼樣？噢，看起來你已經為我淪陷了。」
10100058	我會在哪嚥下最後一口氣呢？有人要跟我一起前往另外一個世界嗎？
10100059	「嘿，你要不要試試我的廚藝？我以糖代替鹽，所以吃起來很美味喔。」
10100060	「螺帽、螺栓還有一個活動扳手！就是這世上最重要的東西！」
10100063	這個不擅言詞的戰士會永遠保護著你。
10100064	我一無所有……\失去生存意志的空虛Child娜薇。
10100065	「上啊！我永遠會為你加油！」
10100069	「我感覺我們好像在哪裡見過面。當然啦，也有可能是我自己的幻想。」
10100070	一名不良Child拿著一個改造火箭筒出現了！
10100072	這個天真爛漫的女孩不僅能吃，且能料理任何的食物，但她的味覺異常的糟糕。
10100075	忠誠的士兵。\她主人的願望，將成為自己的願望。
10100079	我不會有任何迷惘！恐懼什麼的，全部燒毀就好啦！
10100080	這個Child來的時後，帶著一把電吉他。「搖滾吧，寶貝！」
10100081	「現在，看著我然後微微地笑。我總是跟你在同一陣線。」
10100082	娃娃怎麼看都可愛，你不覺得嗎？你何不也成為我其中一隻娃娃呢？
10100083	「向日葵的花語是『愛慕』。」
10100084	一個孤獨徘徊的煉金術士總是在尋找真理。
10100086	一個如幽靈般的大提琴手在鎮上表演著安魂曲。
10100088	一個暗黑的信徒用魔鬼的力量施行奇跡。
10100089	「花朵令人開心。如果世界上充滿著花朵，就不會再有爭吵了。」
10100090	繆思，唯一穿過黑暗夜晚的孤獨音樂家，唱出人類的生命。
10100091	如果你無法承受代價，\那我不會建議你對我的寶物動歪腦筋。
10100092	「打造出一個可愛又可怕，暗黑又光明的東西！設計圖？當然是你自己想辦法做啊！」
10100093	她不會停止的。夏娃已經回不去了，她被放逐人間，永遠地徘徊著。
10100094	永恆甜美的女英雄夢見她的白馬王子。
10100095	貓之女神持著一把隱蔽的匕首，永遠藏匿於敵人的陰影之下。
10100096	這個喜怒無常但才華洋溢的作曲家，總不厭倦撰寫新的樂曲。
