// key	PAID_ATTENDANCE_PRODUCT_NAME_	PAID_ATTENDANCE_PRODUCT_DESC_
10001	プレミアムログインパックI	★5チャイルド最大36体をGET！
10002	プレミアムログインパックII	最大★5プリズム/ノーマルカルタ16枚\★5カルタチケット16枚をGET！
10003	細工ログインパック	武器、防具、装飾具の細工石をそれぞれ700個ずつ\★5装備11個をGET！
10004	プレミアム\ログインパック III	★5チャイルド最大46体をGET！
10005	プレミアム\ログインパック IV	最大★5プリズム/ノーマルカルタ28枚\★5カルタチケット4枚をGET！
10006	2周年プレミアムログイン	2周年記念！毎日ログインして、豪華アイテムなどを大量GET！
10007	プレミアム\ログインパック Ⅴ	★5チャイルド最大51体をGET！
10008	プレミアム\ログインパック Ⅵ	最大★5プリズム/ノーマルカルタ42枚をGET！
10009	イグニコア支援ログインパック	毎日ログインして多様な報酬をGET！
10010	3周年感謝ログインパッケージ	毎日ログインして多様な報酬をGET！
10011	3周年プレミアムログインパッケージ	毎日ログインして多様な報酬をGET！
10012	プレミアムログインパックVII	★5チャイルド最大30体をGET！
10013	プレミアムログインパックVIII	最大★5プリズム/ノーマルカルタ30枚をGET！
10014	SUMMERログインイベント	毎日ログインして多様な報酬をGET！
10015	4周年プレミアムログインパッケージ	毎日ログインして多様な報酬をGET！
10016	4周年感謝ログインパッケージ	毎日ログインして多様な報酬をGET！
10017	プレミアムリワードサポートログイン	毎日ログインして多様な報酬をGET！
10018	プレミアムログインパックIX	★5チャイルド最大48体をGET！
10019	プレミアムログインパックX	最大★5プリズム/ノーマルカルタ72枚をGET！
