// key	SCENARIO_SPEAKER_
 A COUNCIL ELDER	公会議の長老
A COUNCIL ELDER	公会議の長老
A.I	A.I
A_COUNCIL_CHAIRMAN	公会議の議長
AARON	アロン
ABADDON_CONTRACTOR	真生田 真希子
ABIGAIL_CHAIRMAN	アビガイル理事長
ACCRASIA	アクラシア
AILILL	アリル
AKIMAGO	アーキメイゴー
ALTERED DAVI	オルタードダビ
AMBROSIA_CONTRACTOR	佐藤詩織
ANCHOR	司会者
ANEMONE	アネモネ
ANNIE	アニー
ANNOUNCE	校内放送
ANNOUNCER	アナウンサー
APOLLO_CONTRACTOR	勅使河原雅人
AQU CUBE	アク キューブ
ARAHANT	阿羅漢
ARAHANT_FRIEND	阿羅漢の友達
ARGOS	アルゴス
ARIA	アリア
ARTEMISIA_CONTRACTOR	胡桃川くるみ
ASHRAM_TEACHER	アシュラム教師
ATALANTE_CONTRACTOR	槌田紗千香
ATTIS	アルティス
ATUM_CONTRACTOR	黒井瑛
AUDIENCE1	観覧者1
AUDIENCE2	観覧者2
AUDIENCES	観覧者
AURORA	アウロラ
AYANE	あやね
BAAL_CONTRACTOR	権田冬治
BABEL	バベル
BABY	赤ん坊
BAKER	カフェの店長
BARI	バリ
BARI_CONTRACTOR	鈴木倫子
BARI_CONTRACTOR_MOM	鈴木倫子の母
BAST	未成熟なバスト
BATORY	バートリー
BELIEVER_0	信徒
BELIEVER_1	信徒
BELIEVER1	信徒1
BELIEVER2	信徒2
BELIEVER3	信徒3
BERDLE	ヴェルデレト
BERITH_CONTRACTOR	原子内美喜男
BERMONT	バーモント大公
BETH	ベス
BILLY	ビリー
BIRD	鳥
BOAR	イノシシ
BOREAS	ボレアース
BOREAS_CONTRACTOR	北里風花
BOSS	店長
BOY	少年
BOY_CONTRACTOR	少年契約者
BRADAMANTE_CONTRACTOR	剣崎花恋
BRADAMANTE_CONTRACTOR_DAD	剣崎花恋の父
BROTHER_LAWRENCE	ロレンス神父
BUDDHIST	僧侶
BUDLE	柳道士
BURIED DAVI	愛憎のダビ
BUTLER	執事
