// key	DUNGEON_NAME_	DUNGEON_SECOND_NAME_	DUNGEON_LOCATION_DESC_
1000	1-1	บทสอนเล่น	โมนาจะแนะนำพื้นฐานการเล่นต่างๆ ให้กับเจ้า ♥
100001	ด่าน 1	บทสอนการเล่น 1	
100002	ด่าน 2	บทสอนการเล่น 2	
100003	ด่าน 3	บทสอนการเล่น 3	
100004	ด่าน 4	บทสอนการเล่น 4	
1001	1-2	ดีมีเทอร์ I	นางพยาบาล เทพธิดาในชุดขาว... ว่าแต่.. แล้วดีมีเทอร์ล่ะ?
100101	ด่าน 1	ดันเจี้ยนแห่งวิญญาณ	
100102	ด่าน 2	ปีศาจผู้น่าสงสาร	
100103	ด่าน 3	ศึกชิงบัลลังก์ราชาปีศาจ	
100104	ด่าน 4	ดีมีเทอร์จอมหลอกลวง	
1002	1-3	ย่านกลางเมือง	พื้นที่ย่านกลางเมืองที่เต็มไปด้วยความปรารถนาของมนุษย์
100201	ด่าน 1	ย่านกลางเมือง	
100202	ด่าน 2	ย่านกลางเมือง	
100203	ด่าน 3	ย่านกลางเมือง	
100204	ด่าน 4	ย่านกลางเมือง	
1003	1-4	ดีมีเทอร์ II	โอ๊ะ โอ๋! ทำไมนางพยาบาลคนนี้ถึงแข็งแกร่งเช่นนี้
100301	ด่าน 1	ธาตุแท้ของซัคคิวบัส	
100302	ด่าน 2	ปีศาจสหัสวรรษ	
100303	ด่าน 3	ความปรารถนาของมนุษย์	
100304	ด่าน 4	กิเลสและความโทมนัส	
1004	1-5	ย่านกลางเมือง	พื้นที่ย่านกลางเมืองที่ความปรารถนของมนุษย์ล่องลอยไปอย่างอิสระ
100401	ด่าน 1	ย่านกลางเมือง	
100402	ด่าน 2	ย่านกลางเมือง	
100403	ด่าน 3	ย่านกลางเมือง	
100404	ด่าน 4	ย่านกลางเมือง	
1005	1-6	อาหารแสนอร่อย	ความตะกละคือหนึ่งในบาปอันชั่วร้ายทั้งเจ็ดประการ \เก็บบาปของเจ้าใส่กระเป๋าเอาไว้ล่ะ!!
100501	ด่าน 1	ปีศาจแห่งความอุตสาหะ	
100502	ด่าน 2	ปีศาจผู้สอบตก	
100503	ด่าน 3	ความผิดพลาดซ้ำๆ	
100504	ด่าน 4	ความปรารถนาที่แท้จริง	
