// key	PIECE_NAME_	PIECE_DESCRIPTION_
10	ビーチバレーボール	集めるといいことがあるらしい。\2019年DOAコラボ。
11	封蝋 222号 	真面目な悪魔なら誰でも集めることができる。\集めるといいことがあるらしい。
12	ライブチラシ	プラネットパーティーのライブのチラシ。\メンバーが街中で配布している。
13	祈願のお年玉	ピンピンの新札。\封筒がパンパンになるほど、心もふくよかになる。
14	栄光のスタンプ	勝利の栄光をあなたへ。\任務を充実に果たした悪魔に贈られる勝利の証し。
15	女神の思い出	暑い夏、あの子の思い出が蘇る水着。
16	運命の金貨	キラキラ光る金貨。\集めるといいことがある。
17	感謝の招待状	魔王候補生が1000万人を突破した記念に\さらに激しくなった魔王争奪戦に招待する！
18	パーティーバルーン	バースデーパーティーを盛り上げるバルーン。\集めていくと空の向こうまで跳べるかも…
19	ココナッツの実	アモス島から取り寄せた甘いココナッツの実。
20	ボーダー柄浮き輪	情熱と努力だけで作った\よく浮く浮き輪
21	パーティーバルーン	バースデーパーティーを盛り上げるバルーン。\集めていくと空の向こうまで跳べるかも…
22	桜の花びら	春の始まりを告げる花びら。\集めるといいことがあるらしい。
23	桜の花びら	春の始まりを告げる花びら。\集めるといいことがあるらしい。
24	親の愛	家庭を平和にするカーネーション。必ず2輪を用意すること。黄泉の花ではありません。
9	ビーチバレーボール	集めるといいことがあるらしい。
