// key	CHARACTER_DESCRIPTION_
10100002	辅佐恶魔的美女秘书，也是人界的魅魔首领。专门调教无能的恶魔。
10100003	具有SS级潜力的魅魔。当她认为工作完成时，便会突然消失……
10100004	妲比在此！为了莫娜姐，即使是魔界的尽头，也要跟随到底！
10100005	正义与复仇的女战士。为了保护弱小迎战邪恶。
10100007	一名拿起剑保护自己的女战士。「我会打败我的敌人。」
10100008	一个贪婪的雇佣兵，无止尽地打架赚钱。
10100009	由百无聊赖和无所事事的护士所创造，属于你的女王大人。
10100010	好的，下一个。现在，躺下来放轻松。虽然实习成绩是零分，但自信是满分！
10100011	由天才女孩创造的安静Child。稍微安静点，只要一下下就好了。
10100012	成为正义之星，并用你的光芒照亮这个世界吧！
10100015	一只守护着主人灵魂的狗，服从和主人有相同气味的Child。
10100016	你听得见吗？我朋友的声音……
10100017	她的力量来源于她的愤怒！她用无法抑制的愤怒掌控着自己的敌人。
10100018	生命是一连串的选择，但是到最后，每个人的命运都将以骰子来决定。
10100019	自称是慵懒的天才美少年……的游戏宅。
10100021	坦率、自由奔放的破坏少女。因为不喜欢与人类扯上关系而被束缚，所以不太爱开口。
10100022	「呃……这个打扮可不是什么蝙X侠之类的哦！是恶魔！」
10100023	我很漂亮，你不觉得吗？呐，你也是我的俘虏吧？
10100024	如果害怕黑暗的话，那我就自己照亮自己吧！\这个Child化身为月亮以击败黑夜。
10100025	我以母亲的名义发誓！\在混沌的魔王争夺战中，少女侦探现身了！
10100026	我会一直守护你的！喵～
10100027	成为究极的侍女，就是我存在的意义。煮饭和打扫！我都能……做得很好！
10100028	你不能相信任何人，除了你自己。
10100029	不小心被下级恶魔召唤出来的Child，还以为他是异世界来的大魔法使呢！
10100030	奔走于魔界与人界中的谈判专家。\信任就是一切。
10100031	不擅社交的少女力大无比。她的梦想是成为世界第一的收藏家。
10100032	请只爱我一人！\将一切奉献给爱的纯真Child。
10100033	我自己一个人也过的很好，不需要男人来爱我。
10100034	「这歪曲的世界，必须用严厉的法律来修正！」
10100035	「你已经不再是小孩子了。需要的时候可以来依靠我。」
10100036	「有句话说得好：流浪者如浮云，奈何不了狂风。」
10100037	目标是成为首席偶像！为了带给大家梦想和感动，课程会一直延续下去！
10100039	我想成为烈焰！任谁都无法扑灭的炽热、剧烈、燃烧着的火焰！
10100040	一位不受控制，非常悲观的女孩。
10100041	不幸的圣职者，徬徨寻求着神。
10100043	魔界中的精英，弗雷降临！魔王宝座是老子的！
10100044	肤浅的牧师将他的全部工作时间都花在无关紧要的谈话上。
10100045	「我知道你在想什么。你对我任何事都隐瞒不了。」
10100046	黑夜中的传说！如同影子一般暗中守护主君！在下真正的洗礼名是忍者！但没人知道。
10100048	恶魔退散！我会把你们全部消灭！我会将神的敌人化为虚无！
10100049	暗黑世界的女主人，融入到黑暗中的神秘女子。
10100050	「你所期待的是鲜血和屠杀，你对毁灭有无止尽的欲望。」
10100052	「男人尽想些邪恶的事，你觉得自己与众不同吗？我们要不要试试看？」
10100053	「我写了一首歌！听听看！\在某个被海洋围绕的日子里，我遇到了海妖♪」
10100054	一朵欲望之花，在魔界绽放。
10100055	「如果这封信……真的寄送到……你的手上……」
10100056	记住我的名字……\这是即将统治你的人的名字。
10100057	「你觉得我芬芳的玫瑰香如何？噢，看起来我已让你沦陷了。」
10100058	我会在哪儿永闭双眼？是否有人愿与我同往另一个世界？
10100059	「呐，你要不要试试我的厨艺？我用糖代替盐，所以吃起来很美味哦。」
10100060	「螺帽、螺栓还有一个活动扳手！就是这世上最重要的东西！」
10100063	这个不擅言词的战士会永远保护着你。
10100064	我一无所有……\娜薇，那个失去生存意志的空洞Child。
10100065	「上啊！我永远会为你加油！」
10100069	「我感觉我们好像在哪里见过。当然啦，也有可能是我自己的幻想。」
10100070	一名不良Child拿着一个改造火箭筒出现了！
10100072	这个天真烂漫的女孩不仅能吃，还能做各种食物料理，但她的味觉异常糟糕。
10100075	忠诚的士兵。\她主人的愿望，将成为自己的愿望。
10100079	我不会有任何迷惘！什么恐惧，统统烧掉吧！
10100080	这个Child来的时候，带着一把电吉他。「摇滚吧，宝贝！」
10100081	「现在，看着我然后微笑。我和你在同一阵营。」
10100082	娃娃怎么看都可爱，你不觉得吗？你何不也成为我的娃娃呢？
10100083	「向日葵的花语是『爱慕』。」
10100084	一个孤独徘徊的炼金术士总是在寻找真理。
10100086	一名孤独的幽灵大提琴手在镇上表演着安魂曲。
10100088	一个暗黑的信徒用恶魔的力量引发奇迹。
10100089	「花朵令人开心。如果全世界开满鲜花，就不会再有争吵了。」
10100090	缪斯，唯一穿过黑暗夜晚的孤独音乐家，唱出人类的生命。
10100091	如果你无法承受代价，\那我不会建议你对我的宝物动歪脑筋。
10100092	「打造出一个可爱又可怕，暗黑又光明的东西！设计图？当然是你自己想办法制作啊！」
10100093	她不会停止的。夏娃已经回不去了，她被放逐人间，永远地徘徊着。
10100094	一直梦想着拥有白马王子永恒爱情故事的女主角。
10100095	猫之女神手持一把隐蔽的匕首，永远藏匿于敌人的阴影之下。
10100096	这个喜怒无常但才华洋溢的作曲家，孜孜不倦地撰写着新乐曲。
10100098	一个从年轻女孩的执着中诞生的Child。守护重要的事物，需要的不是力量，而是意志。
10100100	「我永远不会变。请你也保持原本的自己。」
10100101	这名弓箭手的箭一直在减少，因为到处都是寂寞的人们。
10100102	这名梦夜公主被困于幻想世界中。
10100104	这名Child全心全意地歌唱着她秘密的爱情。
10100105	一名踏上未知旅程的冒险者，凭借着开拓者精神在魔界冒险。
10100106	「不管你怎么说，都不可能抹灭罪孽。按你的逻辑，道歉就没有任何意义了。」
10100107	梦想成为巨星的歌手。她以自己强大的歌声征服了舞台。
10100108	这位女士隐藏的秘密只有她自己知道。甚至她的出生地都无人知晓。
10100109	「英俊的王子，泳装宝贝在这里哦。我们一起游泳吧！」
10100110	成为魔王是吗？真是微不足道的目标！\一切都会照他要的方向进行。
10100114	这个Child以自己的意志穿着约束衣。也许某天她真正的本性就会显露出来……
10100116	人类的春天早已不存在。现在只有恶魔的春天。
10100119	「我是一名可爱又软绵绵的Child♪\我们来玩玩吧！」
10100120	「晚上好～★您的深夜小伙伴A.I在此★今天也在Evil频道给您带来精彩的格斗实况！」
10100121	一名拥有骑士精神的正义Child，只为保护弱者而战！
10100122	「现在，下好离手！这个永远不会结束的游戏即将开始。谁先放弃谁就输了！」
10100123	从契约者贪欲中诞生的傲慢王者！这名Child生来就是被崇拜的！
10100125	一名沐浴在荣光中，成为女神的Child。
10100126	为了寻找一个只有自己知晓的乐园，在海上自在漫游的航海家。
10100127	「你犯规了，对吧？！我有一个礼物要送给像你这样的坏小子。是手铐哦 ♪」
10100128	「我们不需要说什么！让拳头发声吧！」
10100130	圣者的寂光照亮无明之时，\末法大地上的宝剑将闪耀光芒。
10100131	这颗心的主人就像黎明的光，默默地保护着她所爱的人。
10100132	「一起掷骰子来试试运气吧！你总得尝试之后才知道会发生什么！」
10100134	看清楚了！我美妙的身体！我柔软的肌肉和炽热的心！
10100135	从灰烬中诞生的狂战士菲尼克斯。最终存活下来的那个人应该是我！
10100136	你那不切实际，有点喜怒无常的爱人。
10100137	「皇冠只有一顶。你或我，我们来看看谁值得拥有它？」
10100138	当这名异国的活泼女孩一心一意勇往直前时，就是她最幸福的时刻了。
10100139	我知道自己继续像川流一样飘荡，一定会到达那里。\至于“那里”是哪儿，我也不太确定……
10100141	皮肤因为兴奋而变热。
10100142	皮肤非常冷。
