// key	HECATE_BOOK_TITLE_SHELF_	HECATE_BOOK_TITLE_	HECATE_BOOK_TITLE_SUB_	HECATE_BOOK_DESC_
100001	第1-1章\惡魔的遊樂場	1-1 惡魔的遊樂場	Destiny Child Chapter.1	你曾見過惡魔嗎？他比你想的還來得近。\事實上，你可能早就認識他了…
100002	第1-2章\貓與狗的時間	1-2 貓與狗的時間	Destiny Child Chapter.1	這些城市都是瀝青沙漠嗎？\不，它們都是只有適者才能生存的水泥叢林！
100003	第1-3章\夢中的少女們	1-3 夢中的少女們	Destiny Child Chapter.1	我沒在使用社群媒體，甚至也不看新聞。但它們還是毀了我所有的和平希望！
100004	第1-4章\可恨卻讓人難以憎惡的惡魔…	1-4 可恨卻讓人難以憎惡的惡魔…	Destiny Child Chapter.1	由於惡魔的關係，你變得無法分辨善惡！但在他們之中絕對存在著你又愛又恨的惡魔！
100005	第1-5章\「頭條新聞:獵殺候補生！」	1-5「頭條新聞:獵殺候補生！」	Destiny Child Chapter.1	候補生們正火熱交戰中！但請小心注意！失格的候補生一個接著一個倒下！
100006	第1-6章\少女的花園	1-6 少女的花園	Destiny Child Chapter.1	這是個充滿嬌弱少女的世界。踏入禁地的男人將面臨什麼樣的命運呢？
100007	第1-7章\惡魔警報！惡魔和流浪少女	1-7 惡魔警報！惡魔和流浪少女	Destiny Child Chapter.1	惡魔警鐘在午夜響了三次，預告著惡魔殺手的到來。
100008	第1-8章\撒旦的繼承者	1-8 撒旦的繼承者	Destiny Child Chapter.1	魔王的繼承人，魯弗斯降臨。
100009	第2-1章\少女的花園	2-1 少女的花園	Destiny Child Chapter.2	我們在聖鐘鳴響的地方祈禱吧。
100010	第2-2章\黑暗低語與花園暗影	2-2 黑暗低語與花園暗影	Destiny Child Chapter.2	少女的花園受到暗影的籠罩。
100011	第2-3章\虛偽造物主	2-3 虛偽造物主	Destiny Child Chapter.2	虛偽造物主是他自身衰敗的始作俑者。
100012	第2-4章\平行線上的兩個少女	2-4 平行線上的兩個少女	Destiny Child Chapter.2	無盡之旅的開始。
100013	幕間第1章：消失的雙子	幕間第1章：消失的雙子	Destiny Child Chapter.2	看吶，新的妲比誕生了！
100014	幕間第2章：日下之惡	幕間第2章：日下之惡	Destiny Child Chapter.2	來找盧茵的神秘女子是……！
100019	仲夏夜之夢	仲夏夜之夢	Ragna:Break Season 18	一場愛，兩顆衝突的心。\你說的愛又是什麼？
100023	惡魔的干預	惡魔的干預	Narrative Dungeon	我們要在鳥井知道之前，處理掉他們。
100090	副本商店	副本商店	Tutorial	俗話說：「隔牆有耳」。\情報商布朗尼新開了一家副本商店。
100091	聖誕夜的夢魘	聖誕夜的夢魘	Ragna:Break Season 0	在這個神聖的夜晚，一名惡魔潛伏在聖誕節的歡樂氛圍下。
100092	方尖碑的降臨	方尖碑的降臨	Ragna:Break Season 2	試煉之塔現在已從炎熱沙漠升起。
100093	禁忌之花	禁忌之花	Ragna:Break Season 3	在交織的思念前方等待著的是...？
100094	屍之王國	屍之王國	Ragna:Break Season 5	來自毫無救贖之世的可悲靈魂。\在前方等著的，只有深邃的幽暗之谷。
100095	夏季醜聞	夏季醜聞	Ragna:Break Season 4	對魔王爭奪戰厭倦了嗎？\出發前往熱情島嶼吧！人間天堂啊！
100096	Café de Petit	Café de Petit	Ragna:Break Season 1	歡迎光臨Café de Petit♥
100097	DEVILIVE！！	DEVILIVE！！	Ragna:Break Season 6	讓我們一起前往璀璨的夢之演唱會吧！
100099	火爆女孩	火爆女孩	Ragna:Break Season 7	浴火重生，再次夢想！
100100	秘密新娘	秘密新娘	Ragna:Break Season 8	我的新娘，將妳的命運交到我手中吧！
100104	夏日射手	夏日射手	Ragna:Break Season 10	傳奇水槍手的靈魂。
100105	Catherine: Full Body	Catherine: Full Body	Ragna:Break	K的平行世界
100110	世界王試煉	世界王試煉	Tutorial	突然出現的強大魔力波動。\「魔鏡現象」到底是什麼？
100111	SNOW MIKU	SNOW MIKU	Narrative Dungeon	在純白的雪中和SNOW MIKU相遇的回憶
100112	聖戰	聖戰	Narrative Dungeon	黑暗之神撕裂天空，降臨於世
100113	新魔王登場	新魔王登場	Narrative Dungeon	第三代魔王降臨！其真面目為…
100114	寒冰之花	寒冰之花	Narrative Dungeon	憧憬著惡魔之少女的黑暗。
100115	必須守護的正義	必須守護的正義	Narrative Dungeon	我們都有無法割捨的情感。
100116	重建	重建	Narrative Dungeon	全新邁達斯的誕生秘話
100117	致命性L♥VE	致命性L♥VE	Narrative Dungeon	薔薇色的美夢
100118	光明與黑暗	光明與黑暗	Narrative Dungeon	少女與她對立面的後日談
100120	永恆的誓言	永恆的誓言	Narrative Dungeon	與巴托里相遇的命運少女
100121	雙重鉅作	雙重鉅作	Narrative Dungeon	一山不容二虎！\屏氣凝神欣賞兩大女神間的對決吧！
100122	My Dear	My Dear	Narrative Dungeon	苦甜情人節事件？！
100123	The Revelation	The Revelation	Narrative Dungeon	誕生自混沌與虛無黑暗深淵中的微光。
100125	重生迷宮歷史	重生迷宮歷史	Narrative Dungeon	惡魔式煉金術研究所的未知過去
100126	消失的甜甜圈	消失的甜甜圈	Narrative Dungeon	誰偷了甜甜圈？！
100127	BBCF 跨界合作	BBCF 跨界合作	Narrative Dungeon	一個和「蒼」之傳說有些許不同的故事
100128	仲夏之怪	仲夏之怪	Narrative Dungeon	用讓你心裡發寒的體驗，驅走夏日的炎熱吧！
100129	No Paradise	No Paradise	Narrative Dungeon	2人的逃亡就此展開
100130	秘密萬聖節	秘密萬聖節	Narrative Dungeon	每個人都有不想被揭露的秘密。\我…也有這樣的秘密。
100131	第二次機會	第二次機會	Narrative Dungeon	沒有第二次機會！我不會再猶豫了！
100132	你需要的只有愛	你需要的只有愛	Narrative Dungeon	他們終於到達滑雪度假村後，卻發生了一場騷動？
100134	為愛盲目	為愛盲目	Narrative Dungeon	主人送的糖果？我也想要！
100135	魅影\vs\驅魔師	魅影 vs 驅魔師	Narrative Dungeon	夜幕降臨時，我會來偷走你的心。
100136	嫦娥的覺醒	嫦娥的覺醒	Scenario Dungeon	孤獨少女的新心願是…\少女的願望，喚醒了全新的力量！
100137	歌姬降臨！	歌姬降臨！	Scenario Dungeon	Evil頻道為您放送和平！
100138	維納斯假期	維納斯假期	Scenario Dungeon	在熱帶天堂「維納斯諸島」上\舉行的女神們的祭典
100139	動物朋友2	動物朋友2	Scenario Dungeon	新朋友們的故事即將開始！
100140	玉藻夜話	玉藻夜話	Scenario Dungeon	九尾狐怪談中隱藏的事實。
100146	莫娜	莫娜	Awakening Scenario	輔佐惡魔的美女秘書，也是人界的魅魔首領。專門調教無能的惡魔。
100147	麗莎	麗莎	Awakening Scenario	具有SS級潛力的魅魔。當她認為工作完成時，便會突然消失…
100148	妲比	妲比	Awakening Scenario	妲比在此！為了莫娜姊即使是魔界的盡頭也會跟隨到底！
100149	處容	鄰居處容	Awakening Scenario	當這名異國的活潑女孩一心一意的勇往直前時，就是她最幸福的時候了。
