// key	HELP_	DESCRIPTION_
1		
10	チャイルド痂皮にして見られるって？\詳細知らせる人を見つけたんです♥	
11	«決闘状»離島着ました。\夜の世界の<color = "ffdf00">バトルアリーナ</ color>ではみましょう！	
12	<color = "ffdf00">面倒な祓魔師</ color>が明らかになったね。\悪魔なら怒鳴りにガヤジョ？	
13	夜の世界に<color = "ffdf00">試験の塔</ color>が開かれますよね？\主人様の能力をテストしてみ！	
14	闇市場にアイテムを任せてみてください。\非常に簡単に<color = "ffdf00>強化</ color>することができんです♥	
15	チャイルドを強くしましょうか？\材料を用いて<color = "ffdf00">チャイルドを強化</ color>試してみ♥	
16	最後まで成長したチャイルド街頭人ね。\ <color = "ffdf00">合成メニュー</ color>でキズナさせて見ましょう〜	
2		
3	<color = "ffdf00">昼世界</ color>に行って契約者とのみたようです。\魔王になる第一歩なんですよ♥	
4	クリスタル今法集まったようですね♥\ <color = "ffdf00">召喚</ color>でチャイルドを呼んでみましょう。	
5	契約者のソウル（魂）をいっぱい得た！\今チャイルドのみ含まれてみましょう〜	
6	チャイルドを得たら戦闘に活用しますよ！\チャイルドメニューから<color = "ffdf00">チーム</ color>に合流させて見て	
7	今<color = "ffdf00">ショップ</ color>に行くだろうね。\夜の世界の衣装ボックスのチェックマークページに会ってみてください。	
8	<color = "ffdf00">夜の世界</ color>で招待状が飛んできましたね。\悪魔信者の派手なもですよね♥	
9	エポナと<color = "ffdf00">探検</ color>を残してみましょう。\様々なアイテムを得ています♥	
