// key	HECATE_STORY_TITLE_	HECATE_STORY_DESC_
100001001	Archfiend Contest Prologue	
100001002	Intro: Tutorial	
100001003	Tutorial 2	
100001004	Tutorial 3 (1/2)	
100001005	Tutorial 3 (2/2)	
100001006	Tutorial 4	
100001007	Intro: Demeter	
100001008	Soul Dungeon (1/2)	
100001009	Soul Dungeon (2/2)	
100001010	Poor Devil (1/2)	
100001011	Poor Devil (2/2)	
100001012	Archfiend Contest (1/2)	
100001013	Archfiend Contest (2/2)	
100001014	Bluffing Demeter (1/2)	
100001015	Bluffing Demeter (2/2)	
100001016	Intermission: Demeter	
100001017	The Succubus' True Colors	
100001018	Millenial Demon	
100001019	Human Desires	
100001020	Longing and Regret (1/2)	
100001021	Longing and Regret (2/2)	
100001022	Intro: Delicious Food	
100001023	Diligent Demon (1/2)	
100001024	Diligent Demon (2/2)	
100001025	Disqualified Devil	
100001026	Repeated Blunder	
100001027	True Wish (1/2)	
100001028	True Wish (2/2)	
100001029	Intro: Mammon	
100001030	Golden King Unveiled (1/2)	
100001031	Golden King Unveiled (2/2)	
100001032	Kingly Outing (1/2)	
100001033	Kingly Outing (2/2)	
100002001	Opening	
100002002	Intro: Firo	
100002003	Ordinary Boy (1/2)	
100002004	Ordinary Boy (2/2)	
100002005	Hot-Blood VS. Lazybones (1/2)	
100002006	Hot-Blood VS. Lazybones (2/2)	
100002007	Champion's Generosity	
100002008	Fiery Firo (1/2)	
100002009	Fiery Firo (2/2)	
100002010	Intro: Cu Sith	
100002011	Devil Hunter	
100002012	Proud Fangs	
100002013	Summoner’s War	
100002014	Neighborhood Rival (1/2)	
100002015	Neighborhood Rival (2/2)	
100002016	Intro: Freyja	
100002017	Injured Cat	
100002018	Weirdo	
100002019	Uninvited Guest	
100002020	Runaway Cat (1/2)	
100002021	Runaway Cat (2/2)	
100002022	Intermission: Freyja	
100002023	Timid Cat	
100002024	Wild Cat	
100002025	Purring Cat	
100002026	A Cat’s Feelings (1/2)	
100002027	A Cat’s Feelings (2/2)	
100003001	Opening	
100003002	Intro: Hecate	
100003003	Low-Spec Devil (1/2)	
100003004	Low-Spec Devil (2/2)	
100003005	Mild-Mannered Devil (1/2)	
100003006	Mild-Mannered Devil (2/2)	
100003007	Aide Preferences (1/2)	
100003008	Aide Preferences (2/2)	
100003009	Witch's Heart (1/2)	
100003010	Witch's Heart (2/2)	
100003011	Intro: Convenience Store	
100003012	Convenience Store Devil	
100003013	Rice Ball	
100003014	What It Means To Be Master	
100003015	Day at the Convenience Store (1/2)	
100003016	Day at the Convenience Store (2/2)	
100003017	Intro: Jeanne d'Arc	
100003018	Frej's Counterattack (1/2)	
100003019	Frej's Counterattack (2/2)	
100003020	Like Repels Like	
100003021	The Goddess Descends (1/2)	
100003022	The Goddess Descends (2/2)	
100003023	Document Attack (1/2)	
100003024	Document Attack (2/2)	
100003025	Intermission: Jeanne d'Arc	
100003026	Frontal Assault	
100003027	Pact Hint	
100003028	Skillful Doctrine	
100003029	Cowardly Devil (1/2)	
100003030	Cowardly Devil (2/2)	
100004001	Opening	
100004002	Intro: Apollo	
100004003	Birth	
100004004	The Worshipped I	
100004005	Mutual Trust	
100004006	Intro: OB/GYN	
100004007	Bliss	
100004008	Devil’s Excuse	
100004009	Stop it!	
100004010	Unfinished Vessel (1/2)	
100004011	Unfinished Vessel (2/2)	
100004012	Intro: Neamhain I	
100004013	True Feelings (1/2)	
100004014	True Feelings (2/2)	
100004015	Concrete Blunder	
100004016	Secret of Deep Sleeping	
100004017	Devil’s Exorcism (1/2)	
100004018	Devil’s Exorcism (2/2)	
100004019	Intermission: Neamhain	
100004020	Negotiation Breakdown (1/2)	
100004021	Negotiation Breakdown (2/2)	
100004022	Infernal Realm Woman Troubles (1/2)	
100004023	Infernal Realm Woman Troubles (2/2)	
100004024	Order of Fury (1/2)	
100004025	Order of Fury (2/2)	
100004026	In One Ear and Out the Other (1/2)	
100004027	In One Ear and Out the Other (2/2)	
100004028	Intermission: Neamhain	
100004029	Full Power (1/2)	
100004030	Full Power (2/2)	
100004031	Bluff or Tactic (1/2)	
100004032	Bluff or Tactic (2/2)	
100004033	Besieged	
100004034	True Beginning (1/2)	
100004035	True Beginning (2/2)	
100005001	Opening	
100005002	Intro: Dana	
100005003	A Girl’s First Love (1/2)	
100005004	A Girl’s First Love (2/2)	
100005005	Rational Method (1/2)	
100005006	Rational Method (2/2)	
100005007	One-Way Trip (1/2)	
100005008	One-Way Trip (2/2)	
100005009	A For Effort (1/2)	
100005010	A For Effort (2/2)	
100005011	Intro: Elementary School	
100005012	Rising Star (1/2)	
100005013	Rising Star (2/2)	
100005014	Tiny Bride (1/2)	
100005015	Tiny Bride (2/2)	
100005016	Matters of Concern (1/2)	
100005017	Matters of Concern (2/2)	
100005018	Devil Vocabulary (1/2)	
100005019	Devil Vocabulary (2/2)	
100005020	Intro: Europa I	
100005021	Truant	
100005022	Delinquent	
100005023	Abandoned Child	
100005024	Young Girl Equation (1/2)	
100005025	Young Girl Equation (2/2)	
100005026	Intro: Neith	
100005027	Class Time	
100005028	Tailed	
100005029	Rebellious Youth	
100005030	Family Bonds (1/2)	
100005031	Family Bonds (2/2)	
100006001	Opening	
100006002	Intro: Legend	
100006003	Abandoned Young Girl (1/2)	
100006004	Abandoned Young Girl (2/2)	
100006005	Mysterious Super Rookie	
100006006	Bad Boy and Tyrant	
100006007	Davi is Here! (1/2)	
100006008	Davi is Here! (2/2)	
100006009	Intermission: Legend	
100006010	Davi's Allure Technique	
100006011	A Ninja Must Endure	
100006012	Old-Fashioned Custom	
100006013	Heroic Legend (1/2)	
100006014	Heroic Legend (2/2)	
100006015	Intro: Law Firm	
100006016	Lawless Devil	
100006017	Emotional Guardian	
100006018	Devil’s Worries	
100006019	No Questions Allowed (1/2)	
100006020	No Questions Allowed (2/2)	
100006021	Intro: Cathedral	
100006022	Wordplay	
100006023	Danger Detected	
100006024	Safety First	
100006025	Small Concern (1/2)	
100006026	Small Concern (2/2)	
100006027	Intro: Europa II	
100006028	Anxiety	
100006029	Path to Professional Devil (1/2)	
100006030	Path to Professional Devil (2/2)	
100006031	Attendant	
100006032	Flower and Bee	
100007001	Opening	
100007002	Intro: Chainkiller	
100007003	Wandering Devil (1/2)	
100007004	Wandering Devil (2/2)	
100007005	Chaser (1/2)	
100007006	Chaser (2/2)	
100007007	Pursuit of Excellence (1/2)	
100007008	Pursuit of Excellence (2/2)	
100007009	Decent Guy (1/2)	
100007010	Decent Guy (2/2)	
100007011	Intro: Downtown Apartments	
100007012	Compassionate Devil	
100007013	Disqualified Devil	
100007014	Life Planning	
100007015	Wise Archfiend (1/2)	
100007016	Wise Archfiend (2/2)	
100007017	Intro: Calchas	
100007018	Archfiend 666 (1/2)	
100007019	Archfiend 666 (2/2)	
100007020	Declaration of Running Away (1/2)	
100007021	Declaration of Running Away (2/2)	
100007022	Critical Moment	
100007023	Prophet	
100007024	Intermission: Calchas	
100007025	Well-Slept, Well-Kept	
100007026	Danger Personified	
100007027	Hanging by a Thread	
100007028	Devil Catastrophe (1/2)	
100007029	Devil Catastrophe (2/2)	
100008001	Opening	
100008002	Intro: Congested Zone	
100008003	Self-Defense	
100008004	Disappearing Candidate	
100008005	Devil Alarm	
100008006	Variable	
100008007	Intro: Cram School	
100008008	Finding Frej	
100008009	Opponent	
100008010	Negotiations	
100008011	Mona's Idea (1/2)	
100008012	Mona's Idea (2/2)	
100008013	Intro: Frej	
100008014	Improvised Companion	
100008015	Demonic Devil	
100008016	Safety Numb	
100008017	Demonic Trump Card	
100008018	Intro: Rufus	
100008019	Breakout Devil	
100008020	Critical Mission (1/2)	
100008021	Critical Mission (2/2)	
100008022	Childhood Friend	
100008023	Memories	
100008024	Intermission: Rufus	
100008025	Doll Fight (1/2)	
100008026	Doll Fight (2/2)	
100008027	Strategy	
100008028	According to Plan (1/2)	
100008029	According to Plan (2/2)	
100008030	Rufus the Heir (1/2)	
100008031	Rufus the Heir (2/2)	
100009001	Opening	
100009002	Intro: Saint Michael	
100009003	All Girls School (1/2)	
100009004	All Girls School (2/2)	
100009005	Intermission: Gomorrah	
100009006	Broken Soul (1/2)	
100009007	Broken Soul (2/2)	
100009008	Intermission: Hydra	
100009009	Chaotic Monster (1/2)	
100009010	Chaotic Monster (2/2)	
100009011	Intermission: Bathory I	
100009012	Forever Companion (1/2)	
100009013	Forever Companion (2/2)	
100010001	Opening	
100010002	Intro: The Shadow of the All Girls School	
100010003	The Companion Who Disappeared (1/2)	
100010004	The Companion Who Disappeared (2/2)	
100010005	The Fuzzy Dream (1/2)	
100010006	The Fuzzy Dream (2/2)	
100010007	The Dreaming, Living Dead (1/2)	
100010008	The Dreaming, Living Dead (2/2)	
100010009	The Designer (1/2)	
100010010	The Designer (2/2)	
100011001	Opening	
100011002	Intro: Babel	
100011003	The Soul's Destination (1/2)	
100011004	The Soul's Destination (2/2)	
100011005	Intermission: Bathory II	
100011006	Kind Demon of Nobility (1/2)	
100011007	Kind Demon of Nobility (2/2)	
100011008	Intermission: Empty Cradle	
100011009	Desolated Classroom (1/2)	
100011010	Desolated Classroom (2/2)	
100011011	Intermission: Creature	
100011012	From Darkness, a Scream (1/2)	
100011013	From Darkness, a Scream (2/2)	
100012001	Opening	
100012002	Intro: Vengeful Kubaba	
100012003	An Ebony Cradle (1/2)	
100012004	An Ebony Cradle (2/2)	
100012005	Intro: A Veteran's Strategy	
100012006	Rumors of a Demon (1/2)	
100012007	Rumors of a Demon (2/2)	
100012008	Intro: Demonic Desires	
100012009	Chaotic Dreams (1/2)	
100012010	Chaotic Dreams (2/2)	
100012011	Intermission: Last Holy Day	
100012012	Vow of an Unending Soul (1/2)	
100012013	Vow of an Unending Soul (2/2)	
100013001	Opening	
100013002	Intro: The Loneliness in Darkness	
100013003	Creeping Shadow (1/2)	
100013004	Creeping Shadow (2/2)	
100013005	Another Davi (1/2)	
100013006	Another Davi (2/2)	
100013007	Sleeping Cradle (1/2)	
100013008	Sleeping Cradle (2/2)	
100013009	Cocoon of Return	
100013010	Awakened Davi (1/6)	
100013011	Awakened Davi (2/6)	
100013012	Awakened Davi (3/6)	
100013013	Awakened Davi (4/6)	
100013014	Awakened Davi (5/6)	
100013015	Awakened Davi (6/6)	
100014001	Opening	
100014002	Intro: Prideful Archer	
100014003	Dojo Challenge (1/2)	
100014004	Dojo Challenge (2/2)	
100014005	Demonic Deadeye (1/2)	
100014006	Demonic Deadeye (2/2)	
100014007	Davi's MIA (1/2)	
100014008	Davi's MIA (2/2)	
100014009	On My Pride (1/2)	
100014010	On My Pride (2/2)	
100019001	Intro	
100019002	Fragrance and Odor (1/2)	
100019003	Fragrance and Odor (2/2)	
100019004	The Secret between the Two (1/2)	
100019005	The Secret between the Two (2/2)	
100019006	Weight of the Heart (1/2)	
100019007	Weight of the Heart (2/2)	
100019008	Puppy Love (1/2)	
100019009	Puppy Love (2/2)	
100019010	Here, There, and Everywhere	
100019011	Round 2	
100019012	Sweet Love (1/2)	
100019013	Sweet Love (2/2)	
100019014	Ailill's Prophecy (1/2)	
100019015	Ailill's Prophecy (2/2)	
100023001	Intro	
100023002	Original Song	
100023003	Supernova of Harlem Street	
100023004	Surprise Event	
100023005	Nice to Meet You!	
100023006	I'll Be Counting On You!(1/2)	
100023007	I'll Be Counting On You!(2/2)	
100023008	Make Some Noise!(1/2)	
100023009	Make Some Noise!(2/2)	
100023010	You're One to Talk	
100023011	Lovely Devil (1/2)	
100023012	Lovely Devil (2/2)	
100090001	Welcome!	
100091001	Intro	
100091002	Krampus I (1/2)	
100091003	Krampus I (2/2)	
100091004	Rudolph (1/2)	
100091005	Rudolph (2/2)	
100091006	Santa Claus (1/2)	
100091007	Santa Claus (2/2)	
100091008	Krampus II (1/2)	
100091009	Krampus II (2/2)	
100092001	Intro	
100092002	Bast (1/2)	
100092003	Bast (2/2)	
100092004	Horus (1/2)	
100092005	Horus (2/2)	
100092006	Cleopatra (1/2)	
100092007	Cleopatra (2/2)	
100092008	Advent of Pharaoh (1/2)	
100092009	Advent of Pharaoh (2/2)	
100093001	Intro	
100093002	Willow Doryeong (1/2)	
100093003	Willow Doryeong (2/2)	
100093004	Jacheongbi I (1/2)	
100093005	Jacheongbi I (2/2)	
100093006	Bari (1/2)	
100093007	Bari (2/2)	
100093008	Jacheongbi II (1/2)	
100093009	Jacheongbi II (2/2)	
100094001	Intro	
100094002	Devil’s Exorcism (1/2)	
100094003	Devil’s Exorcism (2/2)	
100094004	Rescue Operation (1/2)	
100094005	Rescue Operation (2/2)	
100094006	Zealot's Pride (1/2)	
100094007	Zealot's Pride (2/2)	
100094008	Resurrection & Awakening (1/2)	
100094009	Resurrection & Awakening (2/2)	
100095001	Intro	
100095002	Ravishing Resort (1/2)	
100095003	Ravishing Resort (2/2)	
100095004	Beach Volleyball (1/2)	
100095005	Beach Volleyball (2/2)	
100095006	Mystery of the Giant Ape (1/2)	
100095007	Mystery of the Giant Ape (2/2)	
100095008	Summer Vacation (1/2)	
100095009	Summer Vacation (2/2)	
100096001	Intro	
100096002	Adorable Guest (1/2)	
100096003	Adorable Guest (2/2)	
100096004	Gunslinger Maid (1/2)	
100096005	Gunslinger Maid (2/2)	
100096006	Yes, My Lord... (1/2)	
100096007	Yes, My Lord... (2/2)	
100096008	The One I Love (1/2)	
100096009	The One I Love (2/2)	
100097001	Intro	
100097002	Planet Party (1/2)	
100097003	Planet Party (2/2)	
100097004	Trainees For How Long? (1/2)	
100097005	Trainees For How Long? (2/2)	
100097006	A Pop Star's Pride (1/2)	
100097007	A Pop Star's Pride (2/2)	
100097008	Encore! (1/2)	
100097009	Encore! (2/2)	
100099001	Intro	
100099002	-Disaster- (1/2)	
100099003	-Disaster- (2/2)	
100099004	-Clue- (1/2)	
100099005	-Clue- (2/2)	
100099006	-Rage- (1/2)	
100099007	-Rage- (2/2)	
100099008	-Hope- (1/2)	
100099009	-Hope- (2/2)	
100100001	Intro	
100100002	Wedding March of Fate (1/2)	
100100003	Wedding March of Fate (2/2)	
100100004	Letter From the Isle of Brides	
100100005	Here Comes the Bride?! (1/2)	
100100006	Here Comes the Bride?! (2/2)	
100100007	Enter the Groom! (1/2)	
100100008	Enter the Groom! (2/2)	
100100009	My Sun, My Bride (1/2)	
100100010	My Sun, My Bride (2/2)	
100104001	Intro	
100104002	The Outlaw's Challenge (1/2)	
100104003	The Outlaw's Challenge (2/2)	
100104004	The Water is One with the Water Gun (1/2)	
100104005	The Water is One with the Water Gun (2/2)	
100104006	Hydro Shooting (1/2)	
100104007	Hydro Shooting (2/2)	
100104008	Hydro Reload (1/2)	
100104009	Hydro Reload (2/2)	
100105001	Intro	
100105002	Episode 1 (1/2)	
100105003	Episode 1 (2/2)	
100105004	Episode 2 (1/2)	
100105005	Episode 2 (2/2)	
100105006	Episode 3 (1/2)	
100105007	Episode 3 (2/2)	
100105008	Episode 4 (1/2)	
100105009	Episode 4 (2/2)	
100110001	Infernal Mirroring	World Boss Trials
100110002	Sage of the Infernal Realm	Magic Mirror Shop
100111001	Intro	
100111002	Disaster I	
100111003	Disaster II	
100111004	Encounter I	
100111005	Encounter II	
100111006	A Promise Between Two I	
100111007	A Promise Between Two II	
100112001	Intro	
100112002	A Prayer for the Dying I	
100112003	A Prayer for the Dying II	
100112004	Tempter	
100112005	The Fall	
100112006	Crusade	
100112007	Incarnation	
100113001	Intro	
100113002	Doomsday!	
100113003	DOOMSDAY! (1/2)	
100113004	DOOMSDAY! (2/2)	
100114001	Intro	
100114002	Stalker	
100114003	Pursuer	
100114004	Hide-and-Seek	
100114005	Liar Game	
100114006	Silent Madness (1/2)	
100114007	Silent Madness (2/2)	
100115001	Intro	
100115002	A Light in the Dark (1/2)	
100115003	A Light in the Dark (2/2)	
100115004	Quandary (1/2)	
100115005	Quandary (2/2)	
100115006	Putting the Past to Rest (1/2)	
100115007	Putting the Past to Rest (2/2)	
100115008	Old Memories (1/2)	
100115009	Old Memories (2/2)	
100115010	The Right Path (1/2)	
100115011	The Right Path (2/2)	
100116001	Intro	
100116002	Escape(1/2)	
100116003	Escape(2/2)	
100116004	Crimes (1/2)	
100116005	Crimes (2/2)	
100116006	Burst into the Scene(1/2)	
100116007	Burst into the Scene(2/2)	
100116008	The Leaders(1/2)	
100116009	The Leaders(2/2)	
100116010	Brothers(1/2)	
100116011	Brothers(2/2)	
100117001	Intro	
100117002	Heart Attack	
100117003	Lethal Blood Loss I	
100117004	Lethal Blood Loss II (1/2)	
100117005	Lethal Blood Loss II (2/2)	
100117006	Near-Death Experience (1/2)	
100117007	Near-Death Experience (2/2)	
100118001	Intro	
100118002	Be There	
100118003	Overlap	
100118004	Athena	
100118005	Memory	
100118006	Pallas	
100118007	Be Together	
100120001	Intro	
100120002	Encounter (1/2)	
100120003	Encounter (2/2)	
100120004	The Story Continues (1/2)	
100120005	The Story Continues (2/2)	
100120006	Companion (1/2)	
100120007	Companion (2/2)	
100120008	Glass Rosary (1/2)	
100120009	Glass Rosary (2/2)	
100121001	Intro	
100121002	Breaking News	
100121003	Dead Mic	
100121004	Block Buster Show	
100121005	Prime Time	
100122001	Intro	
100122002	What Kinda Chocolate Do You Like?	
100122003	A Special Present	
100122004	The Case of the Stolen Chocolate Cake	
100122005	Made with Love (1/2)	
100122006	Made with Love (2/2)	
100123001	Intro	
100123002	Detectives and Demon Worshippers	
100123003	Pacts and Memories	
100123004	The Incense of Prayer	
100123005	God's Divine Revelation (1/2)	
100123006	God's Divine Revelation (2/2)	
100125001	Intro	
100125002	All About Beauty (1/2)	
100125003	All About Beauty (2/2)	
100125004	Canon (1/2)	
100125005	Canon (2/2)	
100125006	Aesthetics (1/2)	
100125007	Aesthetics (2/2)	
100125008	Rebirth Lab (1/2)	
100125009	Rebirth Lab (2/2)	
100126001	Intro	
100126002	The Culprit is Close By	
100126003	Strawberry Glazed	
100126004	Spa Party	
100126005	Three Final Options (1/2)	
100126006	Three Final Options (2/2)	
100127001	Intro	
100127002	Looking For Someone (1/2)	
100127003	Looking For Someone (2/2)	
100127004	Surprise(?) Encounter (1/2)	
100127005	Surprise(?) Encounter (2/2)	
100127006	Great Magister	
100127007	Respective Wills (1/2)	
100127008	Respective Wills (2/2)	
100128001	Intro	
100128002	Evening Stroll	
100128003	Late Night Guests	
100128004	After School Apparition	
100128005	Midsummer Mystery (1/2)	
100128006	Midsummer Mystery (2/2)	
100129001	Intro	
100129002	My Sun	
100129003	The Sun Never Sets	
100129004	Darkness	
100129005	Within the Labyrinth (1/2)	
100129006	Within the Labyrinth (2/2)	
100130001	Intro	
100130002	Secret Revealed	
100130003	Steal the Camera (1/2)	
100130004	Steal the Camera (2/2)	
100130005	Chase down Typhon (1/2)	
100130006	Chase down Typhon (2/2)	
100130007	I'm sorry! (1/2)	
100130008	I'm sorry! (2/2)	
100131001	Intro	
100131002	Unexpected Chance	
100131003	Let's Do This!(1/2)	
100131004	Let's Do This!(2/2)	
100131005	Chance	
100131006	No Second Chance(1/2)	
100131007	No Second Chance(2/2)	
100132001	Intro	
100132002	Off to the Ski Resort (1/2)	
100132003	Off to the Ski Resort (2/2)	
100132004	A Chance for a Pact (1/2)	
100132005	A Chance for a Pact (2/2)	
100132006	Snow Invites Confusion (1/2)	
100132007	Snow Invites Confusion (2/2)	
100132008	Christmas Eve Fireworks (1/2)	
100132009	Christmas Eve Fireworks (2/2)	
100134001	Intro	
100134002	King-Size Candy(1/2)	
100134003	King-Size Candy(2/2)	
100134004	I Wanna Help You	
100134005	Operation Sweet Dreams	
100134006	Want Some Chocolate?	
100134007	Rivals in Love	
100134008	That Special Candy(1/2)	
100134009	That Special Candy(2/2)	
100135001	Intro	
100135002	To New York	
100135003	Planning	
100135004	Deborah and Jonah	
100135005	D-Day	
100135006	Unmitigated Disaster	
100135007	Panic	
100135008	Vanquish	
100135009	Stop, Freeze!(1/2)	
100135010	Stop, Freeze!(2/2)	
100136001	Intro	
100136002	Working Girl(1/2)	
100136003	Working Girl(2/2)	
100136004	Family Portrait(1/2)	
100136005	Family Portrait(2/2)	
100136006	A New Self(1/2)	
100136007	A New Self(2/2)	
100137001	Intro	
100137002	Advent of a Diva!(1/2)	
100137003	Advent of a Diva!(2/2)	
100137004	MIKU Contest!(1/2)	
100137005	MIKU Contest!(2/2)	
100137006	Always Singing(1/2)	
100137007	Always Singing(2/2)	
100138001	Intro	
100138002	Island of Goddesses(1/2)	
100138003	Island of Goddesses(2/2)	
100138004	Ultimate Extreme(1/2)	
100138005	Ultimate Extreme(2/2)	
100138006	The Goddesses' Respite(1/2)	
100138007	The Goddesses' Respite(2/2)	
100139001	Intro	
100139002	Davi Runs Away(1/2)	
100139003	Davi Runs Away(2/2)	
100139004	Unknown Childs(1/2)	
100139005	Unknown Childs(2/2)	
100139006	An Unexpected Intruder(1/2)	
100139007	An Unexpected Intruder(2/2)	
100140001	Intro	
100140002	Frenzied Fox(1/2)	
100140003	Frenzied Fox(2/2)	
100140004	Fox in Love(1/2)	
