// key	SKILL_NAME_	SKILL_VISUAL_	SKILL_DESCRIPTION_
11010001	水之一擊	sfx_atk_normal	對目標造成{value}自動攻擊傷害(自動)
11010101	水之一擊	sfx_atk_normal	對目標造成{value}自動攻擊傷害(自動)
11010201	水之一擊	sfx_atk_normal	對目標造成{value}自動攻擊傷害(自動)
11010301	水之一擊	sfx_atk_normal	對目標造成{value}自動攻擊傷害(自動)
11010401	水之一擊	sfx_atk_normal	對目標造成{value}自動攻擊傷害(自動)
11010403	扣球！	sfx_atk_normal	造成{value}自動攻擊傷害
11010601	水之一擊	sfx_atk_normal	造成自動攻擊傷害
11020001	火之一擊	sfx_atk_normal	對目標造成{value}自動攻擊傷害(自動)
11020101	火之一擊	sfx_atk_normal	對目標造成{value}自動攻擊傷害(自動)
11020201	火之一擊	sfx_atk_normal	對目標造成{value}自動攻擊傷害(自動)
11020301	火之一擊	sfx_atk_normal	對目標造成{value}自動攻擊傷害(自動)
11020401	火之一擊	sfx_atk_normal	對目標造成{value}自動攻擊傷害(自動)
11020403	接球！	sfx_atk_normal	對目標造成{value}自動攻擊傷害
11020601	火之一擊	sfx_atk_normal	造成自動攻擊傷害
11030001	木之一擊	sfx_atk_normal	對目標造成{value}自動攻擊傷害(自動)
11030101	木之一擊	sfx_atk_normal	對目標造成{value}自動攻擊傷害(自動)
11030201	木之一擊	sfx_atk_normal	對目標造成{value}自動攻擊傷害(自動)
11030301	木之一擊	sfx_atk_normal	造成{value}自動攻擊傷害
11030401	木之一擊	sfx_atk_normal	對目標造成{value}自動攻擊傷害(自動)
11030403	進攻！	sfx_atk_normal	造成{value}自動攻擊傷害
11030601	木之一擊	sfx_atk_normal	造成自動攻擊傷害
11040001	光之一擊	sfx_atk_normal	對目標造成{value}自動攻擊傷害(自動)
11040101	光之一擊	sfx_atk_normal	對目標造成{value}自動攻擊傷害(自動)
11040201	光之一擊	sfx_atk_normal	對目標造成{value}自動攻擊傷害(自動)
11040301	光之一擊	sfx_atk_normal	造成{value}自動攻擊傷害
11040401	光之一擊	sfx_atk_normal	對目標造成{value}自動攻擊傷害(自動)
11040501	光之一擊	sfx_atk_normal	造成{value}自動攻擊傷害
11040601	光之一擊	sfx_atk_normal	造成自動攻擊傷害
11050001	暗之一擊	sfx_atk_normal	對目標造成{value}自動攻擊傷害(自動)
11050101	暗之一擊	sfx_atk_normal	對目標造成{value}自動攻擊傷害(自動)
11050201	暗之一擊	sfx_atk_normal	對目標造成{value}自動攻擊傷害(自動)
11050301	暗之一擊	sfx_atk_normal	對目標造成{value}自動攻擊傷害(自動)
11050401	暗之一擊	sfx_atk_normal	對目標造成{value}自動攻擊傷害(自動)
11050601	暗之一擊	sfx_atk_normal	造成自動攻擊傷害
17000001	持續回復	buff/17000001/buff_set	在一段時間內恢復一定量的HP
17000002	治癒	buff/17000002/buff_set	回復一定量HP
17000003	攻擊力↑	buff/17000003/buff_set	增加攻擊力
17000004	防禦力↑	buff/17000004/buff_set	增加防禦力
17000005	敏捷度↑	buff/17000005/buff_set	增加敏捷度
17000006	暴擊↑	buff/17000006/buff_set	增加暴擊
17000007	Skill充能↑	buff/17000007/buff_set	增加Skill量表充能量；可與Skill回復加速疊加
17000008	免疫	buff/17000008/buff_set	賦予所有減益效果免疫；立即移除所有減益
17000009	無敵	buff/17000009/buff_set	所有攻擊與減益效果皆無效
17000010	不死	buff/17000010/buff_set	即使受到致命傷害，HP也不會低於1
17000012	吸血	buff/17000012/buff_set	攻擊所造成傷害的一部分會逐漸回復HP
17000013	復活	buff/17000013/buff_set	立即復活已死亡的Child
