// key	SELECT_BOX_NAME_	SELECT_BOX_DESC_
73100001	属性別★5召喚チケットセレクトボックス	構成品の中から1つを選んで獲得します。
73100002	2019プリズムソウルカルタセレクトボックス	構成品の中から1つを選んで獲得します。
73100003	2019A装備セレクトボックス	サービス開始から2019.12.31まで\コラボ装備は対象外
73100004	+15研磨剤セレクトボックス	構成品の中から1つを選んで獲得します。
73100005	2019チャイルド選択ボックス	ロンチングから2019.12.31まで\コラボや転生館専用のチャイルドを除く
73100006	2020チャイルド選択ボックス	ロンチングから2020.12.31まで\コラボや転生館専用のチャイルドを除く
73100007	2019チャイルドコスチューム選択ボックス	ロンチングから2019.12.31まで\コラボや契約者スキンを除く
73100008	錬金術装備選択ボックス	構成品の中から1つを選んで獲得します。
73100009	+15研磨剤セレクトボックス	構成品の中から1つを選んで獲得します。
73100010	2019年チャイルド温泉スキン選択ボックス	ロンチングから2019.12.31まで\コラボ温泉スキンを除く。
73100011	渓谷と海カルタ選択ボックス	構成品の中から1つを選んで獲得します。
73100012	ワールドボスベストチャイルド温泉スキン選択ボックス	構成品の中から1つを選んで獲得します。
73100013	諸刃の剣チャイルド温泉スキンボックス	構成品の中から1つを選んで獲得します。
73100014	ランブルベストチャイルド温泉スキン選択ボックス	構成品の中から1つを選んで獲得します。
73100015	リバースラビリンス温泉スキン選択ボックス	構成品の中から1つを選んで獲得します。
73100016	2019(P)カルタ選択ボックス	サービス開始から2019.12.31まで\コラボカルタは対象外
73100017	ワールドボスベストチャイルド温泉スキン選択ボックス	構成品の中から1つを選んで獲得します。
73100018	ランブルベストチャイルド温泉スキン選択ボックス	構成品の中から1つを選んで獲得します。
73100019	+3研磨剤セレクトボックス	構成品の中から1つを選んで獲得します。
73100020	+7研磨剤セレクトボックス	構成品の中から1つを選んで獲得します。
73100021	レイドベスト温泉スキン選択ボックス	構成品の中から1つを選んで獲得します。
73100022	★3契約者スキン選択ボックス	構成品の中から1つを選んで獲得します。
73100023	★4契約者スキン選択ボックス	構成品の中から1つを選んで獲得します。
73100024	★5契約者スキン選択ボックス	構成品の中から1つを選んで獲得します。
73100025	ワールドボスベストチャイルド温泉スキン選択ボックス	構成品の中から1つを選んで獲得します。
73100026	温泉装飾選択ボックス	構成品の中から1つを選んで獲得します。
73100027	レイドベスト温泉スキン選択ボックス	構成品の中から1つを選んで獲得します。
73100028	10連召喚チケット選択ボックス	構成品の中から1つを選んで獲得します。
