// key	SELECT_BOX_NAME_	SELECT_BOX_DESC_
73100001	特定属性5★Child召唤券自选箱	請选择一个獎勵
73100002	2019棱镜歌牌自选箱	請选择一个獎勵
73100003	2019 A级装备自选箱	从上市到2019年12月31日。\不包含跨界合作装备。
73100004	研磨剂+15自选箱	請选择一个獎勵
73100005	2019 Child自选箱	从上市到2019年12月31日。\不包含合作以及转生馆限定Child。
73100006	2020 Child自选箱	从上市到2020年12月31日。\不包含合作以及转生馆限定Child。
73100007	2019 Child造型自选箱	从上市到2019年12月31日。\不包含合作限定以及契约者造型。
73100008	炼金术装备自选箱	請选择一个獎勵
73100009	研磨剂+15自选箱	請选择一个獎勵
73100010	2019 Child温泉造型自选箱	从上市到2019年12月31日。\不包含跨界合作温泉外观。
73100011	深谷与沙滩魂之歌牌自选箱	請选择一个獎勵
73100012	世界BOSS最佳Child温泉造型自选箱	請选择一个獎勵
73100013	双刃剑Child温泉造型箱	請选择一个獎勵
73100014	恶斗最佳Child温泉造型自选箱	請选择一个獎勵
73100015	重生迷宫温泉造型自选箱	請选择一个獎勵
73100016	2019（棱镜）歌牌自选箱	从开服到2019年12月31日\不包含跨界合作歌牌
73100017	世界BOSS最佳Child温泉造型自选箱	請选择一个獎勵
73100018	恶斗最佳Child温泉造型自选箱	請选择一个獎勵
73100019	研磨剂+3自选箱	請选择一个獎勵
73100020	研磨剂+7自选箱	請选择一个獎勵
73100021	最佳副本温泉造型自选箱	請选择一个獎勵
73100022	3★契约者造型自选箱	請选择一个獎勵
73100023	4★契约者造型自选箱	請选择一个獎勵
73100024	5★契约者造型自选箱	請选择一个獎勵
73100025	世界BOSS最佳Child温泉造型自选箱	請选择一个獎勵
73100026	温泉饰品自选箱	請选择一个獎勵
73100027	最佳副本温泉造型自选箱	請选择一个獎勵
73100028	10x召唤券自选箱	請选择一个獎勵
73100029	5★温泉礼物自选箱	請选择一个獎勵
73100030	最佳重生温泉造型自选箱	請选择一个獎勵
73100031	世界BOSS最佳Child温泉造型自选箱	請选择一个獎勵
73100032	最佳副本温泉造型自选箱	請选择一个獎勵
73100033	最佳恶斗温泉造型自选箱	請选择一个獎勵
73100034	最佳A等级装备自选箱	請选择一个獎勵
73100035	双子温泉造型自选箱I	請选择一个獎勵
73100036	双子温泉造型自选箱II	請选择一个獎勵
73100037	绫音和丽凤造型自选箱	請选择一个獎勵
73100038	绫音和丽凤温泉造型自选箱	請选择一个獎勵
73100039	最佳世界BOSS温泉造型自选箱	請选择一个獎勵
73100040	最佳恶斗温泉造型自选箱	請选择一个獎勵
73100041	培训支援自选箱	請选择三个獎勵
