// key	CHARACTER_DESCRIPTION_
10100002	Secretary to the demons, and leader of the Mortal Realm's succubi. Specializes in training hopeless demons.
10100003	A capable succubus with SS-class potential.\Disappears when she thinks the job is done.
10100004	"Davi's in the house!\I'll go to the ends of the Infernal Realm for Mona!"
10100005	A female warrior of justice and revenge.\"I'll crush evil to protect the weak."
10100007	A female warrior who took up a sword to defend herself.\"I'll defeat my enemies."
10100008	A greedy mercenary who endlessly fights to earn money.
10100009	A dominatrix created by a bored, idle nurse.
10100010	"Okay, next. Now, just lie down and relax. I have zero training but tons of confidence!"
10100011	A serene Child created by a brilliant girl.\"Just stay still. This won't take long."
10100012	Become the justice of the stars and shine your light upon this world!
10100015	A dog that guarded the ghost of its dead master.\Obeys Childs with the same scent as its former master.
10100016	"Can you hear\the voice of my friendship?"
10100017	The source of her strength is her rage!\She dominates her foes with unquenchable wrath.
10100018	Life is a series of choices, but in the end,\everyone's fate is decided by a roll of the dice.
10100019	A self-proclaimed lazy,\super-genius, pretty-boy, game freak.
10100021	A frank, destructive girl who acts with wild abandon.\She avoids dealing with others by keeping mostly silent.
10100022	"No, this isn't some caped crusader costume.\It's a demon!"
10100023	"I'm beautiful, don't you think?\Tell me you're mine--my prisoner, that is."
10100024	This Child became the moon to defeat the night.\"If the dark's full of terrors, I'll light it myself."
10100025	The Detective Girl who appeared amid the chaotic Archfiend Contest. "In the name of my grandma!"
10100026	"Meow, er...I mean, I'll always be watching over you."
10100027	"To be the consummate maid, that's my raison d'etre. Cooking and cleaning! I'll do it all...perfectly!
10100028	"You can't trust anyone,\only yourself."
10100029	Mistakenly summoned by a lesser demon,\this Child thinks she's a great sorceress from another world.
10100030	A negotiation specialist who travels between the Infernal Realm and Mortal Realm. "Trust is everything."
10100031	An anti-social girl with herculean strength.\Her dream is to become the world's number one collector.
10100032	Love me and me alone!\A pure Child who devotes everything she has in love.
10100033	"I don't need some man to love me.\I'm fine on my own."
10100034	"We must right the wrongs of this warped world with strict laws!"
10100035	"You're not a child anymore.\You can count on me in times of need."
10100036	"Here's a little poem: Like the floating clouds,\a wanderer cannot resist stormy winds."
10100037	"Aim for the top of the pop star charts! The lessons never end for those who inspire and make dreams come true."
10100039	"I want to burn bright like a blistering\hot blaze that no one can extinguish."
10100040	An uncontrollable, hyper-negative girl.
10100041	A doomed holy woman who wanders the land in search of God.
10100043	"Frej, elite demon of the Infernal Realm, is here!\The title of Archfiend is mine!"
10100044	A shallow priest who spends all his time\in frivolous conversation instead of working.
10100045	"I can read your mind.\You can't hide anything from me."
10100046	The Night Legend, the shadow that protects her master.\Her real name is Ninja, but that's a secret.
10100048	"Be gone, foul demons!\I will turn the enemies of God into the dust whence they came!"
10100049	Mysterious female master of the Night World who melts into the shadows.
10100050	"Blood and slaughter are what you seek.\Yours is an insatiable appetite for destruction."
10100052	"Men are always thinking evil thoughts.\You think you're different? Shall we put it do the test?"
10100053	"I wrote a new song! Check it out!\One day amid the ocean, I met a siren ♪"
10100054	A lone blossom of desire blooms in the Infernal Realm.
10100055	"If this letter...ever reaches...you..."
10100056	Remember my name...\It is the name of the one who will rule over you.
10100057	"How do you like my fabulous rose scent?\Oh, it seems you've already fallen for me."
10100058	"Where's my final resting place?\Anyone care to join me in the hereafter?"
10100059	"Hey, would you try some of my cooking?\I used sugar instead of salt, so it's really delicious."
10100060	"Nuts, bolts, and a monkey wrench!\That's what you need most in this world!"
10100063	This tongue-tied warrior\will never stop protecting you.
10100064	I have nothing...\Navi, the empty Child who's lost the will to live.
10100065	"Fight!\I'll always cheer you on!"
10100069	"I had a feeling we'd meet like this.\Of course, I could be imagining things."
10100070	This Child is a juvenile delinquent who showed up\with a modified rocket launcher in hand.
10100072	This innocent and cheerful girl will cook and eat anything, but she has a terrible sense of taste.
10100075	A loyal soldier.\What her master wishes becomes her desire.
10100079	"I'll stay the course.\I'll burn away fear and anything else that gets in my way!"
10100080	This Child came armed with an electric guitar.\"Rock 'n' roll, baby!"
10100081	"Now, look at me and smile gently.\I'll always be on your side."
10100082	Dolls are just so cute, don't you think?\Won't you become one of my dolls, too?
10100083	"In flower language, sunflowers mean 'adoration.'"
10100084	An alchemist who wanders alone ever seeking the truth.
10100086	A lone ghostly cellist who\performs requiems in town.
10100088	A dark believer who performs\miracles with demonic power.
10100089	"Flowers make people happy. If the world were full of flowers, there would be no more strife."
10100090	Muse, the lone musician who cuts through the darkness of night to sing about the human condition.
10100091	I'd recommend against going after my treasure\if you're not sure you can afford the price.
10100092	"Make something cute but terrifying, and dark but bright!\A design? That's your department!"
10100093	She won't ever stop. There's no going back now that Eve has fallen to Earth to wander for eternity.
10100094	The eternal lovely heroine who\dreams of her prince charming.
10100095	A feline goddess who carries a concealed dagger\and is ever in the shadow of her enemies.
10100096	This moody but gifted composer\never tires of writing new music.
10100098	A Child born of a young girl's tenacity. "You need purpose, not strength to protect what's important."
10100100	"I won't ever change.\And I want you to stay just the way you are."
10100101	This archer continues to loose arrows\for the sake of lonely people everywhere.
10100102	This dreaming night princess\is trapped in a world of illusions.
10100104	This Child sings wholeheartedly\about her secret love.
10100105	An adventurer on a quest to find unknown worlds.\Her trailblazing spirit will even take her to the Infernal Realm.
10100106	"There is no erasing sins no matter what you say.\If that's true, then apologies are worthless."
10100107	A singer who dreams of becoming a star.\She dominates the stage with her powerful voice.
10100108	This lady seems to be hiding secrets only she knows.\No one even knows when she was born.
10100109	"Handsome prince, the swimsuit babe is over here.\Let's swim together!"
10100110	Becoming Archfiend, huh? What an insignificant goal!\Everything will go the way He wants.
10100114	This Child wears a straightjacket of her own free will.\Perhaps her true nature will be revealed one day.
10100116	The spring of humans is long gone.\It's now just the spring of demons.
10100119	"I'm a cute, fluffy Child ♪\Let's play!"
10100120	"Morning! It's your midnight partner, A.I bringing you live combat action once more on Channel Evil!"
10100121	A righteous Child who has taken up arms\to protect the weak in the spirit of chivalry.
10100122	"Now, place your bets!\The game that never ends is about to begin.\The first to give up loses!"
10100123	An arrogant king born of a pactmaker's greed.\This Child was born to be worshipped.
10100125	A Child who became a goddess to bask in glory.
10100126	A navigator who roams aimlessly about,\searching for a personal paradise no one else knows about.
10100127	"You just broke the rules, didn't you?!\I've got a gift for bad boys like you. Handcuffs ♪"
10100128	"We don't need words!\Let's let our fists do the talking!"
10100130	When the saint's light of wisdom shines upon ignorance,\the treasured sword will glimmer in the land of the third age.
10100131	The owner of a heart like the light of dawn\who modestly protects the one she loves.
10100132	"Let's roll the dice and tempt fate!\You'll never know what might happen unless you try!
10100134	"Making its fabulous debut: my body!\Check out my supple muscles and blazing heart!"
10100135	The berserker Phoenix, born from the ashes.\"I'm the only one who'll survive!"
10100136	Your starry-eyed,\slightly moody lover.
10100137	"There is but one crown.\How about we see who is worthy of it, you or me?"
10100138	This lively girl from a foreign land is happiest\when she's single-mindedly running straight ahead.
10100139	I know I'll get there if I keep wandering like a flowing river.\Where "there" is, I'm not quite sure...
