// key	PIECE_NAME_	PIECE_DESCRIPTION_
10	Ballons de beach-volley	Récupérez-en pour obtenir une surprise.\Collaboration DOA 2019.
11	Cachet de cire n° 222	Les démons méritants peuvent en récupérer. \Apparemment, quand on en collectionne suffisamment, il se passe quelque chose de bien.
12	Prospectus du concert	Un prospectus pour le concert de Planet Party.\Les membres les distribuent dans toute la ville.
13	Argent du nouvel an	Nouveaux billets tout neufs, \glissés dans une enveloppe... et qui exaucent tous les désirs.
14	Timbre glorieux	À vous la gloire de la victoire ! \La preuve de la victoire est donnée aux démons qui terminent leur mission.
15	Souvenirs de déesse	Un maillot de bain qui rappelle des souvenirs d'un été chaud et d'une certaine fille.
16	Pièce de destinée	Pièce d'or scintillante. \Collectionnez-les pour obtenir une jolie surprise.
17	Invitation d'appréciation	Pour fêter la barre des 10 millions de prétendants au trône des démons,\nous vous invitons au concours du Roi des démons !
18	Ballon de fiesta	Ballon de fête d'anniversaire.\Récupérez-les tous et qui sait ? Peut-être vous emmèneront-ils aux confins du ciel.
19	Noix de coco	Noix de coco sucrée importée directement de l'île d'Amos.
20	Bouée rayée	Une bouée qui a été créée\par pure passion et ténacité.
21	Ballon de fiesta	Ballon de fête d'anniversaire.\Récupérez-les tous et qui sait ? Peut-être vous emmèneront-ils aux confins du ciel.
22	Pétale de cerisier en fleurs	Pétale célébrant l'arrivée du printemps. \Récupérez-en pour faire une jolie surprise !
23	Pétale de cerisier en fleurs	Pétale célébrant l'arrivée du printemps. \Récupérez-en pour faire une jolie surprise !
24	Amour parental	Un œillet pour apaiser votre famille. Prenez-en deux plutôt qu'un... Ce n'est pas la fleur d'Hadès.
9	Ballons de beach-volley	Récupérez-en pour obtenir une surprise.
