// key	SKILL_TARGET_
0	
1	Target
10	Right Allies
100	Light Type ally(ies) (Underground)
1001	ally(ies) (Purified)
1002	enemy(ies) (Purified)
101	Dark Type ally(ies) (Underground)
1011	ally(ies) (PvP, Highest Skill Gauge)
1012	enemy(ies) (PvP, High Skill Gauge)
102	ally(ies) (Burned)
1021	Water Type ally(ies) (PvP, Attacker)
1022	Water Type enemy(ies) (PvP, Attacker)
103	ally(ies) (Burned/Scalded)
1031	Fire Type ally(ies) (PvP, Attacker)
1032	Fire Type enemy(ies) (PvP, Attacker)
104	ally(ies) (Water Balloon)
1041	Wood Type ally(ies) (PvP, Attacker)
1042	Wood Type enemy(ies) (PvP, Attacker)
105	ally(ies) (Death Heal)
1051	Light Type Attacker ally(ies) (PvP)
1052	Light Type enemy(ies) (PvP, Attacker)
106	ally(ies) (Except Self)
1061	Dark Type ally(ies) (PvP, Attacker)
1062	Dark Type enemy(ies) (PvP, Attacker)
107	Self (PvP)
1074	Attacked Target
108	ally(ies) (Brand)
1085	Targets
109	Water Type ally(ies) (20-person Giant Bosses, High ATK)
1091	ally(ies) (Not Debuffed)
1092	enemy(ies) (Not Debuffed)
110	Fire Type ally(ies) (20-person Giant Bosses, High ATK)
1101	ally(ies) (Lasting Battlefield Buff Target)
1102	enemy(ies) (Lasting Battlefield Buff Target)
1103	All Enemies/Allies (Lasting Battlefield Buff Target)
111	Wood Type ally(ies) (20-person Giant Bosses, High ATK)
1111	Water Type ally(ies) (Including Self, if the same type)
112	Light Type ally(ies) (20-person Giant Bosses, High ATK)
1121	Water Type ally(ies) (Including Self, if the same type)
113	Dark Type ally(ies) (20-person Giant Bosses, High ATK)
114	ally(ies) (Many Buffs)
115	ally(ies) (20-person Giant Bosses, Debuffed)
116	ally(ies) (5-person Giant Bosses, High ATK)
1161	ally(ies) (PvP, Death Heal)
1162	enemy(ies) (PvP, Death Heal)
117	ally(ies) (5-person Giant Bosses)
118	ally(ies) (Snow Bomb)
119	Water Type ally(ies) (5-person Giant Bosses, High ATK)
12	Attacker ally(ies)
120	Fire Type ally(ies) (5-person Giant Bosses, High ATK)
121	Wood Type ally(ies) (5-person Giant Bosses, High ATK)
122	Light Type ally(ies) (5-person Giant Bosses, High ATK)
123	Dark Type ally(ies) (5-person Giant Bosses, High ATK)
124	Attacker ally(ies) (PvP)
125	Defender ally(ies) (PvP)
126	ally(ies) (PvP, Healer)
127	Debuffer ally(ies) (PvP)
128	Supporter ally(ies) (PvP)
129	Water Type ally(ies) (Except Self)
13	Defender ally(ies)
130	Fire Type ally(ies) (Except Self)
131	Wood Type ally(ies) (Except Self)
132	Light Type ally(ies) (Except Self)
133	Dark Type ally(ies) (Except Self)
134	ally(ies) (PvP, High ATK)
135	With Effect Removed
136	ally(ies) (Except Self, 50%% or Lower HP)
137	ally(ies) (Low HP, Including Self)
138	ally(ies) (Low HP, Including Self)
139	Self (PvE)
14	Healer ally(ies)
140	ally(ies) (PvE)
141	Water Type ally(ies) (PvE)
142	Fire Type ally(ies) (PvE)
143	Wood Type ally(ies) (PvE)
144	Light Type ally(ies) (PvE)
145	Dark Type ally(ies) (PvE)
146	ally(ies) (Venom)
147	Attacker ally(ies) (PvE)
148	ally(ies) (PvE, Defender)
149	ally(ies) (PvE, Healer)
15	Debuffer ally(ies)
150	Debuffer ally(ies) (PvE)
151	ally(ies) (PvE, Supporter)
152	ally(ies) (PvE, Debuffed)
153	ally(ies) (PvE, Buffed)
154	ally(ies) (Skill DEF Debuffed)
155	ally(ies) (Skill DEF Buffed)
156	ally(ies) (Time-based Debuffed)
157	ally(ies) (Underground, High ATK)
158	ally(ies) (Recovery-blocked)
159	ally(ies) (Healing/Vampirism)
16	Supporter ally(ies)
160	ally(ies) (Many Debuffs)
161	ally(ies) (Few Buffs)
162	ally(ies) (Few Debuffs)
163	Self (20-person Giant Bosses)
164	ally(ies) (PvP, Low HP)
165	ally(ies) (PvP, Low HP)
166	Self (Race Challenge)
167	ally(ies) (Race Challenge)
168	ally(ies) (Race Challenge, High ATK)
169	ally(ies) (Race Challenge, Low HP)
170	ally(ies) (Race Challenge, Low HP)
171	Water Type ally(ies) (Race Challenge)
172	Fire Type ally(ies) (Race Challenge)
173	Wood Type ally(ies) (Race Challenge)
174	Light Type ally(ies) (Race Challenge)
175	Dark Type ally(ies) (Race Challenge)
176	ally(ies) (Nullified)
177	ally(ies) (20-person Giant Bosses, Skill-charging)
178	ally(ies) (5-person Giant Bosses, Skill-charging)
179	ally(ies) (5-person Giant Bosses, Low HP)
180	ally(ies) (5-person Giant Bosses, Low HP)
181	Attacker ally(ies) (20-person Giant Bosses)
182	ally(ies) (20-person Giant Bosses, Defender)
183	ally(ies) (20-person Giant Bosses, Healer)
184	ally(ies) (20-person Giant Bosses, Debuffer)
185	Supporter ally(ies) (20-person Giant Bosses)
186	ally(ies) (20-person Giant Bosses, Low HP)
187	ally(ies) (20-person Giant Bosses, Low HP)
188	ally(ies) (PvP, Buffed)
189	ally(ies) (PvP, Many Buffs)
190	Water Type ally(ies) (Low HP)
191	Fire Type ally(ies) (Low HP)
192	Wood Type ally(ies) (Low HP)
193	Light Type ally(ies) (Low HP)
194	Dark Type ally(ies) (Low HP)
195	Water Type ally(ies) (Low HP)
196	Fire Type ally(ies) (Low HP)
197	Wood Type ally(ies) (Low HP)
198	Light Type ally(ies) (Low HP)
199	Dark Type ally(ies) (Low HP)
2	Enemies
200	Water Type ally(ies) (Debuffed)
201	Fire Type ally(ies) (Debuffed)
202	Wood Type ally(ies) (Debuffed)
203	Light Type ally(ies) (Debuffed)
204	Dark Type ally(ies) (Debuffed)
205	ally(ies) (Allured)
206	ally(ies) (5-person Giant Bosses, Time-based Debuff)
207	ally(ies) (Except Attacker)
208	ally(ies) (Except Defender)
209	ally(ies) (Except Healer)
210	ally(ies) (Except Debuffer)
211	ally(ies) (Except Supporter)
212	Water Type ally(ies) (PvE, Attackers)
213	Fire Type ally(ies) (PvE, Attackers)
214	Wood Type Attacker ally(ies) (PvE)
215	Light Type ally(ies) (PvE, Attackers)
216	Dark Type ally(ies) (PvE, Attackers)
217	Water Type ally(ies) (20-person Giant Bosses, Attackers)
218	Fire Type Attacker ally(ies) (20-person Giant Bosses,)
219	Wood Type Attacker ally(ies) (20-person Giant Bosses)
22	Water Type ally(ies)
220	Light Type Attacker ally(ies) (20-person Giant Bosses)
221	Dark Type Attacker ally(ies) (20-person Giant Bosses)
222	ally(ies) (Invincible)
223	Water Type Attacker ally(ies) (5-person Giant Bosses)
224	Fire Type Attacker ally(ies) (5-person Giant Bosses)
225	Wood Type Attacker ally(ies) (5-person Giant Bosses)
226	Light Type Attacker ally(ies) (5-person Giant Bosses)
227	Dark Type Attacker ally(ies) (5-person Giant Bosses)
228	ally(ies) (PvE, Low HP)
229	ally(ies) (Electrocuted)
23	Fire Type ally(ies)
230	ally(ies) (PvP, DoT)
231	ally(ies) (Blinded)
232	ally(ies) (Low ATK)
233	ally(ies) (PvP, Low ATK)
234	Water Type ally(ies) (Giant Boss, Highest ATK)
235	Fire Type ally(ies) (Giant Boss, Highest ATK)
236	Wood Type ally(ies) (Giant Boss, Highest ATK)
237	Light Type ally(ies) (Giant Boss, High ATK)
238	Dark Type ally(ies) (Giant Boss, High ATK)
239	Water Type ally(ies) (PvP, Debuffer)
24	Wood Type ally(ies)
240	Fire Type ally(ies) (PvP, Debuffer)
241	Wood Type ally(ies) (PvP, Debuffer)
242	Light Type ally(ies) (PvP, Debuffer)
243	Dark Type Debuffer ally(ies) (PvP)
244	Water Type ally(ies) (PvP, Highest ATK)
245	Fire Type ally(ies) (PvP, High ATK)
246	Wood Type ally(ies) (PvP, High ATK)
247	Light Type ally(ies) (PvP, High ATK)
248	Dark Type ally(ies) (PvP, High ATK)
249	ally(ies) (Invincibility-removed)
25	Light Type ally(ies)
250	ally(ies) (PvP, Barriered)
251	ally(ies) (PvP, Guard Buff)
252	ally(ies) (5-person Giant Bosses, Low ATK)
253	ally(ies) (PvP, Skill-charging)
254	Water Type ally(ies) (PvP, Low HP)
255	Fire Type ally(ies) (PvP, Low HP)
256	Wood Type ally(ies) (PvP, Low HP)
257	Light Type ally(ies) (PvP, Low HP)
258	Dark Type ally(ies) (PvP, Low HP)
259	ally(ies) (PvP, Highest DEF)
26	Dark Type ally(ies)
260	ally(ies) (Except Water)
261	ally(ies) (Except Fire)
262	ally(ies) (Except Wood)
263	ally(ies) (Except Light)
264	ally(ies) (Except Dark)
265	Water Type ally(ies) (Giant Boss, Attacker)
266	Fire Type Attacker ally(ies) (Giant Boss)
267	Wood Type Attacker ally(ies) (Giant Boss)
268	Light Type Attacker ally(ies) (Giant Boss)
269	Dark Type ally(ies) (Giant Boss, Attacker)
27	Allies (High HP)
270	ally(ies) (On Cooldown)
271	ally(ies) (5-person Giant Bosses, On Cooldown)
272	ally(ies) (20-person Giant Bosses, On Cooldown)
273	ally(ies) (PvP, On Cooldown)
274	ally(ies) (Giant Boss, On Cooldown)
275	Water Type ally(ies) (Dead)
276	Fire Type ally(ies) (Dead)
277	Wood Type ally(ies) (Dead)
278	Light Type ally(ies) (Dead)
279	Dark Type ally(ies) (Dead)
28	ally(ies) (High DEF)
280	ally(ies) (PvP, High HP)
281	ally(ies) (PvP, Highest HP)
282	Random ally(ies) (Ragna:burst)
283	Water Type ally(ies) (Ragna:burst)
284	Fire Type ally(ies) (Ragna:burst)
285	Wood Type ally(ies) (Ragna:burst)
286	Light Type ally(ies) (Ragna:burst)
287	Dark Type ally(ies) (Ragna:burst)
288	ally(ies) (PvP, Debuffed)
289	ally(ies) (Lower HP Than Self)
29	ally(ies) (Low DEF)
290	ally(ies) (Lower HP Than Self)
291	ally(ies) (PvP, Lower HP Than Self)
292	ally(ies) (PvP, Lower HP Than Self)
293	ally(ies) (50%% or Lower HP)
294	ally(ies) (PvP, 50%% or Lower HP)
295	ally(ies) (Damage Resonance)
296	ally(ies) (On Cooldown)
297	ally(ies) (PvP, On Cooldown)
298	Dark Type ally(ies) (On Cooldown, Except Self)
3	Self
30	ally(ies) (Random)
31	ally(ies) (Except Self)
311	Enemies of the Same Type as Skill
317	Attacker enemy(ies)
318	Defender enemy(ies)
319	Healer enemy(ies)
32	ally(ies) (Debuffed)
320	Debuffer enemy(ies)
321	Supporter enemy(ies)
327	Water Type enemy(ies)
328	Fire Type enemy(ies)
329	Wood Type enemy(ies)
33	ally(ies) (Sleeping)
330	Light Type enemy(ies)
331	Dark Type enemy(ies)
332	enemy(ies) (High ATK)
333	enemy(ies) (High HP)
334	enemy(ies) (Low HP)
335	enemy(ies) (High DEF)
336	enemy(ies) (Low DEF)
337	enemy(ies) (Random)
338	enemy(ies) (Debuffed)
339	enemy(ies) (Sleep)
34	ally(ies) (Silenced)
340	enemy(ies) (Silenced)
341	enemy(ies) (Stunned)
342	enemy(ies) (Confused)
343	enemy(ies) (Buffed)
344	enemy(ies) (Healing)
35	ally(ies) (Stunned/Smitten/Petrified)
350	enemy(ies) (5-person Giant Bosses)
351	Water Type enemy(ies) (5-person Giant Bosses)
352	Fire Type enemy(ies) (5-person Giant Bosses)
353	Wood Type enemy(ies) (5-person Giant Bosses)
354	Light Type enemy(ies) (5-person Giant Bosses)
355	Dark Type enemy(ies) (5-person Giant Bosses)
356	enemy(ies) (High Skill Gauge)
357	enemy(ies) (Frozen)
358	enemy(ies) (DoT)
36	ally(ies) (Confused)
360	enemy(ies) (20-person Giant Bosses)
361	Water Type enemy(ies) (20-person Giant Bosses)
362	Fire Type enemy(ies) (20-person Giant Bosses)
363	Wood Type enemy(ies) (20-person Giant Bosses)
364	Light Type enemy(ies) (20-person Giant Bosses)
365	Dark Type enemy(ies) (20-person Giant Bosses)
366	enemy(ies) (Stunned)
367	enemy(ies) (Petrified)
368	enemy(ies) (Petrified/Frozen)
369	enemy(ies) (Skill Damage Debuffed)
37	ally(ies) (Buffed)
370	enemy(ies) (Low HP)
371	enemy(ies) (High HP)
372	enemy(ies) (Guard Buffed)
373	enemy(ies) (Barriered)
374	enemy(ies) (Bleeding)
375	enemy(ies) (Focus)
376	enemy(ies) (Grazed)
377	Water Type enemy(ies) (High ATK)
378	enemy(ies) (High ATK, Taunt-ignoring)
379	enemy(ies) (Confused/Fortitude)
38	ally(ies) (Recovering)
380	enemy(ies) (PvP)
381	Water Type enemy(ies) (PvP)
382	Fire Type enemy(ies) (PvP)
383	Wood Type enemy(ies) (PvP)
384	Light Type enemy(ies) (PvP)
385	Dark Type enemy(ies) (PvP)
386	enemy(ies) (Cursed)
387	enemy(ies) (Time-based Buffed)
388	enemy(ies) (Poisoned)
389	enemy(ies) (Fortitude)
39	ally(ies) (High ATK)
390	enemy(ies) (High AGL)
391	enemy(ies) (Highest CRT)
392	enemy(ies) (Low HP)
393	enemy(ies) (High HP)
394	Fire Type enemy(ies) (High ATK)
395	Wood Type enemy(ies) (High ATK)
396	Light Type enemy(ies) (High ATK)
397	Dark Type enemy(ies) (High ATK)
4	Allies
40	ally(ies) (5-person Giant Bosses)
400	enemy(ies) (Underground)
401	Water Type enemy(ies) (Underground)
402	Fire Type enemy(ies) (Underground)
403	Wood Type enemy(ies) (Underground)
404	Light Type enemy(ies) (Underground)
405	Dark Type enemy(ies) (Underground)
406	enemy(ies) (Burned)
407	enemy(ies) (Burned/Scalded)
408	enemy(ies) (Water Balloon)
409	enemy(ies) (Death Heal)
41	Water Type ally(ies) (5-person Giant Bosses)
410	enemy(ies) (Branded)
411	Water Type enemy(ies) (20-person Giant Bosses, High ATK)
412	Fire Type enemy(ies) (20-person Giant Bosses, High ATK)
413	Wood Type enemy(ies) (20-person Giant Bosses, High ATK)
414	Light Type enemy(ies) (20-person Giant Bosses, High ATK)
415	Dark Type enemy(ies) (20-person Giant Bosses, High ATK)
416	enemy(ies) (Many Buffs)
417	enemy(ies) (20-person Giant Bosses, Debuffed)
418	enemy(ies) (5-person Giant Bosses, High ATK)
419	enemy(ies) (5-person Giant Bosses)
42	Fire Type ally(ies) (5-person Giant Bosses)
420	enemy(ies) (Snow Bomb)
421	Water Type enemy(ies) (5-person Giant Bosses, High ATK)
422	Fire Type enemy(ies) (5-person Giant Bosses, High ATK)
423	Wood Type enemy(ies) (5-person Giant Bosses, High ATK)
424	Light Type enemy(ies) (5-person Giant Bosses, High ATK)
425	Dark Type enemy(ies) (5-person Giant Bosses, High ATK)
426	Attacker enemy(ies) (PvP)
427	Defender enemy(ies) (PvP)
428	Healer enemy(ies) (PvP)
429	Debuffer enemy(ies) (PvP)
43	Wood Type ally(ies) (5-person Giant Bosses)
430	Supporter enemy(ies) (PvP)
431	enemy(ies) (PvP, High ATK)
432	enemy(ies) (Buff/Debuff-removed)
433	enemy(ies) (Except Self, 50%% or Lower HP)
434	enemy(ies) (PvE)
435	Water Type enemy(ies) (PvE)
436	Fire Type enemy(ies) (PvE)
437	Wood Type enemy(ies) (PvE)
438	Light Type enemy(ies) (PvE)
