// key	SELECT_BOX_NAME_	SELECT_BOX_DESC_
73100001	屬性別5★Child召喚券自選箱	請選擇一個獎勵
73100002	2019稜鏡歌牌自選箱	請選擇一個獎勵
73100003	2019 A級裝備自選箱	從上市到2019年12月31日為止。\不包含跨界合作裝備。
73100004	研磨劑+15自選箱	請選擇一個獎勵
73100005	2019 Child自選箱	從上市到2019年12月31日。\不包含合作以及轉生館限定的Child。
73100006	2020 Child自選箱	從上市到2020年12月31日。\不包含合作以及轉生館限定的Child。
73100007	2019 Child造型自選箱	從上市到2019年12月31日。\不包含合作限定以及契約者造型。
73100008	煉金術裝備自選箱	請選擇一個獎勵
73100009	研磨劑+15自選箱	請選擇一個獎勵
73100010	2019 Child溫泉造型自選箱	從上市到2019年12月31日為止。\不包含跨界合作溫泉外觀。
73100011	深谷與沙灘魂之歌牌自選箱	請選擇一個獎勵
73100012	世界王最佳Child溫泉造型自選箱	請選擇一個獎勵
73100013	雙刃劍Child溫泉造型箱	請選擇一個獎勵
73100014	惡鬥最佳Child溫泉造型自選箱	請選擇一個獎勵
73100015	重生迷宮溫泉造型自選箱	請選擇一個獎勵
73100016	2019(稜鏡)歌牌可選箱	從服務開始到2019年12月31日\不包含跨界合作歌牌
73100017	世界王最佳Child溫泉造型自選箱	請選擇一個獎勵
73100018	惡鬥最佳Child溫泉造型自選箱	請選擇一個獎勵
73100019	研磨劑+3自選箱	請選擇一個獎勵
73100020	研磨劑+7自選箱	請選擇一個獎勵。
73100021	最佳副本溫泉造型自選箱	請選擇一個獎勵
73100022	3★契約者造型自選箱	請選擇一個獎勵
73100023	4★契約者造型自選箱	請選擇一個獎勵
73100024	5★契約者造型自選箱	請選擇一個獎勵
73100025	世界王最佳Child溫泉造型自選箱	請選擇一個獎勵
73100026	溫泉裝飾品自選箱	請選擇一個獎勵
73100027	最佳副本溫泉造型自選箱	請選擇一個獎勵
73100028	Child10x召喚券自選箱	請選擇一個獎勵
73100029	5★溫泉禮物自選箱	請選擇一個獎勵
73100030	最佳重生溫泉造型自選箱	請選擇一個獎勵
73100031	世界王最佳Child溫泉造型自選箱	請選擇一個獎勵
73100032	最佳副本溫泉造型自選箱	請選擇一個獎勵
73100033	最佳惡鬥溫泉造型自選箱	請選擇一個獎勵
73100034	最佳A級裝備自選箱	請選擇一個獎勵
73100035	雙子溫泉造型自選箱I	請選擇一個獎勵。
73100036	雙子溫泉造型自選箱II	請選擇一個獎勵
73100037	綾音和麗鳳造型自選箱	請選擇一個獎勵
73100038	綾音和麗鳳溫泉造型自選箱	請選擇一個獎勵
73100039	最佳世界王溫泉造型自選箱	請選擇一個獎勵
73100040	最佳惡鬥溫泉造型自選箱	請選擇一個獎勵
73100041	訓練支援自選箱	請選擇三個獎勵
73100042	最佳副本溫泉造型自選箱	請選擇一個獎勵
73100043	最佳攻擊型和干擾型溫泉造型自選箱	請選擇一個獎勵
73100044	羅密歐與茱麗葉造型自選箱	請選擇一個獎勵
