// key	SKILL_TARGET_
0	
1	対象
10	右側の味方
100	アンダーグランド時、光属性の味方
1001	浄化中の味方
1002	浄化中の敵
101	アンダーグランド時、暗属性の味方
1011	PvPでスキルゲージが最も高い味方
1012	PvPでスキルゲージが最も高い敵
102	火傷中の味方
1021	PvPで水属性の攻撃型の味方
1022	PvPで水属性の攻撃型の敵
103	火傷または熱傷中の味方
1031	PvPで火属性の攻撃型の味方
1032	PvPで火属性の攻撃型の敵
104	水風船中の味方
1041	PvPで木属性の攻撃型の味方
1042	PvPで木属性の攻撃型の敵
105	デスヒール中の味方
1051	PvPで光属性の攻撃型の味方
1052	PvPで光属性の攻撃型の敵
106	自身を除く味方
1061	PvPで光属性の攻撃型の味方
1062	PvPで光属性の攻撃型の敵
107	PvPでの自身
1074	攻撃した対象
108	烙印中の味方
1085	システムスキル発動者
109	20体vs.巨大ボス戦で水属性の攻撃力が最も高い味方
1091	デバフが適用されていない味方
1092	デバフが適用されていない敵
110	20体vs.巨大ボス戦で火属性の攻撃力が最も高い味方
1101	持続戦場バフを発動する味方
1102	持続戦場バフを発動する敵
1103	持続戦場バフを発動する敵味方全体
111	20体vs.巨大ボス戦で木属性の攻撃力が最も高い味方
1111	自身を含む水属性の味方(自身は属性条件を満たす場合に含む)
112	20体vs.巨大ボス戦で光属性の攻撃力が最も高い味方
1121	自身を含む水属性の味方(自身は属性条件を満たす場合に含む)
113	20体vs.巨大ボス戦で暗属性の攻撃力が最も高い味方
114	バフが最も多い味方
115	20体vs.巨大ボス戦でデバフ中の味方
116	5体vs.巨大ボス戦で攻撃力が最も高い味方
1161	PvP時、デスヒール中の味方
1162	PvPでデスヒール中の敵
117	5体vs.巨大ボス戦での味方
118	スノーボム中の味方
119	5体vs.巨大ボス戦で水属性の攻撃力が最も高い味方
12	攻撃型の味方
120	5体vs.巨大ボス戦で火属性の攻撃力が最も高い味方
121	5体vs.巨大ボス戦で木属性の攻撃力が最も高い味方
122	5体vs.巨大ボス戦で光属性の攻撃力が最も高い味方
123	5体vs.巨大ボス戦で暗属性の攻撃力が最も高い味方
124	PvPで攻撃型の味方
125	PvPで防御型の味方
126	PvP時、回復型の味方
127	PvPで妨害型の味方
128	PvPで補助型の味方
129	自身を除く水属性の味方
13	防御型の味方
130	自身を除く火属性の味方
131	自身を除く木属性の味方
132	自身を除く光属性の味方
133	自身を除く暗属性の味方
134	PvPで攻撃力が最も高い味方
135	効果が解除された場合
136	自身を除くHPが50%%以下の味方
137	自身を含むHPの残りが最も少ない味方
138	自身を含むHPの残りが最も少ない味方
139	PvEでの自身
14	回復型の味方
140	PvEでの味方
141	PvEで水属性の味方
142	PvEで火属性の味方
143	PvEで木属性の味方
144	PvE時、光属性の味方
145	PvE時、暗属性の味方
146	猛毒中の味方
147	PvEで攻撃型の味方
148	PvE時、防御型の味方
149	PvE時、回復型の味方
15	妨害型の味方
150	PvEで妨害型の味方
151	PvE時、補助型の味方
152	PvE時、デバフ中の味方
153	PvE時、バフ中の味方
154	スキル防御デバフ中の味方
155	スキル防御バフ中の味方
156	時間系デバフ中の味方
157	アンダーグラウンドで攻撃力が最も高い味方
158	回復不可中の味方
159	回復または吸血中の味方
16	補助型の味方
160	デバフが最も多い味方
161	バフが最も少ない味方
162	デバフが最も少ない味方
163	20体vs.巨大ボス戦での自身
164	PvPでHPの残りが最も少ない味方
165	PvPでHPの残りが最も少ない味方
166	レースチャレンジでの自身
167	レースチャレンジでの味方
168	レースチャレンジで攻撃力が最も高い味方
169	レースチャレンジ時、HPの残りが最も少ない味方
170	レースチャレンジでHPの残りが最も少ない味方
171	レースチャレンジで水属性の味方
172	レースチャレンジ時、火属性の味方
173	レースチャレンジで木属性の味方
174	レースチャレンジで光属性の味方
175	レースチャレンジで暗属性の味方
176	無力化中の味方
177	20体vs.巨大ボス戦時、スキルチャージ中の味方
178	5体vs.巨大ボス戦でスキルチャージ中の味方
179	5体vs.巨大ボス戦でHPの残りが最も少ない味方
180	5体vs.巨大ボス戦でHPの残りが最も少ない味方
181	20体vs.巨大ボス戦で攻撃型の味方
182	20体vs.巨大ボス戦時、防御型の味方
183	20体vs.巨大ボス戦時、回復型の味方
184	20体vs.巨大ボス戦時、妨害型の味方
185	20体vs.巨大ボス戦で補助型の味方
186	20体vs.巨大ボス戦でHPの残りが最も少ない味方
187	20体vs.巨大ボス戦時、HPの残りが最も少ない味方
188	PvP時、バフ中の味方
189	PvP時、バフが最も多い味方
190	水属性のHPの残りが最も少ない味方
191	火属性のHPの残りが最も少ない味方
192	木属性のHPの残りが最も少ない味方
193	光属性のHPの残りが最も少ない味方
194	暗属性のHPの残りが最も少ない味方
195	水属性のHPの残りが最も少ない味方
196	火属性のHPの残りが最も少ない味方
197	木属性のHPの残りが最も少ない味方
198	光属性のHPの残りが最も少ない味方
199	闇属性のHPの残りが最も少ない味方
2	敵
200	水属性のデバフ中の味方
201	火属性のデバフ中の味方
202	木属性のデバフ中の味方
203	光属性のデバフ中の味方
204	暗属性のデバフ中の味方
205	魅惑中の味方
206	5体vs.巨大ボス戦時、時間系デバフ中の味方
207	攻撃型を除く味方
208	防御型を除く味方
209	回復型を除く味方
210	妨害型を除く味方
211	補助型を除く味方
212	PvE時、水属性の攻撃型の味方
213	PvE時、火属性の攻撃型の味方
214	PvEで木属性の攻撃型の味方
215	PvE時、光属性の攻撃型の味方
216	PvE時、暗属性の攻撃型の味方
217	20体vs.巨大ボス戦時、水属性の攻撃型の味方
218	20体vs.巨大ボス戦で火属性の攻撃型の味方
219	20体vs.巨大ボス戦で木属性の攻撃型の味方
22	水属性の味方
220	20体vs.巨大ボス戦で光属性の攻撃型の味方
221	20体vs.巨大ボス戦で暗属性の攻撃型の味方
222	無敵中の味方
223	5体vs.巨大ボス戦で水属性の攻撃型の味方
224	5体vs.巨大ボス戦で火属性の攻撃型の味方
225	5体vs.巨大ボス戦で木属性の攻撃型の味方
226	5体vs.巨大ボス戦で光属性の攻撃型の味方
227	5体vs.巨大ボス戦で暗属性の攻撃型の味方
228	PvEでHPの残りが最も少ない味方
229	感電中の味方
23	火属性の味方
230	PvP時、持続ダメージデバフ中の味方
231	失明中の味方
232	攻撃力が最も低い味方
233	PvPで攻撃力が最も低い味方
234	巨大ボス戦時、水属性の攻撃力が最も高い味方
235	巨大ボス戦時、火属性の攻撃力が最も高い味方
236	巨大ボス戦時、木属性の攻撃力が最も高い味方
237	巨大ボス戦で光属性の攻撃力が最も高い味方
238	巨大ボス戦で暗属性の攻撃力が最も高い味方
239	PvP時、水属性の妨害型の味方
24	木属性の味方
240	PvP時、火属性の妨害型の味方
241	PvP時、木属性の妨害型の味方
242	PvP時、光属性の妨害型の味方
243	PvPで闇属性の妨害型の味方
244	PvP時、水属性の攻撃力が最も高い味方
245	PvPで火属性の攻撃力が最も高い味方
246	PvPで木属性の攻撃力が最も高い味方
247	PvPで光属性の攻撃力が最も高い味方
248	PvPで暗属性の攻撃力が最も高い味方
249	無敵が解除された味方
25	光属性の味方
250	PvP時、バリア中の味方
251	PvP時、保護系バフ中の味方
252	5体vs.巨大ボス戦で攻撃力が最も低い味方
253	PvPでスキルチャージ中の味方
254	PvPで水属性のHPの残りが最も少ない味方
255	PvPで火属性のHPの残りが最も少ない味方
256	PvPで木属性のHPの残りが最も少ない味方
257	PvPで光属性のHPの残りが最も少ない味方
258	PvPで暗属性のHPの残りが最も少ない味方
259	PvP時、防御力が最も高い味方
26	暗属性の味方
260	水属性を除く味方
261	火属性を除く味方
262	木属性を除く味方
263	光属性を除く味方
264	暗属性を除く味方
265	巨大ボス戦時、水属性の攻撃型の味方
266	巨大ボス戦で火属性の攻撃型の味方
267	巨大ボス戦で木属性の攻撃型の味方
268	巨大ボス戦で光属性の攻撃型の味方
269	巨大ボス戦で暗属性の攻撃型の味方
27	HPの残りが最も多い味方
270	クールタイム中の味方
271	5体vs.巨大ボス戦でクールタイム中の味方
272	20体vs.巨大ボス戦時、クールタイム中の味方
273	PvP時、クールタイム中の味方
274	巨大ボス戦時、クールタイム中の味方
275	死亡した水属性の味方
276	死亡した火属性の味方
277	死亡した木属性の味方
278	死亡した光属性の味方
279	死亡した暗属性の味方
28	防御力が最も高い味方
280	PvPでHPの残りが最も多い味方
281	PvP時、HPの残りが最も多い味方
282	ラグナバースト時、ランダムで味方
283	ラグナバースト時、水属性の味方
284	ラグナバースト時、火属性の味方
