// key	BACKGROUND_IMAGE_NAME_	BACKGROUND_IMAGE_DESCRIPTION_
1	グレームード	悪魔に一番安定感を感じさせる灰色の亜空間。
10	[名前なし]	[説明なし]
2	イエロームード	魔界の夕焼けに似た黄色い亜空間。
2001	コンビニに行く道	この道を通って仕事に行くんだ。
2002	午後過ぎのカフェ	午後過ぎの悪魔のアジト。
2003	デパートのロビー	よく整頓されたデパートのロビー。
2004	ホテルのロビー	悪魔たちがよく泊まっているらしい噂の高級ホテルだ。
2005	アパートの廊下	騒ぎを起こすと、ものすごく怖いおじさんが追ってくる。
2006	公園の朝	人気のない静かな公園。意外と契約の実績が高い場所。
2007	映画チケット売り場	新作の映画いを見る機会はあまりないけど…
2008	隅田川の河川敷	微かに水の生臭さがある散策路。
2009	ジム	今月は5回以上行くのが目標だ。
2010	午後の駅	線路に沿ってガタンゴトン揺れる俺の人生よ…
2011	カフェのテラス	必ずクーポンのスタンプを押してくださいと頼まないといけないカフェ。
2012	上り道	プルプルする足とうまく交渉して頂上を目指そう。
2013	図書館	シッ！館内は静かに。返却期間は必ず守ってください。
2014	空き教室	受験生の恨みがいっぱい溜まっている。
2015	学校	未来の契約者たちが一つの場所に集まっている。
2016	学校の後門	時間が止まったような青春のど真ん中。悪魔とは関係ないことだ。
2017	雨の街	雨に濡れた道路。どこかから土の匂いがする。
2018	デパート	約束の場所で有名なその場所。必ずデパートの入り口前で会うようにしよう。
2019	学校のグラウンド	きれいに整理されている学校のグラウンド。今は運よく誰もいない。
2020	大学の正門	知識の寵児たちが未来のために勉強するところ。
2021	デザートカフェ	この近辺で一番おいしいデザートを売っているカフェだ。
2022	ビルのロビー	厳しい警備を誇る複合オフィステル。
2023	映画館の入り口	繁華街の真ん中に位置している109CINEMAS。
2024	教会の夜	祓魔師が勤務しているという怪談がある。
2025	未使用	[説明なし]
2026	静かな街	人気のない静かな街だ。
2027	夜の隅田川の河川敷	ネオンサインで明るい隅田川の公園。
2028	夜中の公園	夜中の肌寒い空気が流れている公園の散策路。
2029	カフェの朝	彩光が良い、ハンドドロップが自慢のカフェ。
2030	隅田川の道路	きれいに整理されている自転車専用の道がある公園。
2031	建物の廊下	ちゃんと管理された花瓶が置かれている建物の廊下。
2032	体育館	悪魔はやっぱり力だ。本当に力だけだ…
2033	スラム街	不気味に見えるがなれれば問題ない。
2034	夜の街	夜の光と街灯の光だけが残っている夜の街。
2035	街の朝	多くの人々が行き来する都内の商店街。
2036	横町	猫をよく見かける横町。
2037	バス停	夕やみ迫るバス停。
2038	電車	定時到着より遅延されることが多い不思議な電車。
2039	乗り場	安全のために線の後ろで待たないといけない。
2040	ブックカフェ	ここにある本は大体が知らない本だ。
2041	静かな横町	家に帰るために通る静かな横町。
2042	古い街	伝統的な家と改築された家が共存する神秘的な雰囲気の街。
2043	ショッピングプラザの遠景	前衛的な建築物のシルエットが印象的。
2044	ショッピングプラザの内部	揺れる光、迷子の悪魔が迷い込んだ夜の街。
2045	ショッピングプラザの遺跡	ここでは天の川を見る事ができる。
2046	湾岸エリアの遠景	都市の光が溶けこんだ、川の水が揺れている。
2047	深夜の湾岸エリア	契約者を探し回っているうちにここまで来てしまった。
2048	湾岸エリアの夜景	一歩下がればこんなにも違う景色が見られる。
2049	繁華街	ここは魔王争奪戦の始まりの場所であり欲望に満ちた街である。
2050	小山のふもと	遠くに見える光の数は欲望の数と正確に一致する。
2051	夕日の中洲	アパート団地で、建設中の姿だ。
2052	夜中の中洲	混雑だった騒音がなくなり日が暮れ始めている。
2053	中洲の上空	平和そうに見える中洲の上空。きっと悪魔が混じっている。
2054	ハーレム街	ネオンサインに溶け込まれた悪魔と追従者たちと歓楽の都市。
2055	ビルの夜景	夜が始まると本格的な悪魔の時間だ。
2056	ヘリの着陸場	空っぽの着陸場。
2057	夜の工事現場	工事が終わってしまった空っぽの廃墟。
2058	夜中の工事現場	夜なのに槌打ちの音が聞こえている。
