// key	SCENARIO_DUNGEON_NAME_	SCENARIO_DUNGEON_SECOND_NAME_	SCENARIO_DUNGEON_LOCATION_DESC_
1000		L'éveil de Chang'e	Le vœu d'une jeune fille solitaire éveille un nouveau pouvoir !
100001	Niveau 1	Travailleuse	
100002	Niveau 2	Portrait de famille	
100003	Niveau 3	Un nouveau soi	
1002	Collaboration	Avènement d'une diva !	Répandez la paix avec Chaîne Evil !
100201	Niveau 1	Avènement d'une diva !	
100202	Niveau 2	Tournoi de MIKU !	
100203	Niveau 3	Toujours en chantant	
1003	Collaboration	Vacances Vénus	Un festival de déesses qui a lieu\dans le paradis tropical des îles Vénus
100301	Niveau 1	Île des déesses	
100302	Niveau 2	Ultime extrême	
100303	Niveau 3	Le repos des déesses	
100304	Niveau 4	Combat difficile	
100305	Niveau 5	Combat Xtreme	
1005	Anime télévisé	KEMONO FRIENDS 2	Une histoire avec de nouveaux Friends, qui commence dès maintenant !
100501	Niveau 1	Davi s'enfuit	
100502	Niveau 2	Les Childs inconnues	
100503	Niveau 3	Une intruse inattendue	
100504	Niveau 4	On joue à chat I	
100505	Niveau 5	On joue à chat II	
1007	Épreuves de boss majeur	La légende de Tamamo	La vérité cachée dans la légende du renard à neuf queues.
100701	Niveau 1	Renard frénétique	
100702	Niveau 2	Renard amoureux	
100703	Niveau 3	Nouvelle création	
100704	Niveau 4	Vérité cachée	
1017		Sytry	Chouette, Chouette Chouette. Chouette!
101701	Niveau 1	Ouverture de Chouettry I	
101702	Niveau 2	Chouettry	
101703	Niveau 3	Child victorieux : Chouettry	
101704	Niveau 4	Mensonge d'avril de Chouettry	
2000		Abysse	Laissez toute espérance, vous qui entrez.
200001	Niveau 1	Limbes	
200002	Niveau 2	Avarice	
200003	Niveau 3	Styx	
200004	Niveau 4	Malebolge	
200005	Niveau 5	Cocyte	
